timestamp_utc	zone0_mC	zone1_mC	zone2_mC	zone3_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-15T09:51:58Z	58000	57000	59000	58000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:04Z	62000	61000	67000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:09Z	61000	61000	69000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:14Z	63000	61000	69000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:19Z	63000	62000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:24Z	64000	61000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:29Z	63000	61000	70000	67000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:34Z	63000	63000	69000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:39Z	63000	61000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:44Z	63000	62000	70000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:49Z	63000	62000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:54Z	62000	63000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:52:59Z	62000	62000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:05Z	64000	62000	72000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:10Z	64000	62000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:15Z	63000	61000	72000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:20Z	64000	63000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:25Z	63000	63000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:30Z	66000	63000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:35Z	64000	62000	70000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:40Z	63000	63000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:45Z	63000	63000	71000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:50Z	64000	62000	72000	69000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:53:55Z	65000	62000	72000	70000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:54:00Z	64000	64000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:54:06Z	64000	62000	71000	68000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:54:11Z	66000	63000	72000	70000	1600000	1600000	1600000	1600000	1600000
2026-07-15T09:54:16Z	64000	64000	72000	70000	1600000	1600000	1600000	1600000	1600000
