resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	design_role
384	dense_1x1_k32	5	conv_dense	9216	32	32	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_k32	5	conv_dense	10816	32	32	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_k32	5	conv_dense	12544	32	32	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_k32	5	conv_dense	14400	32	32	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_1x1_k32	5	conv_dense	16384	32	32	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_k32	5	conv_dense	25600	32	32	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_1x1_k48	12	conv_dense	9216	64	48	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_k48	12	conv_dense	10816	64	48	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_k48	12	conv_dense	12544	64	48	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_k48	12	conv_dense	14400	64	48	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_1x1_k48	12	conv_dense	16384	64	48	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_k48	12	conv_dense	25600	64	48	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_1x1_k256	108	conv_dense	2304	64	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_k256	108	conv_dense	2704	64	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_k256	108	conv_dense	3136	64	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_k256	108	conv_dense	3600	64	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_1x1_k256	108	conv_dense	4096	64	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_k256	108	conv_dense	6400	64	256	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_1x1_k96	124	conv_dense	2304	64	96	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_k96	124	conv_dense	2704	64	96	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_k96	124	conv_dense	3136	64	96	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_k96	124	conv_dense	3600	64	96	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_1x1_k96	124	conv_dense	4096	64	96	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_k96	124	conv_dense	6400	64	96	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_1x1_n80_k64	133	conv_dense	2304	80	64	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_n80_k64	133	conv_dense	2704	80	64	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_n80_k64	133	conv_dense	3136	80	64	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_n80_k64	133	conv_dense	3600	80	64	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_1x1_n80_k64	133	conv_dense	4096	80	64	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_1x1_n80_k64	133	conv_dense	6400	80	64	1x1	1x1	family-a-weight-stationary-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_1x1_n80_k80	144	conv_dense	2304	80	80	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_1x1_n80_k80	144	conv_dense	2704	80	80	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_1x1_n80_k80	144	conv_dense	3136	80	80	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_1x1_n80_k80	144	conv_dense	3600	80	80	1x1	1x1	direct-strided-n16	bounded-graph-backed-synthetic-exact-shape
