resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
384	dense_1x1_k32	5	/model.2/cv1/conv/Conv	conv_dense	96	96	9216	32	32	1x1	1x1	32	32	589824	1024	722.751	747.199	774.19	787.846	0xa6208c44e083d803	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_k32	5	/model.2/cv1/conv/Conv	conv_dense	104	104	10816	32	32	1x1	1x1	32	32	692224	1024	722.47	718.49	736.345	782.263	0xdcbfc5b1005a9873	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_k32	5	/model.2/cv1/conv/Conv	conv_dense	112	112	12544	32	32	1x1	1x1	32	32	802816	1024	842.553	831.284	863.128	970.598	0xe10b21f81c7ef883	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_k32	5	/model.2/cv1/conv/Conv	conv_dense	120	120	14400	32	32	1x1	1x1	32	32	921600	1024	978.911	971.932	1008.78	1057.31	0x62fa6ae44615a133	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_k32	5	/model.2/cv1/conv/Conv	conv_dense	128	128	16384	32	32	1x1	1x1	32	32	1048576	1024	1352.16	1346.75	1391.42	1451.27	0x182f4c75457a9b83	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_k32	5	/model.2/cv1/conv/Conv	conv_dense	160	160	25600	32	32	1x1	1x1	32	32	1638400	1024	1870.22	1859.13	1939.53	2060.74	0x98a8692b52617003	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_k48	12	/model.2/cv2/conv/Conv	conv_dense	96	96	9216	64	48	1x1	1x1	48	64	1032192	3072	1775.77	1754.47	1899.61	1985.78	0xcd0b34c656f3003	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_k48	12	/model.2/cv2/conv/Conv	conv_dense	104	104	10816	64	48	1x1	1x1	48	64	1211392	3072	1754	1746.44	1790.42	1808.24	0x685803314c5d4573	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_1x1_k48	12	/model.2/cv2/conv/Conv	conv_dense	112	112	12544	64	48	1x1	1x1	48	64	1404928	3072	2099.16	2105.91	2124.37	2127.57	0xacc084879b60243	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_k48	12	/model.2/cv2/conv/Conv	conv_dense	120	120	14400	64	48	1x1	1x1	48	64	1612800	3072	2341.14	2341.29	2369.95	2445.16	0xb1197cfb248cf5b3	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_k48	12	/model.2/cv2/conv/Conv	conv_dense	128	128	16384	64	48	1x1	1x1	48	64	1835008	3072	5091.19	5149.06	5227.16	5250.71	0xc6fecf4a730fb83	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_k48	12	/model.2/cv2/conv/Conv	conv_dense	160	160	25600	64	48	1x1	1x1	48	64	2867200	3072	4826.54	4804.06	4912.9	5060.75	0xa6f1e1479d032803	exact-component-contract	family-a-weight-stationary-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_k256	108	/model.16/cv1/conv/Conv	conv_dense	48	48	2304	64	256	1x1	1x1	256	64	737280	16384	1346.84	1325.29	1417.16	1460.07	0x32329442c9f31493	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_k256	108	/model.16/cv1/conv/Conv	conv_dense	52	52	2704	64	256	1x1	1x1	256	64	865280	16384	925.01	923.035	956.103	956.973	0x30d0fb6c55022924	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
