fold	role	resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	mean_us
hold-resolution-384	training	416	dense_1x1_k32	5	conv_dense	10816	32	32	1x1	1x1	family-a-weight-stationary-n16	722.47
hold-resolution-384	training	448	dense_1x1_k32	5	conv_dense	12544	32	32	1x1	1x1	family-a-weight-stationary-n16	842.553
hold-resolution-384	training	480	dense_1x1_k32	5	conv_dense	14400	32	32	1x1	1x1	family-a-weight-stationary-n16	978.911
hold-resolution-384	training	512	dense_1x1_k32	5	conv_dense	16384	32	32	1x1	1x1	family-a-weight-stationary-n16	1352.16
hold-resolution-384	training	640	dense_1x1_k32	5	conv_dense	25600	32	32	1x1	1x1	family-a-weight-stationary-n16	1870.22
hold-resolution-384	training	416	dense_1x1_k48	12	conv_dense	10816	64	48	1x1	1x1	family-a-weight-stationary-n16	1754
hold-resolution-384	training	448	dense_1x1_k48	12	conv_dense	12544	64	48	1x1	1x1	family-a-weight-stationary-n16	2099.16
hold-resolution-384	training	480	dense_1x1_k48	12	conv_dense	14400	64	48	1x1	1x1	family-a-weight-stationary-n16	2341.14
hold-resolution-384	training	512	dense_1x1_k48	12	conv_dense	16384	64	48	1x1	1x1	family-a-weight-stationary-n16	5091.19
hold-resolution-384	training	640	dense_1x1_k48	12	conv_dense	25600	64	48	1x1	1x1	family-a-weight-stationary-n16	4826.54
hold-resolution-384	training	416	dense_1x1_k256	108	conv_dense	2704	64	256	1x1	1x1	direct-strided-n16	925.01
hold-resolution-384	training	448	dense_1x1_k256	108	conv_dense	3136	64	256	1x1	1x1	direct-strided-n16	1283.54
hold-resolution-384	training	480	dense_1x1_k256	108	conv_dense	3600	64	256	1x1	1x1	direct-strided-n16	1496.24
hold-resolution-384	training	512	dense_1x1_k256	108	conv_dense	4096	64	256	1x1	1x1	direct-strided-n16	7407.95
hold-resolution-384	training	640	dense_1x1_k256	108	conv_dense	6400	64	256	1x1	1x1	direct-strided-n16	2730.86
hold-resolution-384	training	416	dense_1x1_k96	124	conv_dense	2704	64	96	1x1	1x1	direct-strided-n16	548.311
hold-resolution-384	training	448	dense_1x1_k96	124	conv_dense	3136	64	96	1x1	1x1	direct-strided-n16	629.82
hold-resolution-384	training	480	dense_1x1_k96	124	conv_dense	3600	64	96	1x1	1x1	direct-strided-n16	719.87
hold-resolution-384	training	512	dense_1x1_k96	124	conv_dense	4096	64	96	1x1	1x1	direct-strided-n16	1368.43
hold-resolution-384	training	640	dense_1x1_k96	124	conv_dense	6400	64	96	1x1	1x1	family-a-weight-stationary-n16	1347.59
hold-resolution-384	training	416	dense_1x1_n80_k64	133	conv_dense	2704	80	64	1x1	1x1	direct-strided-n16	597.185
hold-resolution-384	training	448	dense_1x1_n80_k64	133	conv_dense	3136	80	64	1x1	1x1	direct-strided-n16	694.823
hold-resolution-384	training	480	dense_1x1_n80_k64	133	conv_dense	3600	80	64	1x1	1x1	direct-strided-n16	793.042
hold-resolution-384	training	512	dense_1x1_n80_k64	133	conv_dense	4096	80	64	1x1	1x1	direct-strided-n16	1378.83
hold-resolution-384	training	640	dense_1x1_n80_k64	133	conv_dense	6400	80	64	1x1	1x1	family-a-weight-stationary-n16	1223.67
hold-resolution-384	training	416	dense_1x1_n80_k80	144	conv_dense	2704	80	80	1x1	1x1	direct-strided-n16	656.806
hold-resolution-384	training	448	dense_1x1_n80_k80	144	conv_dense	3136	80	80	1x1	1x1	direct-strided-n16	767.487
hold-resolution-384	training	480	dense_1x1_n80_k80	144	conv_dense	3600	80	80	1x1	1x1	direct-strided-n16	857.203
hold-resolution-384	training	512	dense_1x1_n80_k80	144	conv_dense	4096	80	80	1x1	1x1	direct-strided-n16	1623.17
hold-resolution-384	training	640	dense_1x1_n80_k80	144	conv_dense	6400	80	80	1x1	1x1	family-a-weight-stationary-n16	1510.87
hold-resolution-384	training	416	dense_1x1_n80_k128	167	conv_dense	676	80	128	1x1	1x1	direct-strided-n16	179.313
hold-resolution-384	training	448	dense_1x1_n80_k128	167	conv_dense	784	80	128	1x1	1x1	direct-strided-n16	213.451
hold-resolution-384	training	480	dense_1x1_n80_k128	167	conv_dense	900	80	128	1x1	1x1	direct-strided-n16	235.885
hold-resolution-384	training	512	dense_1x1_n80_k128	167	conv_dense	1024	80	128	1x1	1x1	direct-strided-n16	496.625
hold-resolution-384	training	640	dense_1x1_n80_k128	167	conv_dense	1600	80	128	1x1	1x1	direct-strided-n16	442.797
hold-resolution-384	training	416	dense_1x1_k384	90	conv_dense	676	128	384	1x1	1x1	direct-strided-n16	680.159
hold-resolution-384	training	448	dense_1x1_k384	90	conv_dense	784	128	384	1x1	1x1	direct-strided-n16	788.442
hold-resolution-384	training	480	dense_1x1_k384	90	conv_dense	900	128	384	1x1	1x1	direct-strided-n16	929.356
hold-resolution-384	training	512	dense_1x1_k384	90	conv_dense	1024	128	384	1x1	1x1	direct-strided-n16	1461.93
hold-resolution-384	training	640	dense_1x1_k384	90	conv_dense	1600	128	384	1x1	1x1	direct-strided-n16	2141.5
