index	image_id	width	height	decode_letterbox_us	executor_us	decode_output_us	detections	output_hash
0	139	640	426	30711.1	166911	70.71	299	0x95c5770d8878f858
1	285	586	640	38473	165446	29.792	11	0xd979bcddbcf1aa7
2	632	640	483	27200.3	166665	66.668	300	0xe945449ed6f22e88
3	724	375	500	25117.4	166161	39.335	74	0xbf25d44c8d059e83
4	776	428	640	25983.4	165646	40.043	69	0x2705458d328a3ece
5	785	640	425	23782.1	165504	37.501	61	0x4b564353bafcd65e
6	802	424	640	20922.5	166286	30.875	21	0x9bd932c97717c29b
7	872	621	640	38566.4	166178	38.959	84	0x3eb9836db8767126
8	885	640	427	23553.4	168029	59.794	231	0x82cba532f8dea5fb
9	1000	640	480	32549.9	166746	66.626	286	0xd9eaa865ccf323a
10	1268	640	427	25568.1	166092	67.461	300	0xe8ae2026fd85cb64
11	1296	427	640	24727.5	166042	48.751	142	0xefaaa24be1f8f511
12	1353	375	500	21018.1	165028	48.293	150	0x27472789c57664b0
13	1425	640	512	22638	165640	46.126	107	0xd9aac1b013a28b8f
14	1490	640	315	15843.4	164732	39.543	61	0x7724d40570725a75
15	1503	320	240	11080.4	166409	42.043	87	0x8c18b098a59b35e8
16	1532	640	480	27746.7	165092	67.293	295	0xa8dc13fe2effd902
17	1584	612	612	35773	166603	67.086	288	0x180b6f28feb830e
18	1675	640	480	24217	165317	42.543	92	0x8c451c65fb4ce92d
19	1761	427	640	22663.9	169213	44.251	102	0x23ed271cbf0c148f
20	1818	640	425	24290.7	165432	37.126	48	0xf2a9b1a2d01d8571
21	1993	640	419	22640.5	165569	45.834	118	0x4df8bfb3f4d64921
22	2006	640	480	27999	166133	60.377	241	0x8dd69485296d3a26
23	2149	640	427	20663.6	165769	48.627	137	0x4d0777df89df377e
24	2153	640	480	26747.6	166676	37.251	65	0x1a479a63c040fe6a
25	2157	640	427	23660.3	166180	66.501	292	0xaacc5cadd8cb2744
26	2261	640	427	26043.4	164532	34.001	29	0xcca883adb8afad64
27	2299	500	302	17452.8	166180	66.501	296	0x39e1f4b0ba8e0415
28	2431	457	640	25218.2	166458	59.835	223	0xe1a16cd6e4aebac3
29	2473	640	427	22399.8	168218	48.877	142	0x8a519d7da1ab3024
30	2532	480	640	28881.7	164970	39.584	79	0xb7784aae4c401911
31	2587	500	375	22182.7	164870	42.251	90	0xdf3b94810f0a818f
32	2592	640	366	20448.5	165236	33.584	34	0xacb4322622889677
33	2685	640	555	34218	166907	68.71	292	0x383ecda3a36da766
34	2923	500	375	21728.3	166017	65.877	275	0x6f2a34d126c27d95
35	3156	443	640	21552.9	166314	44.46	115	0x4ffdc0d3ba40d5dc
36	3255	640	363	21879.3	165867	40.96	93	0x5dfcd021fd73b60e
37	3501	612	612	36031.3	165705	38.46	63	0xe6fa6aed355447fe
38	3553	640	427	24307.1	166014	37.876	53	0xfca07dcf496d4e3
39	3661	640	384	21143.4	166065	49.043	136	0xd8a33c6cd7f6f142
40	3845	500	375	23778.7	168670	45.251	126	0xa40084886ea78a43
41	3934	375	500	23048.3	165553	68.71	300	0xba64248e2dbd9fc7
42	4134	640	425	24758.8	166094	66.46	298	0x3740619deb6919bf
43	4395	425	640	21332.5	166057	35.792	49	0x69eb3d8e8af41d0b
44	4495	500	375	22141.1	165826	33.376	31	0x511554f075e02786
45	4765	612	612	35055.3	167101	30.709	9	0xdedb3ee5787effe2
46	4795	640	480	27680.1	165662	46.751	125	0x9508f6ab73576892
47	5001	640	480	27780.1	165622	68.127	298	0x3f144b95912dcb6d
48	5037	640	425	25339.1	165032	69.835	300	0xeb78b85dff7d2794
49	5060	480	640	27560	164993	55.252	201	0x2dd582d52a143859
50	5193	640	425	22233.8	168660	67.169	300	0x971458c7e9a001ca
51	5477	640	349	20797.6	165722	42.209	85	0x480da622592fb619
52	5503	333	500	16903	165934	33.293	28	0x2c534de19296265
53	5529	444	640	27694.6	165592	36.043	50	0x2047c172ccb44538
54	5586	320	240	12053.7	165414	67.918	296	0xc36332e3750ca58e
55	5600	640	361	21321.3	165362	45.918	131	0xb319faf81f00dd22
56	5992	640	428	25753.5	165564	36.335	51	0x9b0845c3b869f7d2
57	6012	640	531	29853	166083	36.834	51	0x1b3c610d77200635
58	6040	640	351	21495.3	165841	53.418	195	0x2e4754b103636ea
59	6213	640	425	22237.1	165593	39.668	82	0xafc87e3767b0fba8
60	6460	640	427	20801.1	164077	36.793	56	0x4c36a9515ff4e07c
61	6471	500	333	18535.5	168344	67.71	297	0x9ca2b585225c2fd2
62	6614	500	396	19697.7	165115	44.334	121	0xc2b0d534a5b62689
63	6723	640	361	22736.7	164765	66.627	292	0x78a2f894be3a8101
64	6763	375	500	21389.8	166097	51.876	182	0xb14b254e742a841f
65	6771	640	427	24208.6	166608	50.252	162	0xd379f31611ca5337
66	6818	427	640	21875.5	165423	34.918	42	0x515478040a29d203
67	6894	640	480	25100.8	165729	32.793	18	0x335ae9acc3fae9cc
68	6954	640	480	29667.6	166826	39.418	57	0xb7802a9be7e745b3
69	7088	478	640	29447.5	166077	45.793	135	0x64e163e74de6f3a4
70	7108	640	426	24482.7	165263	31.793	20	0x20ac1150fdc50e9e
71	7278	640	482	32011.1	165150	34.959	41	0xa975055560404ac7
72	7281	640	361	21577.5	167840	56.002	200	0x7b2b9ff745f75929
