index	image_id	width	height	decode_letterbox_us	executor_us	decode_output_us	detections	output_hash
0	139	640	426	32321.9	142605	80.328	299	0x95c5770d8878f858
1	285	586	640	40267.9	142461	37.247	11	0xd979bcddbcf1aa7
2	632	640	483	28517.8	141891	76.453	300	0xe945449ed6f22e88
3	724	375	500	25672.4	141806	45.913	74	0xbf25d44c8d059e83
4	776	428	640	27877.6	141236	49.247	69	0x2705458d328a3ece
5	785	640	425	25381.6	141811	47.33	61	0x4b564353bafcd65e
6	802	424	640	21545.6	141644	39.914	21	0x9bd932c97717c29b
7	872	621	640	40347.2	142615	47.372	84	0x3eb9836db8767126
8	885	640	427	24918.3	140834	67.954	231	0x82cba532f8dea5fb
9	1000	640	480	33824.1	142774	76.578	286	0xd9eaa865ccf323a
10	1268	640	427	26647.1	142047	75.454	300	0xe8ae2026fd85cb64
11	1296	427	640	25871.7	142387	55.204	142	0xefaaa24be1f8f511
12	1353	375	500	22264.3	141889	56.912	150	0x27472789c57664b0
13	1425	640	512	24402.6	142223	52.371	107	0xd9aac1b013a28b8f
14	1490	640	315	17099.3	140387	42.539	61	0x7724d40570725a75
15	1503	320	240	11981.7	141454	50.413	87	0x8c18b098a59b35e8
16	1532	640	480	29279.2	141613	74.953	295	0xa8dc13fe2effd902
17	1584	612	612	36981.1	141778	72.12	288	0x180b6f28feb830e
18	1675	640	480	25889	141752	48.705	92	0x8c451c65fb4ce92d
19	1761	427	640	23916.2	141492	54.163	102	0x23ed271cbf0c148f
20	1818	640	425	25838.3	141790	44.413	48	0xf2a9b1a2d01d8571
21	1993	640	419	24015	142050	53.205	118	0x4df8bfb3f4d64921
22	2006	640	480	29071.1	141523	66.912	241	0x8dd69485296d3a26
23	2149	640	427	22318.2	141700	55.538	137	0x4d0777df89df377e
24	2153	640	480	27541.5	141236	48.288	65	0x1a479a63c040fe6a
25	2157	640	427	25013.1	142556	77.203	292	0xaacc5cadd8cb2744
26	2261	640	427	27289.4	141168	41.164	29	0xcca883adb8afad64
27	2299	500	302	17681.2	141416	74.537	296	0x39e1f4b0ba8e0415
28	2431	457	640	26700.5	142155	66.787	223	0xe1a16cd6e4aebac3
29	2473	640	427	23810.3	141325	57.996	142	0x8a519d7da1ab3024
30	2532	480	640	30152.4	141886	48.121	79	0xb7784aae4c401911
31	2587	500	375	23290.3	141155	51.247	90	0xdf3b94810f0a818f
32	2592	640	366	21485	141375	40.414	34	0xacb4322622889677
33	2685	640	555	35655.9	142127	75.995	292	0x383ecda3a36da766
34	2923	500	375	23342.9	141733	72.162	275	0x6f2a34d126c27d95
35	3156	443	640	23263.9	142044	53.955	115	0x4ffdc0d3ba40d5dc
36	3255	640	363	23002	141641	46.622	93	0x5dfcd021fd73b60e
37	3501	612	612	37331.7	142252	45.08	63	0xe6fa6aed355447fe
38	3553	640	427	26169.1	141454	44.913	53	0xfca07dcf496d4e3
39	3661	640	384	22694.9	141878	94.452	136	0xd8a33c6cd7f6f142
40	3845	500	375	24916.2	142643	51.663	126	0xa40084886ea78a43
41	3934	375	500	24768.6	142276	76.87	300	0xba64248e2dbd9fc7
42	4134	640	425	26309.9	141788	75.536	298	0x3740619deb6919bf
43	4395	425	640	22483.5	141665	44.539	49	0x69eb3d8e8af41d0b
44	4495	500	375	23394.3	141467	41.289	31	0x511554f075e02786
45	4765	612	612	36426.4	141661	75.537	9	0xdedb3ee5787effe2
46	4795	640	480	28991.4	142026	55.579	125	0x9508f6ab73576892
47	5001	640	480	29486.9	142342	74.62	298	0x3f144b95912dcb6d
48	5037	640	425	26571.1	141879	73.245	300	0xeb78b85dff7d2794
49	5060	480	640	29343.6	143166	65.496	201	0x2dd582d52a143859
50	5193	640	425	24292.7	142344	76.745	300	0x971458c7e9a001ca
51	5477	640	349	22631.7	141936	47.205	85	0x480da622592fb619
52	5503	333	500	17885.3	141422	43.539	28	0x2c534de19296265
53	5529	444	640	28281.7	141020	43.872	50	0x2047c172ccb44538
54	5586	320	240	13146	141888	74.245	296	0xc36332e3750ca58e
55	5600	640	361	22535.3	141900	55.871	131	0xb319faf81f00dd22
56	5992	640	428	27146.4	141405	43.622	51	0x9b0845c3b869f7d2
57	6012	640	531	30857.3	142232	43.122	51	0x1b3c610d77200635
58	6040	640	351	22651.7	140807	63.246	195	0x2e4754b103636ea
59	6213	640	425	23682.3	140740	46.831	82	0xafc87e3767b0fba8
60	6460	640	427	22255.3	141107	42.623	56	0x4c36a9515ff4e07c
61	6471	500	333	19757.6	141422	75.537	297	0x9ca2b585225c2fd2
62	6614	500	396	21062.7	141675	52.455	121	0xc2b0d534a5b62689
63	6723	640	361	24206.9	141291	73.911	292	0x78a2f894be3a8101
64	6763	375	500	22641.1	141843	61.954	182	0xb14b254e742a841f
65	6771	640	427	25508.8	142609	56.954	162	0xd379f31611ca5337
66	6818	427	640	23246.2	140969	43.622	42	0x515478040a29d203
67	6894	640	480	26355.2	141887	39.123	18	0x335ae9acc3fae9cc
68	6954	640	480	31677.8	141615	46.539	57	0xb7802a9be7e745b3
69	7088	478	640	31277.8	141845	54.621	135	0x64e163e74de6f3a4
70	7108	640	426	25963.3	141254	39.664	20	0x20ac1150fdc50e9e
71	7278	640	482	33894.5	140310	41.914	41	0xa975055560404ac7
72	7281	640	361	22887.6	141800	63.413	200	0x7b2b9ff745f75929
73	7386	600	400	28839	142719	53.746	123	0x6ed7a77dc239e6c3
74	7511	640	480	27859.6	141366	77.912	291	0x9f32eb480d5a2d5b
75	7574	640	480	28473.4	142094	77.912	300	0xbdca2831b4024ac1
76	7784	500	375	21408.3	140460	39.747	5	0xe2879e9b1a4798b8
77	7795	640	427	26142.6	141267	49.664	96	0xd5bac78850fb95f
78	7816	640	427	26541	141022	50.496	111	0xfb267bf70c1032b8
79	7818	640	427	23377.2	141065	63.246	205	0xd99d4f56ee37ce12
80	7888	638	640	15870.4	141386	37.04	17	0xd573942501db779e
81	7977	429	640	27961.4	141284	61.663	192	0xc4fb51663ef32a4
82	7991	640	359	24175.2	141638	77.203	294	0xa9310a1be7a0230e
83	8021	640	480	29342.8	141331	50.538	77	0x7e979804da5526e
84	8211	640	459	30978.8	141515	92.702	175	0x1da5420e1e9a5db2
85	8277	612	612	39571	141939	54.414	137	0x1fb96bca25d2ba5a
86	8532	640	426	24294.8	141475	38.831	18	0x953952e9edee69a7
87	8629	640	640	36956.2	142152	62.038	178	0xf411c9deaab431a8
88	8690	640	480	31187.2	142183	56.247	120	0x6b70a587a259c0c5
89	8762	640	427	21814.6	141192	75.787	294	0x900d753d3414bd25
90	8844	640	426	23784.5	141770	71.746	273	0xe28d3799c88778be
91	8899	640	539	35246.3	141533	40.414	20	0xb317415238f76689
92	9378	600	400	25238.5	141548	60.622	169	0x2de9be2d07d6a8e6
93	9400	640	480	26304.7	143212	78.12	300	0x2cbee6cf86d07801
94	9448	551	640	37369.8	142013	45.747	59	0x79ea539219bf3dbd
95	9483	640	480	27774.5	141380	63.663	176	0xa99b33956b45969d
96	9590	640	427	24825.3	142122	75.328	296	0x7d86a73edb73e24f
97	9769	640	480	34462.7	141665	53.33	109	0x80cda96f76f7ce54
98	9772	550	640	33926.5	142251	74.828	298	0xf174f4973b89e8b2
99	9891	640	480	27871.4	142401	76.703	300	0x106b6231c90265ce
