block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	0	A	0	0	151313	2249.93	19498.9	69795.3	15727.1	21382	7400.75	3964.16	2511.12	8683.87	749270	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	1	150729	2251.89	19580.2	69843.3	15848.2	20624.3	7372	3855.78	2549.78	8682.37	746702	1	4	1	0	0xd43f5e018b415631
0	0	0	A	0	2	153261	2248.72	19481.5	69838.9	17389.8	20824.2	7747.28	4249.81	2660.75	8716.5	751230	0	16	1	0	0xd43f5e018b415631
0	0	0	A	0	3	151443	2265.97	19480.1	69610.7	15929.4	21277.1	7775.74	3811.49	2508.57	8680.37	745246	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	4	149304	2246.39	19402.8	69449.8	15690.4	19885.8	7453.63	4043.17	2544.82	8491.24	744650	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	5	150731	2181.93	19431.1	69828.3	15777.1	20971.8	7418.34	3826.95	2503.16	8690.62	740021	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	6	151236	2330.39	19644	69287.2	15708.7	21284.7	7687.39	3899.28	2552.12	8734.04	744628	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	7	151690	2263.64	19529.9	69853.5	15898.6	21086.4	7729.06	4017.5	2493.99	8720.67	747089	0	7	1	0	0xd43f5e018b415631
0	0	0	A	0	8	149967	2248.76	19617.4	69887.3	15801.5	19829.8	7429.76	3813.82	2540.33	8697.96	745669	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	9	150687	2181.72	19542.7	69711.5	15689.1	20653.4	7493.97	4085.17	2540.37	8685.79	737643	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	10	152502	2192.76	19618.3	69636.7	16417	21397	7758.23	3888.33	2762.84	8732.5	759647	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	11	151482	2184.55	19576	71192	15708.1	20114.5	7607.68	3978	2505.86	8513.99	754161	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	12	151155	2182.64	19536	70111.6	15658.5	20843.5	7511.46	3902.87	2606.41	8702.25	740587	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	13	150884	2224.39	19559.3	69413.2	15774.1	21142.1	7533.55	3899.53	2555.16	8684.62	742949	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	14	151297	2248.01	19436.8	69761.7	15651	21347.4	7500.46	3995.16	2520.37	8733.83	746484	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	15	150318	2242.14	19460.5	69666.2	15923.4	20273.9	7413.83	3997.54	2547.83	8691.87	747109	0	7	1	0	0xd43f5e018b415631
0	0	0	A	0	16	150634	2201.72	19456.9	69985.8	15719.5	20572.4	7363.25	4022.75	2513.82	8698	737288	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	17	151505	2188.68	19405.2	70017.5	15903.2	20849.7	7876.28	3886.87	2548.16	8727.46	742271	0	7	1	0	0xd43f5e018b415631
0	0	0	A	0	18	151529	2229.85	19627.7	69624	15868.3	21031.7	7753.2	4026.63	2544.24	8724.25	743565	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	19	152196	2253.89	20963.7	69792.5	15660.6	20693.7	7648.68	3926.83	2487.9	8665.5	743032	0	11	1	0	0xd43f5e018b415631
0	0	0	A	0	20	150920	2187.43	19518.1	69073.8	15833.6	21105.7	7641.85	4209.39	2536.12	8710.5	742206	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	21	151321	2256.72	19593	69533.9	15832	21255.1	7523.13	4013.58	2514.36	8700	745983	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	22	149418	2254.51	19452.8	69173.7	15721.4	20145.7	7602.22	3802.28	2547.24	8622.28	745946	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	23	153919	2181.55	19453.2	72240.8	15661.3	21134.5	7876.7	3877.03	2566.79	8821.46	759978	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	24	151978	2261.06	20158.7	69798.4	15694.6	21172.5	7500.59	4010.75	2563.57	8714.46	748821	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	25	149578	2255.35	19515.8	69531.2	15679.1	20085	7491.46	3919.53	2495.61	8503.94	746013	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	26	151125	2193.09	19626.1	69979.2	15658.8	20721.5	7633.52	3963.87	2554.91	8693.87	740057	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	27	152034	2178.97	19643	71126.3	15705.6	20761.8	7305.87	3989.46	2548.66	8672.58	758063	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	28	150579	2187.05	19487	69417.4	15753.6	21033.6	7442.79	3940.24	2541.41	8678.33	740999	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	29	151621	2254.97	19502.3	70109.6	15707	21220.9	7527.46	3916.74	2571.78	8704.87	746496	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	30	151570	2254.1	19575.5	69902.5	15734.3	21116.3	7573.72	4121.42	2504.95	8685.29	747238	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	31	149849	2239.55	19473.2	69721.5	15698.8	20033.2	7471.3	3839.57	2550.91	8723.75	746551	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	32	150988	2183.43	19612.8	70082.1	15653.9	20654.6	7554.92	3948.33	2517.82	8679.12	739251	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	33	152107	3803.65	19569.8	69860.3	15907	20244.3	7612.18	3910.16	2508.16	8540.78	758911	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	34	150696	2183.64	19398	69639	15783.6	21021.6	7425.42	3921.16	2542.03	8679.79	740628	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	35	152288	2253.51	19436.7	69726.6	15692.6	22371.9	7564.3	3948.87	2508.2	8682.12	745012	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	36	150606	2214.8	19480	69312.6	15678.4	21252.2	7528.59	3794.15	2539.53	8705.16	742761	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	37	153005	2704.63	19512.3	71920.2	15626.7	20600.4	7473.34	3866.78	2513.45	8683.91	749970	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	38	151045	2187.89	19370.5	69184.9	15775.9	21375.9	7863.69	3937.33	2544.83	8703.08	742818	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	39	151424	2257.14	19430.2	69796.8	15681.9	21291.3	7576.51	4046.29	2503.74	8744.54	746126	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	40	149945	2262.51	19595.4	69621.8	15793.8	19851.1	7545.76	3879.37	2610	8689.2	746094	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	41	150664	2205.55	19442.3	70041.4	15705	20635.8	7540.59	3810.57	2491.7	8692.29	737569	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	42	151131	2196.26	19542.1	69786.1	15730.7	21165	7399.67	3979.62	2540.28	8690.95	742217	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	43	151417	2255.18	19820.2	69651.5	15746.6	21051.1	7690.26	3856.57	2549.03	8693.58	745009	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	44	152340	2252.6	19471.7	71502	15743.4	20756.5	7518.55	3796.15	2501.32	8696.91	746154	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	45	151286	2231.68	19723.8	69599.3	15863.1	21049.1	7602.09	3856.57	2545.57	8714.2	744178	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	46	151177	2253.1	19856	69368.1	15673.1	21416.5	7391.87	3872.7	2553.95	8693.58	745866	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	47	150074	2266.22	19503.9	69987.6	15750	19843.8	7455.46	3883.99	2591.04	8691.62	747234	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	48	150572	2190.64	19478.8	69726.5	15687.6	20808	7536.26	3855.74	2499.99	8689.16	738815	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	49	151031	2251.14	19540.2	69223.4	15886.1	21194.7	7427.75	4214.18	2511.19	8680.74	744020	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	50	153113	2255.18	22324.1	69620	15637.2	20432.8	7743.77	3804.82	2507.82	8690.41	765047	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	51	150836	2204.3	19477.9	69564	15810.6	20960.2	7641.76	3839.36	2534.36	8701.99	741111	1	1	1	0	0xd43f5e018b415631
0	0	0	A	0	52	152096	2275.97	21019.8	69566.3	15760	20866.2	7528.09	3769.19	2523.2	8681.53	744757	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	53	151474	2253.39	19859	69678.3	15779.4	20985.5	7631.93	3953.03	2539.95	8689.24	744006	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	54	151059	2244.14	19468.6	69734.3	15693.6	21158.6	7431.5	3980.12	2512.45	8704.79	744796	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	55	149542	2249.1	19420.9	69484.4	15694.2	20058.4	7525.84	3965.87	2556.95	8481.77	745940	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	56	151266	2192.89	19538	69786.2	16035.9	20842.7	7606.55	3910.74	2530.41	8721.25	740607	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	57	150912	2181.09	19468.3	69350	15900.9	21033.6	7760.4	3859.99	2554.74	8700.62	742346	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	58	151536	2251.1	19565.2	70033	15732.8	21146.3	7538.17	3897.99	2546.32	8727.41	746359	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	59	151419	2349.48	19552.3	69942.6	15698.5	21234.1	7474.75	3870.61	2507.28	8687.87	747067	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	60	152399	2247.85	19546.2	71237.8	15958.1	20523.1	7506.22	4075.71	2498.95	8673.53	747357	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	61	151203	2241.85	19584.3	69598.7	15688.8	21284	7563.22	3930.58	2496.49	8715.16	745894	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	62	149908	2253.26	19605.2	69534.3	15843	19999.1	7327.95	4052.29	2554.78	8635.82	746885	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	63	154051	2186.09	19457.1	72178.4	16223.6	20923.4	7751.31	4028.79	2519.36	8684.12	758525	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	64	151201	2265.93	19395.8	70018.3	15782.4	20663.2	7617.8	4094.46	2554.04	8711.24	746357	2	2	1	0	0xd43f5e018b415631
0	0	0	A	0	65	150072	2246.05	19516.4	69586.4	15836.3	20030.2	7511.5	4015	2504.99	8724.91	747577	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	66	150793	2200.93	19439.6	70054.8	15776.3	20737.7	7465.92	3813.32	2519.82	8680.87	739141	1	0	1	0	0xd43f5e018b415631
0	0	0	A	0	67	151043	2183.93	19488.8	69599.8	15799.6	21046.2	7610.17	3923.78	2569.24	8717.45	742755	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	68	153446	2263.39	19551.9	70159.3	15900.6	22135.7	8129.42	4020.41	2522.07	8662.16	761677	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	69	150651	2191.68	19349.2	69697.5	15947.2	20731	7551.01	3861.99	2498.07	8721.41	738213	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	70	151025	2233.8	19428	69611.3	15766.8	21100.5	7530.55	4005.24	2551.32	8693.12	743368	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	71	151375	2245.22	19612.3	69379.2	15881.4	21256.3	7792.65	3893.7	2491.99	8719.91	746767	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	72	149596	2263.97	19463	69358.4	15826.6	20022.3	7355.87	4119.5	2558.53	8532.07	746585	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	73	151317	2183.47	19488.9	70323.4	15729	20721.2	7584.63	3998	2501.82	8687.49	740978	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	74	150532	2186.59	19459.9	69234.3	15733	21200.3	7559.05	3838.03	2538.86	8682.12	741841	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	75	149402	2267.97	19433.7	69472.9	15885.5	19923	7361.71	3850.03	2560.78	8548.11	745723	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	76	150814	2181.63	19468.9	69596.2	15861.6	21024.6	7351.71	3915.16	2549.95	8764.29	740652	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	77	152672	2489.07	19591.8	71405.3	15778.5	20285.7	7726.56	4139.92	2561.03	8593.82	760529	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	78	150706	2183.22	19327.3	69672.5	15837.9	20934.2	7443.54	3979.33	2538.9	8687.99	740659	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	79	151217	2248.55	19582.7	69527.8	15728	21184.2	7577.3	4069.46	2508.36	8685.07	745517	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	80	149507	2254.3	19389.5	69489.1	15672.1	20048.1	7590.67	3936.57	2510.2	8514.1	745895	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	81	151245	2202.68	19488.2	70557.6	15653.4	20515.7	7651.72	3880.53	2499.9	8695.53	740010	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	82	150740	2187.59	19782.3	69051.7	15767	21016.9	7611.09	3992.62	2557.2	8677.28	741550	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	83	151298	2262.22	19868.3	69466.8	15668.6	21333.4	7541.59	3826.82	2519.32	8710.87	746091	1	4	1	0	0xd43f5e018b415631
0	0	0	A	0	84	150131	2243.43	19497.4	69737.1	15690.8	19901.9	7671.59	4051	2550.94	8685.61	747154	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	85	151776	2201.3	21177.8	69455.8	15806.9	20074.8	7555.05	4157.51	2551.99	8690.7	753377	0	6	1	0	0xd43f5e018b415631
0	0	0	A	0	86	150507	2193.01	19389.4	69890.6	15676	20697.8	7539.3	3829.02	2497.61	8693.45	738169	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	87	151231	2234.26	19513.6	70031.1	15727.1	21097.2	7481.29	3815.23	2549.94	8679.91	743763	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	88	150936	2250.35	19558.1	69613.4	15712.2	21271.3	7414.2	3786.32	2546.08	8687.86	745793	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	89	149805	2330.89	19485.2	69486.5	15710.9	20188.7	7529.38	3843.4	2502.24	8630.32	747866	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	90	154191	2190.47	22436.5	69454	15805.6	21160.8	7652.26	4195.55	2511.91	8683.61	760218	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	91	151665	2244.22	19608.2	70021.5	15662.1	21222.4	7639.05	3973.24	2503.61	8689.07	747751	0	4	1	0	0xd43f5e018b415631
