operation_index	resident_operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	implementation	confidence
-1	-1	bridge	resident_bridge	resident_core_bridge_overhead	50	122.93196	122.0445	127.92285	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	-1	head_decode	full_executor	final_head_decode	50	2941.71402	2958.518	2990.9521499999996	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	0	lut	resident_core	/model.4/cv2/final_silu	50	359.95822	348.012	409.68435	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	10	add_silu	resident_core	/model.6/m.0/m/m.1/Add	50	227.05110000000002	224.1325	240.79184999999995	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	21	add_silu	resident_core	/model.8/m.0/m/m.0/Add	50	92.56816	91.5865	93.06795	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	24	add_silu	resident_core	/model.8/m.0/m/m.1/Add	50	105.69696	103.712	121.36634999999991	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	30	maxpool	resident_core	/model.9/m/MaxPool	50	471.22772	461.682	495.5603	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	31	maxpool	resident_core	/model.9/m_1/MaxPool	50	467.85264	458.6405	498.39855	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	32	maxpool	resident_core	/model.9/m_2/MaxPool	50	464.02586	457.953	483.61204999999995	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	35	add_silu	resident_core	/model.9/Add	50	368.33673999999996	358.8875	397.06795	stage56-selected-explicit-or-measured	50 complete profiled observations
-1	7	add_silu	resident_core	/model.6/m.0/m/m.0/Add	50	195.64418	191.0695	226.524	stage56-selected-explicit-or-measured	50 complete profiled observations
0	-1	input_quant	full_executor	images_QuantizeLinear	47	2230.708340425532	2230.951	2348.3138999999996	stage56-selected-explicit-or-measured	50 complete profiled observations
1	-1	conv_dense	full_executor	/model.0/conv/Conv	50	9702.66196	9597.2455	9744.90225	stage56-selected-explicit-or-measured	50 complete profiled observations
10	-1	lut2	full_executor	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	50	512.25928	498.62149999999997	604.4101	stage56-selected-explicit-or-measured	50 complete profiled observations
100	-1	lut1	fused_into_dense_conv	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage56-selected-explicit-or-measured	50 complete profiled observations
101	-1	conv_dense	full_executor	/model.13/m.0/m/m.1/cv2/conv/Conv	50	366.05510000000004	355.7205	396.33465	stage56-selected-explicit-or-measured	50 complete profiled observations
102	-1	lut2	full_executor	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output	50	57.005320000000005	55.814	57.735549999999996	stage56-selected-explicit-or-measured	50 complete profiled observations
103	-1	concat	full_executor	/model.13/m.0/Concat	50	51.461040000000004	51.21	55.44995	stage56-selected-explicit-or-measured	50 complete profiled observations
104	-1	conv_dense	full_executor	/model.13/m.0/cv3/conv/Conv	50	309.31808	306.51	333.3508	stage56-selected-explicit-or-measured	50 complete profiled observations
105	-1	concat	full_executor	/model.13/Concat	50	168.27746	163.7765	210.8243	stage56-selected-explicit-or-measured	50 complete profiled observations
