block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	0	A	0	0	151689	2335.47	19636.3	69767.8	15716.5	21182.7	7674.55	3975.94	2604.1	8704.3	748313	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	1	151703	2359.09	19679.8	69684.8	15871.9	21259.5	7497.37	3938.65	2663.89	8652.75	744321	0	11	1	0	0xd43f5e018b415631
0	0	0	A	0	2	152281	2246.05	19824.1	70261.8	15859.5	21079	7748.51	3954.91	2554.97	8659.05	744967	0	16	1	0	0xd43f5e018b415631
0	0	0	A	0	3	153978	2187.17	22321.7	69827.6	15756.4	20760.9	7827.39	3838.65	2689.94	8672.13	760534	0	12	1	0	0xd43f5e018b415631
0	0	0	A	0	4	150509	2242.21	19444.7	70203.4	15703.7	20030.7	7559.71	3944.57	2614.89	8675.67	748604	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	5	151047	2172.13	19508.1	70004.3	15763.7	20686.9	7434.08	4159.91	2509.35	8713.76	754231	0	9	1	0	0xd43f5e018b415631
0	0	0	A	0	6	151448	2174.46	19552.1	69869.5	15884.2	20912.1	7750.09	4008.57	2536.85	8668.38	741566	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	7	151760	2189	19587.8	70471.7	15871.1	20827.8	7615.59	3924.95	2517.68	8662.55	742809	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	8	151563	2180	19562.7	70295.4	15801.7	20893.8	7565.59	3907.19	2601.18	8659.05	742518	0	10	1	0	0xd43f5e018b415631
0	0	0	A	0	9	151557	2335.63	19554.7	70102.3	15865.2	21020.9	7572.17	3730.44	2601.18	8681.63	743403	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	10	151713	2331.38	19791	70044.1	15692.8	20975.5	7552.42	4022.95	2548.06	8666.5	744559	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	11	151678	2253.17	19611.6	70233.6	15786.2	21209.7	7465.62	3823.15	2526.52	8671.09	744536	0	10	1	0	0xd43f5e018b415631
0	0	0	A	0	12	151549	2237.09	19646.8	69989.5	15782.6	21132	7560.13	3899.99	2546.31	8662.46	744932	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	13	151979	2255.92	19506.5	69985.4	15949.7	21177.4	7636.93	4153.16	2550.47	8669.63	746264	0	9	1	0	0xd43f5e018b415631
0	0	0	A	0	14	151474	2238.34	19586.3	69782.6	15735.4	21214.5	7467.25	4156.53	2543.85	8656.88	744524	0	7	1	0	0xd43f5e018b415631
0	0	0	A	0	15	151707	2254.92	19966.2	69807.8	15700.5	21132.9	7686	3812.11	2590.06	8663.71	745894	0	8	1	0	0xd43f5e018b415631
0	0	0	A	0	16	155078	2257.25	19658	72916.1	15687.2	21315.6	7437.41	4409.92	2558.43	8743.22	765777	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	17	149810	2298.09	19531.4	69557.9	15706.9	20170.2	7528.92	3874.44	2539.27	8508.37	747565	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	18	151646	3492.09	19492.8	69781.5	15661	20399.7	7555.46	4042.16	2555.23	8575.38	757283	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	19	151190	2177.84	19527.5	69940.9	15787.5	20894.4	7676.13	3897.19	2528.52	8666.59	741265	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	20	151337	2261.92	19619.9	69698.8	15770.7	21120	7544.5	4018.16	2526.56	8685.25	743739	1	0	1	0	0xd43f5e018b415631
0	0	0	A	0	21	151160	2252.67	19517	69834.4	15639.9	21296.6	7431.41	3926.32	2501.89	8667.96	745295	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	22	151598	2259.21	19535.9	70019.9	15653.6	21343.9	7504.08	3949.4	2559.01	8682.21	748099	1	1	1	0	0xd43f5e018b415631
0	0	0	A	0	23	152125	2248.46	19579.4	70176.8	15922.2	21281.1	7771.09	3814.36	2543.89	8693.71	749241	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	24	151223	2251.09	19487.1	70283	15703.9	20650.4	7453.08	4093.74	2548.06	8659.96	746904	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	25	149868	2238.21	19569	69520.1	15781.3	20139.6	7442.5	4056.2	2534.18	8498.87	747993	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	26	150788	2177.92	19523.6	69787.8	15681.6	20946.8	7636.88	3760.65	2514.18	8664	740631	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	27	151508	2251.59	19592.5	70069.1	15749.5	21115.9	7405.21	3982.9	2537.02	8709.26	744766	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	28	151227	2322.8	19551.1	69584.1	15712	21323.8	7568.37	3897.95	2519.02	8658.59	745596	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	29	152394	2281.05	19461.1	69548.2	15743.5	22336.4	7574	4046.7	2620.11	8691.55	749057	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	30	151042	2250.5	19526.2	69516	15722.8	21369	7534.46	3858.27	2509.01	8662.5	745097	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	31	150139	2245.13	19644.2	69730.3	15867.9	19928.2	7350.78	4066.24	2538.72	8676.63	747145	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	32	150528	2177.79	19479.6	69775.3	15670.5	20772	7531.75	3884.78	2495.27	8647	738264	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	33	151157	2254.75	19582	69607.2	15711.1	21180.5	7678.76	3835.82	2540.68	8675.46	743673	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	34	163768	2290.05	19464.8	81912.4	15804.4	21565.1	7519.17	3914.36	2509.93	8681.67	794077	0	12	1	0	0xd43f5e018b415631
0	0	0	A	0	35	163092	2234.09	19565.4	79220.3	15788.2	20720	8368.04	5595.55	2796.4	8697.84	803368	0	57	1	0	0xd43f5e018b415631
0	0	0	A	0	36	151058	2284.63	19587.9	69843	15714.9	20717.7	7514.67	4023.62	2591.85	8682.17	748867	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	37	152291	3030.24	19532.8	69859.5	16032.2	20760.6	7783.59	3980.53	2540.14	8680.84	752816	0	4	1	0	0xd43f5e018b415631
0	0	0	A	0	38	149990	2328.59	19502.6	69721.2	15655.5	20139.2	7601.76	3932.11	2500.64	8516.87	748634	2	1	1	0	0xd43f5e018b415631
0	0	0	A	0	39	150972	2189.38	19550.3	69809.2	15780.4	20958.2	7542.54	3843.28	2539.26	8664.67	740729	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	40	151248	2249.21	19530.5	69896.8	15740.1	21123.2	7501.38	3933.49	2527.56	8657.42	744270	0	1	1	0	0xd43f5e018b415631
