operation_index	M	N	K	source_file	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_per_cycle	all_available	all_time_running
5	25600	32	32	shapes_backend_stalls.log	backend_stalls	4	15202621.000000	7327035.250000	0.481958687	1	1
5	25600	32	32	shapes_dtlb_read_miss.log	dtlb_read_miss	4	15210610.750000	2714.750000	0.000178477	1	1
5	25600	32	32	shapes_dtlb_write_miss.log	dtlb_write_miss	4	15191402.250000	1263.250000	0.000083156	1	1
5	25600	32	32	shapes_frontend_stalls.log	frontend_stalls	4	15142351.250000	107118.500000	0.007074100	1	1
5	25600	32	32	shapes_instructions.log	instructions	4	15103763.500000	10545253.500000	0.698187144	1	1
5	25600	32	32	shapes_itlb_read_miss.log	itlb_read_miss	4	15133420.000000	105.500000	0.000006971	1	1
5	25600	32	32	shapes_l1d_read_access.log	l1d_read_access	4	15214161.500000	2689220.750000	0.176757737	1	1
5	25600	32	32	shapes_l1d_read_miss.log	l1d_read_miss	4	15265771.500000	33852.250000	0.002217526	1	1
5	25600	32	32	shapes_l1i_read_access.log	l1i_read_access	4	15134357.750000	6628377.000000	0.437968833	1	1
5	25600	32	32	shapes_l1i_read_miss.log	l1i_read_miss	4	15283751.000000	452.750000	0.000029623	1	1
12	25600	64	48	shapes_backend_stalls.log	backend_stalls	4	38644827.000000	22779223.750000	0.589450789	1	1
12	25600	64	48	shapes_dtlb_read_miss.log	dtlb_read_miss	4	38588249.000000	71768.250000	0.001859847	1	1
12	25600	64	48	shapes_dtlb_write_miss.log	dtlb_write_miss	4	39066125.500000	16632.750000	0.000425759	1	1
12	25600	64	48	shapes_frontend_stalls.log	frontend_stalls	4	38574054.750000	254872.750000	0.006607362	1	1
12	25600	64	48	shapes_instructions.log	instructions	4	38550041.750000	21658796.250000	0.561835870	1	1
12	25600	64	48	shapes_itlb_read_miss.log	itlb_read_miss	4	38455772.750000	123.750000	0.000003218	1	1
12	25600	64	48	shapes_l1d_read_access.log	l1d_read_access	4	38935259.000000	7959322.250000	0.204424536	1	1
12	25600	64	48	shapes_l1d_read_miss.log	l1d_read_miss	4	38545444.000000	149879.750000	0.003888391	1	1
12	25600	64	48	shapes_l1i_read_access.log	l1i_read_access	4	38622754.750000	13795255.500000	0.357179481	1	1
12	25600	64	48	shapes_l1i_read_miss.log	l1i_read_miss	4	38543661.750000	486.500000	0.000012622	1	1
124	6400	64	96	shapes_backend_stalls.log	backend_stalls	4	10571392.000000	6036423.750000	0.571015033	1	1
124	6400	64	96	shapes_dtlb_read_miss.log	dtlb_read_miss	4	10614588.500000	39907.500000	0.003759684	1	1
124	6400	64	96	shapes_dtlb_write_miss.log	dtlb_write_miss	4	10369053.000000	5495.500000	0.000529991	1	1
124	6400	64	96	shapes_frontend_stalls.log	frontend_stalls	4	10681128.000000	93991.250000	0.008799749	1	1
124	6400	64	96	shapes_instructions.log	instructions	4	10764000.500000	5897116.250000	0.547855442	1	1
124	6400	64	96	shapes_itlb_read_miss.log	itlb_read_miss	4	10356690.750000	105.750000	0.000010211	1	1
124	6400	64	96	shapes_l1d_read_access.log	l1d_read_access	4	10532381.000000	1645313.250000	0.156214749	1	1
