surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
compatibility_500	0	0	146301	2404.44	22264.2	71358.6	16475.7	11699.6	9953.66	5957.88	3380.18	2669.03	542978	1221	1	1	0	0xd43f5e018b415631
compatibility_500	0	1	146493	2350.9	22267.2	71518.3	16382.1	11725.6	9997.25	6134.09	3386.52	2596.28	542993	1231	1	1	0	0xd43f5e018b415631
compatibility_500	0	2	148054	2423.4	22137.1	71607.5	16320.1	11745.5	10050.8	7635.18	3400.1	2601.7	543245	1208	0	1	0	0xd43f5e018b415631
compatibility_500	0	3	145955	2331.32	22260	71168.3	16266.1	11747.4	9987.12	6042.67	3343.64	2674.33	541494	1200	0	1	0	0xd43f5e018b415631
compatibility_500	0	4	146045	2401.9	22158.8	71375.7	16328.3	11725.3	9985.2	5905.04	3354.89	2679.41	542103	1210	0	1	0	0xd43f5e018b415631
compatibility_500	0	5	147085	2327.94	22190.8	71771.6	16555.6	11715.7	9873.49	6467.73	3420.68	2615.49	543455	1215	1	1	0	0xd43f5e018b415631
compatibility_500	0	6	146525	2371.28	22514.4	71615	16190	11757.4	9834.95	6086.34	3364.18	2651.62	543260	1208	1	1	0	0xd43f5e018b415631
compatibility_500	0	7	146165	2418.28	22242.4	71504.8	16272.5	11724.3	9788.28	6020.8	3396.43	2664.2	542582	1215	0	1	0	0xd43f5e018b415631
compatibility_500	0	8	146361	2352.03	22374.2	71321.2	16292.3	11734.3	10136.8	6035.34	3370.26	2611.41	544065	1198	1	1	0	0xd43f5e018b415631
compatibility_500	0	9	146417	2414.28	22160	71751	16402	11697.2	9888.37	5983.01	3325.26	2658.53	542722	1216	0	1	0	0xd43f5e018b415631
compatibility_500	0	10	146968	2447.45	22336.9	72030.7	16333.3	11733.5	9904.7	6015.72	3349.02	2679.79	544771	1224	0	1	0	0xd43f5e018b415631
compatibility_500	0	11	151216	2350.9	22543.3	75482.5	16516.6	11733	10173.4	6059.88	3512.31	2702.83	548564	1220	3	1	0	0xd43f5e018b415631
compatibility_500	0	12	146595	2332.82	22230.1	71383	16287.1	11773.6	10316.5	6220.8	3306.34	2609.24	540413	1218	2	1	0	0xd43f5e018b415631
compatibility_500	0	13	146767	2405.65	22277.2	71593.9	16396.9	11768	10109.9	6021.63	3359.72	2696.79	544194	1220	3	1	0	0xd43f5e018b415631
compatibility_500	0	14	146637	2446.45	22457.1	71595.7	16271.8	11700.8	9839.16	6082.01	3410.76	2699.37	543833	1207	5	1	0	0xd43f5e018b415631
compatibility_500	0	15	147994	3471.27	22388.3	71761.3	16370.3	11715.6	10144.7	6014.09	3311.72	2670.33	545612	1218	4	1	0	0xd43f5e018b415631
compatibility_500	0	16	147873	2386.03	22254.2	72334.8	16354.7	12085.1	10041.7	6170.18	3440.77	2664.83	544167	1229	1	1	0	0xd43f5e018b415631
compatibility_500	0	17	146167	2343.86	22241.6	71423.8	16589	11761.1	9850.41	5811.63	3396.51	2610.87	541420	1211	3	1	0	0xd43f5e018b415631
compatibility_500	0	18	147366	2448.36	22802.4	71811.4	16413.7	11777.2	9877.36	6064.17	3412.43	2620.41	544389	1217	6	1	0	0xd43f5e018b415631
compatibility_500	0	19	147376	2799.45	22168.3	72138.2	16480.6	11749.8	9971.29	5966.46	3359.6	2602.78	544138	1216	3	1	0	0xd43f5e018b415631
compatibility_500	0	20	146357	2466.61	22355.1	71430.7	16442.3	11762.3	9749.36	6000.84	3353.47	2652.66	542428	1220	0	1	0	0xd43f5e018b415631
compatibility_500	0	21	146700	2338.11	22378	71320.6	16312.4	11811.3	10238.1	6051.17	3404.43	2701.58	544281	1227	1	1	0	0xd43f5e018b415631
compatibility_500	0	22	146424	2346.9	22290.3	71544.9	16500.6	11715.3	9969.58	6009.97	3309.35	2606.03	543161	1217	2	1	0	0xd43f5e018b415631
compatibility_500	0	23	146576	2422.99	22284.6	71616.8	16360	11759	10092.4	5911.34	3308.68	2683.58	542539	1207	0	1	0	0xd43f5e018b415631
compatibility_500	0	24	150615	3742.9	22252.3	74057.4	16661.1	11727.9	9775.82	6157.59	3452.43	2653.53	546489	1225	4	1	0	0xd43f5e018b415631
compatibility_500	0	25	147190	2339.19	22431.6	72153.8	16214.4	11751.3	9920.91	6241.72	3346.72	2622.62	543666	1223	3	1	0	0xd43f5e018b415631
compatibility_500	0	26	147260	2743.25	22551.2	71745.3	16523.6	11688.6	9987.08	5886.63	3381.93	2603.03	543764	1216	3	1	0	0xd43f5e018b415631
