surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage56_compatibility_500	0	0	155978	2506.15	21603.8	75911.8	16222.1	17414.1	9852.1	6043.16	3382.3	2907.74	579853	1237	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	1	156392	2478.61	21601.6	76088.2	16140.5	17435.8	10017	6159.71	3403.93	2933.25	581361	1229	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	2	155280	2576.11	21412.5	75473.4	16208.6	17460.4	9739.09	6017.12	3347.17	2912.74	577862	1219	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	3	155855	2534.94	21548.9	76022.6	16088.9	17442.5	9782.81	6013.83	3374.88	2913.95	579279	1217	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	4	155519	2589.45	21694.5	75434.3	16175.2	17420.4	9730.97	6082.58	3356.38	2899.37	577706	1220	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	5	155694	2611.57	21529.7	75524.7	16219.8	17478.9	9783.89	6089.33	3390.38	2927.49	578243	1221	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	6	155862	2579.57	21657.8	75814.4	16204.1	17453.2	9819.8	5937.99	3355.63	2902.58	579269	1222	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	7	156222	2479.36	21693.5	76183.7	16141.6	17379.4	9953.64	5932.03	3407.97	2921.75	580096	1226	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	8	164853	4106.44	21702.1	77165.2	18689.8	19738.1	10822.5	6011.45	3337.59	3136.42	588735	1240	35	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	9	156913	3455.88	21780.1	75569.1	16184.2	17391.5	10003.1	6090.12	3462.55	2841.74	582062	1223	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	10	156001	2564.07	21535.9	75905.1	16358.2	17404.6	9713.39	6072.08	3449.01	2863.12	579004	1226	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	11	157864	2552.65	21544	75671.7	17889.1	17857.9	9962.27	5924.7	3402.63	2917.08	580403	1230	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	12	156149	2569.74	21646.5	75795.3	16351.3	17483	9749.72	6125.75	3373.76	2922.91	579394	1226	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	13	155959	2666.82	21735.2	75934.3	16204	17431.8	9743.01	5823.49	3348.67	2934.79	579669	1220	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	14	155474	2652.36	21410.7	75464.2	16196	17466.2	9779.18	5902.07	3543.26	2925.08	577386	1221	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	15	156201	2539.11	21706.8	76218.1	16145.1	17416.5	9829.6	5905.49	3382.8	2927.29	578997	1229	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	16	155507	2581.94	21457	75767.4	16103.4	17441.4	9821.01	5939.66	3361.38	2904.24	577398	1224	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	17	155384	2548.74	21547.9	75639.5	16141.4	17475.1	9827.18	5877.62	3279.75	2910.33	578108	1214	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	18	155709	2447.53	21450.3	75527.5	16238.7	18000	9728.23	5871.12	3389.01	2916.79	577030	1223	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	19	156046	2544.74	21686.1	75872.5	16181.6	17466.2	9924.52	6005.08	3310.38	2924.79	578993	1227	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	20	156094	2562.99	21613	75798.3	16206.4	17524.2	9955.6	6026.54	3363.09	2914.24	579872	1217	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	21	156026	2576.94	21535	75875.1	16226.1	17471.9	10075.1	5872.16	3343.96	2920.04	578985	1220	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	22	155946	2480.86	21782.4	75737.4	16464.5	17429.6	9737.89	5947.79	3319.17	2914.37	578022	1224	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	23	155875	2663.41	21538.1	75805.3	16174.9	17452.7	9779.76	6065.91	3313.67	2906.45	579105	1217	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	24	158306	2531.86	23833.1	75642.8	16316.6	17504.3	9837.47	6211.63	3360.76	2936	581528	1256	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	25	155780	2460.98	21762.2	75587.6	16202.8	17413.3	9902.64	6043.37	3358.01	2922.83	578432	1216	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	26	157701	2515.53	21769.7	76231	16333.4	17518.6	9753.34	5987.75	4679.04	2780.07	578584	1235	3	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	27	155798	2870.2	21530.4	75681.3	16202.2	17364	9787.51	6219.25	3352.09	2660.99	579427	1201	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	28	155533	2573.24	21445	75675.1	16195.7	17557.9	9681.26	6121.2	3314.8	2834.95	576692	1238	1	1	0	0xd43f5e018b415631
