source_run	scene_id	camera_mode	illumination_note	distance_m	distance_status	letterbox_shorter_side_bin	processed_index	measured	source_sequence	class_id	class_name	confidence	original_x1	original_y1	original_x2	original_y2	original_width	original_height	original_area	letterbox_x1	letterbox_y1	letterbox_x2	letterbox_y2	letterbox_width	letterbox_height	letterbox_area
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	33	1	58	0	person	0.265251	16.420898	2.334961	1263.691406	713.191406	1247.270508	710.856445	886630.279527	8.210449	141.167480	631.845703	496.595703	623.635254	355.428223	221657.569882
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	36	1	63	0	person	0.265251	7.699219	6.696289	1272.413086	704.469727	1264.713867	697.773438	882483.742561	3.849609	143.348145	636.206543	492.234863	632.356934	348.886719	220620.935640
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	38	1	66	0	person	0.265251	7.699219	6.696289	1272.413086	704.469727	1264.713867	697.773438	882483.742561	3.849609	143.348145	636.206543	492.234863	632.356934	348.886719	220620.935640
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	39	1	68	0	person	0.265251	7.699219	6.696289	1276.774414	704.469727	1269.075195	697.773438	885526.961479	3.849609	143.348145	638.387207	492.234863	634.537598	348.886719	221381.740370
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	40	1	70	0	person	0.265251	20.782227	6.696289	1263.691406	704.469727	1242.909180	697.773438	867269.010811	10.391113	143.348145	631.845703	492.234863	621.454590	348.886719	216817.252703
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	43	1	75	0	person	0.265251	16.420898	6.696289	1279.000000	713.191406	1262.579102	706.495117	892005.970317	8.210449	143.348145	640.000000	496.595703	631.789551	353.247559	223178.116359
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	50	1	87	0	person	0.265251	3.337891	6.696289	1268.052734	713.191406	1264.714844	706.495117	893514.861744	1.668945	143.348145	634.026367	496.595703	632.357422	353.247559	223378.715436
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	52	1	90	0	person	0.265251	16.420898	2.334961	1276.774414	717.552734	1260.353516	715.217773	901427.235189	8.210449	141.167480	638.387207	498.776367	630.176758	357.608887	225356.808797
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	54	1	94	0	person	0.265251	20.782227	6.696289	1263.691406	704.469727	1242.909180	697.773438	867269.010811	10.391113	143.348145	631.845703	492.234863	621.454590	348.886719	216817.252703
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	57	1	99	0	person	0.265251	7.699219	2.334961	1263.691406	704.469727	1255.992188	702.134766	881875.780197	3.849609	141.167480	631.845703	492.234863	627.996094	351.067383	220468.945049
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	59	1	102	0	person	0.265251	7.699219	6.696289	1272.413086	713.191406	1264.713867	706.495117	893514.171807	3.849609	143.348145	636.206543	496.595703	632.356934	353.247559	223378.542952
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	63	1	109	0	person	0.265251	16.420898	6.696289	1272.413086	713.191406	1255.992188	706.495117	887352.347694	8.210449	143.348145	636.206543	496.595703	627.996094	353.247559	221838.086924
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	78	1	134	0	person	0.265251	12.059570	6.696289	1272.413086	713.191406	1260.353516	706.495117	890433.604719	6.029785	143.348145	636.206543	496.595703	630.176758	353.247559	222608.401180
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	80	1	137	0	person	0.265251	16.420898	6.696289	1259.330078	708.831055	1242.909180	702.134766	872689.745573	8.210449	143.348145	629.665039	494.415527	621.454590	351.067383	218172.436393
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	81	1	139	0	person	0.265251	12.059570	6.696289	1276.774414	704.469727	1264.714844	697.773438	882484.423981	6.029785	143.348145	638.387207	492.234863	632.357422	348.886719	220621.105995
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	83	1	143	0	person	0.265251	16.420898	2.334961	1263.691406	717.552734	1247.270508	715.217773	892070.035472	8.210449	141.167480	631.845703	498.776367	623.635254	357.608887	223017.508868
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	91	1	156	0	person	0.265251	0.000000	6.696289	1272.413086	713.191406	1272.413086	706.495117	898953.632260	0.000000	143.348145	636.206543	496.595703	636.206543	353.247559	224738.408065
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	106	1	181	0	person	0.265251	12.059570	6.696289	1259.330078	713.191406	1247.270508	706.495117	881190.523582	6.029785	143.348145	629.665039	496.595703	623.635254	353.247559	220297.630895
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	193	1	328	0	person	0.265251	0.000000	2.334961	1268.052734	713.191406	1268.052734	710.856445	901403.459227	0.000000	141.167480	634.026367	496.595703	634.026367	355.428223	225350.864807
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	231	1	393	0	person	0.265251	7.699219	0.000000	1272.413086	713.191406	1264.713867	713.191406	901983.061443	3.849609	138.986816	636.206543	496.595703	632.356934	357.608887	226136.459031
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	403	1	683	0	person	0.265251	20.782227	6.696289	1263.691406	708.831055	1242.909180	702.134766	872689.745573	10.391113	143.348145	631.845703	494.415527	621.454590	351.067383	218172.436393
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	406	1	688	0	person	0.265251	3.337891	6.696289	1263.691406	704.469727	1260.353516	697.773438	879441.205063	1.668945	143.348145	631.845703	492.234863	630.176758	348.886719	219860.301266
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	407	1	690	0	person	0.265251	20.782227	6.696289	1272.413086	704.469727	1251.630859	697.773438	873354.767227	10.391113	143.348145	636.206543	492.234863	625.815430	348.886719	218338.691807
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	413	1	700	0	person	0.265251	7.699219	6.696289	1263.691406	717.552734	1255.992188	710.856445	892830.141747	3.849609	143.348145	631.845703	498.776367	627.996094	355.428223	223207.535437
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	415	1	703	0	person	0.265251	25.143555	6.696289	1263.691406	704.469727	1238.547852	697.773438	864225.791893	12.571777	143.348145	631.845703	492.234863	619.273926	348.886719	216056.447973
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	417	1	707	0	person	0.265251	7.699219	6.696289	1272.413086	719.000000	1264.713867	712.303711	900860.380872	3.849609	143.348145	636.206543	500.957031	632.356934	357.608887	226136.459031
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	418	1	708	0	person	0.265251	12.059570	6.696289	1276.774414	713.191406	1264.714844	706.495117	893514.861744	6.029785	143.348145	638.387207	496.595703	632.357422	353.247559	223378.715436
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	423	1	717	0	person	0.265251	3.337891	6.696289	1272.413086	704.469727	1269.075195	697.773438	885526.961479	1.668945	143.348145	636.206543	492.234863	634.537598	348.886719	221381.740370
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	425	1	720	0	person	0.265251	12.059570	6.696289	1263.691406	713.191406	1251.631836	706.495117	884271.780606	6.029785	143.348145	631.845703	496.595703	625.815918	353.247559	221067.945152
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	440	1	746	0	person	0.265251	7.699219	6.696289	1272.413086	713.191406	1264.713867	706.495117	893514.171807	3.849609	143.348145	636.206543	496.595703	632.356934	353.247559	223378.542952
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	444	1	752	0	person	0.265251	0.000000	6.696289	1268.052734	708.831055	1268.052734	702.134766	890343.909451	0.000000	143.348145	634.026367	494.415527	634.026367	351.067383	222585.977363
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	453	1	768	0	person	0.375328	16.420898	6.696289	1263.691406	704.469727	1247.270508	697.773438	870312.229729	8.210449	143.348145	631.845703	492.234863	623.635254	348.886719	217578.057432
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	459	1	778	0	person	0.265251	7.699219	6.696289	1276.774414	713.191406	1269.075195	706.495117	896595.428832	3.849609	143.348145	638.387207	496.595703	634.537598	353.247559	224148.857208
release-c5-r1	fixed-wall-poster	1280x720@60_MJPG	stable-indoor-board-session		not-measured	>=96	465	1	788	0	person	0.265251	12.059570	2.334961	1272.413086	713.191406	1260.353516	710.856445	895930.419954	6.029785	141.167480	636.206543	496.595703	630.176758	355.428223	223982.604989
