dimension	bin	gt_count	true_positive	recall	associated_predictions	precision	iou_threshold	confidence_threshold
coco_area	small	15264	2739	0.179441824	3526	0.776800908	0.50	0.250000
coco_area	medium	12392	6298	0.508231117	7759	0.811702539	0.50	0.250000
coco_area	large	8679	6935	0.799055191	8319	0.833633850	0.50	0.250000
shorter_side_letterbox_px	0-8	2386	72	0.030176027	118	0.610169492	0.50	0.250000
shorter_side_letterbox_px	8-12	2481	283	0.114066909	379	0.746701847	0.50	0.250000
shorter_side_letterbox_px	12-16	2402	452	0.188176520	555	0.814414414	0.50	0.250000
shorter_side_letterbox_px	16-24	4122	1013	0.245754488	1291	0.784663052	0.50	0.250000
shorter_side_letterbox_px	24-32	3233	966	0.298793690	1183	0.816568047	0.50	0.250000
shorter_side_letterbox_px	32-48	4688	1838	0.392064846	2257	0.814355339	0.50	0.250000
shorter_side_letterbox_px	48-64	3210	1564	0.487227414	1901	0.822724882	0.50	0.250000
shorter_side_letterbox_px	64-96	4221	2413	0.571665482	2986	0.808104488	0.50	0.250000
shorter_side_letterbox_px	>=96	9592	7371	0.768452877	8934	0.825050369	0.50	0.250000
box_height_letterbox_px	0-8	1182	20	0.016920474	38	0.526315789	0.50	0.250000
box_height_letterbox_px	8-12	1413	94	0.066525124	141	0.666666667	0.50	0.250000
box_height_letterbox_px	12-16	1593	179	0.112366604	221	0.809954751	0.50	0.250000
box_height_letterbox_px	16-24	3105	505	0.162640902	659	0.766312595	0.50	0.250000
box_height_letterbox_px	24-32	2867	586	0.204394838	753	0.778220452	0.50	0.250000
box_height_letterbox_px	32-48	4651	1345	0.289185121	1682	0.799643282	0.50	0.250000
box_height_letterbox_px	48-64	3294	1161	0.352459016	1469	0.790333560	0.50	0.250000
box_height_letterbox_px	64-96	4546	2107	0.463484382	2568	0.820482866	0.50	0.250000
box_height_letterbox_px	>=96	13684	9975	0.728953522	12073	0.826223805	0.50	0.250000
