repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	133283	2224.24	20104	67089.4	15767.5	11343.7	7465.83	4042.89	2498.82	2657.19	654742	0	1	1	0	0xd43f5e018b415631
0	1	134026	2227.61	20320.4	67379.9	15715	11459.5	7710.29	3928.52	2502.15	2689.07	662327	1	5	1	0	0xd43f5e018b415631
0	2	134118	2243.74	20287.5	67440.6	15866	11344.6	7732.7	3943.52	2500.19	2667.57	669613	0	4	1	0	0xd43f5e018b415631
0	3	133985	2200.49	20365.3	67348	15799.4	11348.7	7588.24	3979.81	2556.48	2677.82	660137	1	2	1	0	0xd43f5e018b415631
0	4	133791	2260.82	20119.4	67424.8	15792.5	11341.5	7624.99	3909.93	2537.99	2685.94	667188	0	1	1	0	0xd43f5e018b415631
0	5	133500	2268.44	20249.1	67246.8	15725	11334.8	7513.12	3869.23	2520.44	2683.53	658923	0	0	1	0	0xd43f5e018b415631
0	6	133553	2230.86	20087.9	67082.8	15998.2	11368.1	7514	3953.06	2553.57	2647.82	667923	1	1	1	0	0xd43f5e018b415631
0	7	133973	2505.61	20191.1	67413.3	15700.3	11370.1	7487.54	4034.76	2493.32	2684.57	661203	0	0	1	0	0xd43f5e018b415631
0	8	133957	2254.69	20193.2	67553.8	15969.9	11354.8	7331.7	4034.94	2509.53	2663.23	668206	0	3	1	0	0xd43f5e018b415631
0	9	133990	2549.07	20197.8	67058	15891.2	11344.8	7731.49	3878.6	2569.69	2676.48	659646	0	0	1	0	0xd43f5e018b415631
0	10	133804	2252.4	20247.4	67265.7	15837.4	11362.4	7629.41	3942.44	2503.65	2668.65	666453	0	2	1	0	0xd43f5e018b415631
0	11	134085	2552.48	20109.7	67403.3	15885.2	11304.2	7628.53	3902.6	2565.32	2641.28	658667	0	1	1	0	0xd43f5e018b415631
0	12	133666	2262.94	20075.6	67130.3	15842.5	11320.3	7796.5	3955.81	2515.69	2670.48	664881	1	2	1	0	0xd43f5e018b415631
0	13	134114	2180.32	20317.8	67684.7	15738.8	11416.7	7558.7	3904.1	2559.52	2656.36	657839	0	1	1	0	0xd43f5e018b415631
0	14	134046	2328.15	20237.2	67648.2	15704	11399.5	7614.45	3838.52	2502.74	2679.15	664226	0	0	1	0	0xd43f5e018b415631
0	15	133992	2294.65	20110.6	67447.8	15893	11417.5	7520.28	4061.35	2504.48	2647.48	654938	0	2	1	0	0xd43f5e018b415631
0	16	133378	2210.74	20234.5	67117.6	15848.9	11409.6	7333.41	3965.56	2496.15	2671.11	661522	0	1	1	0	0xd43f5e018b415631
