soname	provider	validation	status
libopencv_core.so.413	release/opencv/lib	readelf-and-board-loader	bundled
libopencv_highgui.so.413	release/opencv/lib	readelf-and-board-loader	bundled
libopencv_imgcodecs.so.413	release/opencv/lib	readelf-and-board-loader	bundled
libopencv_imgproc.so.413	release/opencv/lib	readelf-and-board-loader	bundled
libopencv_videoio.so.413	release/opencv/lib	readelf-and-board-loader	bundled
ld-linux-riscv64-lp64d.so.1	supported-board-system	clean-extract-verifier	pass
libc.so.6	supported-board-system	clean-extract-verifier	pass
libcairo.so.2	supported-board-system	clean-extract-verifier	pass
libgcc_s.so.1	supported-board-system	clean-extract-verifier	pass
libgdk-3.so.0	supported-board-system	clean-extract-verifier	pass
libgdk_pixbuf-2.0.so.0	supported-board-system	clean-extract-verifier	pass
libglib-2.0.so.0	supported-board-system	clean-extract-verifier	pass
libgobject-2.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstapp-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstaudio-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstbase-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstpbutils-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstreamer-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstriff-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgstvideo-1.0.so.0	supported-board-system	clean-extract-verifier	pass
libgtk-3.so.0	supported-board-system	clean-extract-verifier	pass
libm.so.6	supported-board-system	clean-extract-verifier	pass
libstdc++.so.6	supported-board-system	clean-extract-verifier	pass
