arm	block	cycle	position	sample	total_us	pure_executor_us	process_cpu_us	voluntary_cs	involuntary_cs	output_hash	affinity_ok	cpu4_7_ime_count
stage57	0	0	0	1	132628	130264	648514	1	0	0xd43f5e018b415631	1	0
stage58	0	0	1	1	133576	131103	661786	0	0	0xd43f5e018b415631	1	0
stage58	0	0	2	2	133447	131188	654445	0	0	0xd43f5e018b415631	1	0
stage57	0	0	3	2	132847	130631	663139	1	0	0xd43f5e018b415631	1	0
stage58	0	1	0	3	133426	131249	659427	1	2	0xd43f5e018b415631	1	0
stage57	0	1	1	3	133924	130721	669440	0	0	0xd43f5e018b415631	1	0
stage57	0	1	2	4	132994	130505	659870	0	2	0xd43f5e018b415631	1	0
stage58	0	1	3	4	134936	131308	673105	0	0	0xd43f5e018b415631	1	0
stage57	0	2	0	5	132591	130107	658170	1	0	0xd43f5e018b415631	1	0
stage58	0	2	1	5	133325	130951	655693	0	0	0xd43f5e018b415631	1	0
stage58	0	2	2	6	133724	131505	665835	0	1	0xd43f5e018b415631	1	0
stage57	0	2	3	6	132743	130586	657040	1	2	0xd43f5e018b415631	1	0
stage58	0	3	0	7	134874	131275	671322	1	3	0xd43f5e018b415631	1	0
stage57	0	3	1	7	134293	130389	658536	1	0	0xd43f5e018b415631	1	0
stage57	0	3	2	8	133155	130941	663265	1	1	0xd43f5e018b415631	1	0
stage58	0	3	3	8	135573	131300	676308	0	0	0xd43f5e018b415631	1	0
stage57	0	4	0	9	132986	130580	658603	0	0	0xd43f5e018b415631	1	0
stage58	0	4	1	9	134128	130688	654968	0	0	0xd43f5e018b415631	1	0
stage58	0	4	2	10	133465	131277	660920	0	0	0xd43f5e018b415631	1	0
stage57	0	4	3	10	133055	130835	653664	1	1	0xd43f5e018b415631	1	0
stage58	0	5	0	11	133259	131036	664814	1	0	0xd43f5e018b415631	1	0
stage57	0	5	1	11	135077	130965	660661	0	2	0xd43f5e018b415631	1	0
stage57	0	5	2	12	132533	130335	661121	1	0	0xd43f5e018b415631	1	0
stage58	0	5	3	12	135493	131413	677098	0	0	0xd43f5e018b415631	1	0
stage57	0	6	0	13	134850	130631	661645	1	0	0xd43f5e018b415631	1	0
stage58	0	6	1	13	133300	130978	663815	1	0	0xd43f5e018b415631	1	0
stage58	0	6	2	14	133465	131287	657901	0	1	0xd43f5e018b415631	1	0
stage57	0	6	3	14	133511	131103	667251	0	1	0xd43f5e018b415631	1	0
stage58	0	7	0	15	133987	131810	660902	1	0	0xd43f5e018b415631	1	0
stage57	0	7	1	15	133850	131420	667874	1	1	0xd43f5e018b415631	1	0
stage57	0	7	2	16	133333	131186	659302	0	0	0xd43f5e018b415631	1	0
stage58	0	7	3	16	133298	131079	653015	1	0	0xd43f5e018b415631	1	0
stage57	0	8	0	17	132810	130503	662451	0	0	0xd43f5e018b415631	1	0
stage58	0	8	1	17	135434	131345	677023	0	1	0xd43f5e018b415631	1	0
stage58	0	8	2	18	133646	131144	660664	0	0	0xd43f5e018b415631	1	0
stage57	0	8	3	18	132671	130456	652217	0	1	0xd43f5e018b415631	1	0
stage58	0	9	0	19	133582	131361	665574	0	1	0xd43f5e018b415631	1	0
stage57	0	9	1	19	132760	130590	657652	1	0	0xd43f5e018b415631	1	0
stage57	0	9	2	20	132815	130331	653838	0	0	0xd43f5e018b415631	1	0
