surface	artifact_or_samples	mean_or_value	p95_or_status	output_or_identity	status
published_release_build_info	0.9.1	capability_flags=0xf	ime1_rvv1_frozen1_rgb1	embedded_source=bf965e83e650839a95c32027f1a6443d35d44caa	pass
published_release_healthcheck	1	154562.194_us	exit_0	0xd43f5e018b415631	pass
published_0.9.1_O2_reproduction	20	141116.050_us	141554.000_us	0xd43f5e018b415631	pass
clean_stage58_fixed_flags_control	20	133301.150_us	not_headline_scout	0xd43f5e018b415631	pass
published_camera_GUI_reproduction	1025	5.691041_processed_fps	175.282_ms_consumer_mean	146.606_ms_executor_mean	pass
published_camera_OpenCV_decode	1861	9.985989_fps	43.256314_pct_app_replacement	1280x720_MJPG_60_requested_reported	pass
published_camera_call_latency	1025	225.040_ms_mean	270.609_ms_p95	decoded_read_return_to_display_call	reproduced-historical-schema
runtime_archive_extract	0.9.1_tar_gz	all_SHA256SUMS	clean_tree	repository_paths_not_used	pass
package_manifest	asset_hashes.tsv	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	exact	K1X_INT8_V1	pass
accepted_prediction	COCO_5000	cda5c8c7a46d61d9c90f6292001eea190cb8f6617efe647a33dc6134dd57ccda	byte_identity	mAP50-95_0.3707408944391919	accepted-control
