fixture	optimized_exit	scalar_exit	boundary_status	integer_boundaries	optimized_output_hash	scalar_output_hash
F0	0	0	exact	215	0xd43f5e018b415631	0xd43f5e018b415631
F1	0	0	exact	215	0xb75e8e0359ee5ccc	0xb75e8e0359ee5ccc
F2	0	0	exact	215	0x5e1593696c0b49d4	0x5e1593696c0b49d4
F3	0	0	exact	215	0xd2cfaeed3ea6b14f	0xd2cfaeed3ea6b14f
F4	0	0	exact	215	0xd917464ca70773b5	0xd917464ca70773b5
F5	0	0	exact	215	0xfe8293d27da4bc67	0xfe8293d27da4bc67
F6	0	0	exact	215	0x5ee3c8180018544a	0x5ee3c8180018544a
F7	0	0	exact	215	0x7d6cbe130370dbbe	0x7d6cbe130370dbbe
bus	0	0	exact	215	0xd43f5e018b415631	0xd43f5e018b415631
Zidane	0	0	exact	215	0x90712f57f50ad688	0x90712f57f50ad688
FRM_RNE	0	0	restored	215	0xd43f5e018b415631	0xd43f5e018b415631
FRM_RTZ	0	0	restored	215	0xd43f5e018b415631	0xd43f5e018b415631
FRM_RDN	0	0	restored	215	0xd43f5e018b415631	0xd43f5e018b415631
FRM_RUP	0	0	restored	215	0xd43f5e018b415631	0xd43f5e018b415631
FRM_RMM	0	0	restored	215	0xd43f5e018b415631	0xd43f5e018b415631
vcsr_0_2_3_4_7	0	0	restored	215	0xd43f5e018b415631	0xd43f5e018b415631
affinity_CPU0_3_workers_CPU4_controller	0	0	exact	215	0xd43f5e018b415631	0xd43f5e018b415631
CPU4_7_IME_count_zero	0	0	exact	215	0xd43f5e018b415631	0xd43f5e018b415631
