field	value	evidence	status
capture_utc	2026-07-21T12:11:44Z	board_final_state_probe	captured
board_host	bf3	board_preflight	unchanged
board_os	Bianbu_2.2.1	/etc/os-release	unchanged
kernel	Linux_6.6.63_#2.2.7.2_riscv64	uname_-a	unchanged
boot_id	0a0691d1-7502-44c3-903b-444dba83c1d9	/proc/sys/kernel/random/boot_id	matches_before
root_mount	/dev/mmcblk2p6_ext4_rw_noatime	findmnt_-T_/	unchanged_control
data_mount	/dev/nvme0n1p1_ext4_rw_noatime	findmnt_-T_/data	selected_stage_storage
cpu_governor	performance	cpu0_cpufreq/scaling_governor	restored
cpu_max_khz	1600000	cpu0_cpufreq/scaling_max_freq	restored
cpu_cur_khz	1600000	cpu0_cpufreq/scaling_cur_freq	observed
workqueue_cpumask	ff	/sys/devices/virtual/workqueue/cpumask	restored
o2_snapshot	absent	o2-system-profile.sh_status	clean
o2_cgroup	absent	o2-system-profile.sh_status	clean
camera_profile	inactive	camera-system-profile.sh_status	restored
camera_xhci_irq	89_xhci-hcd:usb2_affinity_0-7	camera-system-profile.sh_status	restored
camera_state_file	absent	/data/y26-k1x-int8-executor/camera-system-profile.state	clean
demo_process_count	0	pgrep_exact_demo_command	clean
stage_paths_outside_data	0	stage_path_audit	pass
frozen_local_source_head	175c1d939cc93fba0e730dba3f1281704e8f25b9	refs/heads/yolo26-custom-int8-engine	exact
