resolution	operation_index	shape_class	M	N	K	m12_mean_us	m12_p95_us	m12_p99_us	m12_gmac_per_s	m12_register_safe_status	m12_epilogue_status	m8_mean_us	m8_p95_us	m8_p99_us	m8_gmac_per_s	m8_register_safe_status	m8_epilogue_status	m8_delta_pct	m4_tail_M	m4_tail_mean_us	m4_tail_p95_us	m4_tail_p99_us	m4_tail_gmac_per_s	m4_tail_register_safe_status	m4_tail_epilogue_status	m4_tail_output_hash	m4_tail_deterministic	output_hash_m12	output_hash_m8	exact_hash_match	selected_route	selection_reason
384	206	dense_1x1_n80_k256	144	80	256	55.13343	57.29405	59.39666	53.4905954518	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	79.42878	81.8357	83.52542	37.1291111358	exact-existing-m8n16-route	full-conv-selected-e2c5	44.066458408	4	12.52166	12.5021	14.3555	6.54226356569	exact-current-m4-tail-route	full-conv-selected-e2c5	0x4511ec34e71e93e5	1	0x73b08a61360866f8	0x73b08a61360866f8	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	201	dense_3x3s1_k2304	144	16	2304	229.20969	244.78575	261.05116	23.1596491405	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	269.26564	282.42325	286.06033	19.7144203026	exact-existing-m8n16-route	full-conv-selected-e2c5	17.475679148	4	48.4209	48.834	49.02742	3.04529655583	exact-current-m4-tail-route	full-conv-selected-e2c5	0x447b400843d45cfa	1	0xc6aa779b61d34306	0xc6aa779b61d34306	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	161	dense_3x3s1_k1152	576	16	1152	460.91451	473.25	476.16075	23.0342759224	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	502.87625	513.3955	519.20634	21.1122159776	exact-existing-m8n16-route	full-conv-selected-e2c5	9.104018010	4	25.1192	25.41605	26.36501	2.93512532246	exact-current-m4-tail-route	full-conv-selected-e2c5	0x7d6c1bc81e4d7ea9	1	0xf06bc6bb6a2a9090	0xf06bc6bb6a2a9090	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	144	dense_1x1_n80_k80	2304	80	80	507.28207	538.6486	550.16218	29.0678517378	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	525.03252	544.0611	571.97608	28.0851174704	exact-existing-m8n16-route	full-conv-selected-e2c5	3.499128207	4	6.59837	6.667	6.83441	3.8797460585	exact-current-m4-tail-route	full-conv-selected-e2c5	0x3960a15efc4cb65e	1	0x3292f6028780e7b3	0x3292f6028780e7b3	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	133	dense_1x1_n80_k64	2304	80	64	467.55456	479.2548	484.86266	25.2301677905	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	486.35159	503.95245	519.83384	24.2550456142	exact-existing-m8n16-route	full-conv-selected-e2c5	4.020285889	4	6.27458	6.33305	6.66741	3.26396348441	exact-current-m4-tail-route	full-conv-selected-e2c5	0x35a11b4b0bbb6d35	1	0xfbc98683c77c1ed3	0xfbc98683c77c1ed3	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	124	dense_1x1_k96	2304	64	96	487.26746	505.68755	511.89733	29.0513468722	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	479.40877	498.5	542.99016	29.5275699692	exact-existing-m8n16-route	full-conv-selected-e2c5	-1.612808292	4	6.84877	6.209	30.99658	3.5883815634	exact-current-m4-tail-route	full-conv-selected-e2c5	0x204190c9eb4d0f37	1	0xfd78941a8a489e03	0xfd78941a8a489e03	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	12	dense_1x1_k48	9216	64	48	1574.59986	1588.50725	1689.05342	17.9801565586	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	1915.17059	1939.41445	1948.09717	14.7827833969	exact-existing-m8n16-route	full-conv-selected-e2c5	21.629033423	4	5.57291	5.625	5.83383	2.20495217041	exact-current-m4-tail-route	full-conv-selected-e2c5	0x4cd98c531ab3ab77	1	0xcd0b34c656f3003	0xcd0b34c656f3003	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
384	5	dense_1x1_k32	9216	32	32	647.89159	666.2625	672.24718	14.5659924371	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	767.55771	787.167	796.65841	12.2950807178	exact-existing-m8n16-route	full-conv-selected-e2c5	18.470083861	4	3.72635	3.79105	4.01583	1.09919894803	exact-current-m4-tail-route	full-conv-selected-e2c5	0xb69de2687fe1a062	1	0xa6208c44e083d803	0xa6208c44e083d803	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
352	206	dense_1x1_n80_k256	121	80	256	55.05568	56.7171	61.85285	45.0104330743	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	68.25553	69.742	73.90326	36.3059227582	exact-existing-m8n16-route	full-conv-selected-e2c5	23.975455394	4	12.05642	11.58705	14.47426	6.79472015739	exact-current-m4-tail-route	full-conv-selected-e2c5	0x4511ec34e71e93e5	1	0xa9ea6a335bf23554	0xa9ea6a335bf23554	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
352	201	dense_3x3s1_k2304	121	16	2304	247.55343	259.8435	262.27568	18.0185101859	selected-m12n16-register-budget-proven	full-conv-selected-e2c5	234.57565	246.89185	261.1605	19.0153752105	exact-existing-m8n16-route	full-conv-selected-e2c5	-5.242415748	4	48.0552	48.381	51.21059	3.06847125805	exact-current-m4-tail-route	full-conv-selected-e2c5	0x447b400843d45cfa	1	0xcbf2780f6aba56ca	0xcbf2780f6aba56ca	1	m12n16	control retained; no per-shape route was promoted without complete-model >=0.5% evidence
