resolution	category_id	class_name	instances	ap50_95	ap50	recall_iou50_conf001
640	1	person	11004	0.5027760788093696	0.7477266191110208	0.8991275899672846
640	2	bicycle	316	0.23901136809819318	0.44258587730736354	0.7563291139240507
640	3	car	1932	0.34414055329856985	0.5471523860873344	0.8364389233954451
640	4	motorcycle	371	0.40388655749340474	0.6383710205515924	0.8733153638814016
640	5	airplane	143	0.6653981303791895	0.8629882127658308	0.972027972027972
640	6	bus	285	0.6129242187056969	0.7461745153849261	0.8842105263157894
640	7	train	190	0.6737875001321997	0.8636428464365065	0.968421052631579
640	8	truck	415	0.29223766572027354	0.4293559321857246	0.9012048192771084
640	9	boat	430	0.20683233090123787	0.37824512383775627	0.7767441860465116
640	10	traffic light	637	0.200713743128313	0.39901593520344875	0.7346938775510204
640	11	fire hydrant	101	0.622143385531442	0.8048468163437406	0.9207920792079208
640	13	stop sign	75	0.6058314289087917	0.687438841836009	0.8133333333333334
640	14	parking meter	60	0.44291680656778165	0.5899768946624807	0.8166666666666667
640	15	bench	413	0.19131608258845714	0.2882025348680703	0.6464891041162227
640	16	bird	440	0.28527266919497785	0.4495366279289347	0.6931818181818182
640	17	cat	202	0.6649081655620995	0.85045381335164	0.9603960396039604
640	18	dog	218	0.6027491500723877	0.735330700560828	0.9174311926605505
640	19	horse	273	0.5507001696867131	0.745792539803311	0.9230769230769231
640	20	sheep	361	0.4692893466420672	0.7061592678019909	0.9168975069252078
640	21	cow	380	0.4992381077607222	0.7210282303327716	0.9131578947368421
640	22	elephant	255	0.6204610102884981	0.8294715403518645	0.9607843137254902
640	23	bear	71	0.7228372295100399	0.8771574183998867	0.9577464788732394
640	24	zebra	268	0.6463848019735625	0.8755955000849687	0.9776119402985075
640	25	giraffe	232	0.6676909967568305	0.8621300454194876	0.9612068965517241
640	27	backpack	371	0.09583561919345154	0.1802834715456155	0.6522911051212938
640	28	umbrella	413	0.3526628113730271	0.528318884686876	0.7723970944309927
640	31	handbag	540	0.08469282659930566	0.1671098852049116	0.6333333333333333
640	32	tie	254	0.27862166781628345	0.4554776974270597	0.6259842519685039
640	33	suitcase	303	0.3854929387703788	0.5521892575092402	0.834983498349835
640	34	frisbee	115	0.5776446792669692	0.77766235845996	0.9043478260869565
640	35	skis	241	0.1702736844110298	0.315724680759643	0.7261410788381742
640	36	snowboard	69	0.2773729933786048	0.3686432482148275	0.7391304347826086
640	37	sports ball	263	0.35720603867312634	0.5315786401337126	0.6615969581749049
640	38	kite	336	0.40846796394277596	0.6161158846137902	0.8601190476190477
640	39	baseball bat	146	0.24198249641065375	0.4501352960103835	0.7328767123287672
640	40	baseball glove	148	0.30998475118459007	0.5176298134147839	0.7635135135135135
640	41	skateboard	179	0.4459848203981681	0.6544236064432232	0.8435754189944135
640	42	surfboard	269	0.30528778822170943	0.5013927196995734	0.7397769516728625
640	43	tennis racket	225	0.40629172357503923	0.6605144433941457	0.8711111111111111
640	44	bottle	1025	0.29213702489751187	0.450971271859509	0.7931707317073171
640	46	wine glass	343	0.2643334554237348	0.4154866131739317	0.7142857142857143
640	47	cup	899	0.3277137135643119	0.46895730491408344	0.8387096774193549
640	48	fork	215	0.2512996835626386	0.3768446865207392	0.7255813953488373
640	49	knife	326	0.11734639504217786	0.18986040498603782	0.5858895705521472
640	50	spoon	253	0.10389025027478192	0.16094592575306482	0.5968379446640316
640	51	bowl	626	0.36183344039335297	0.49108966125634773	0.8578274760383386
640	52	banana	379	0.22890007390954661	0.3970004456156673	0.7335092348284961
640	53	apple	239	0.1481321105705954	0.20765592729510798	0.6820083682008368
640	54	sandwich	177	0.3434555405098815	0.47137980056760836	0.8248587570621468
640	55	orange	287	0.2659724283315433	0.3426957770558611	0.7317073170731707
640	56	broccoli	316	0.18614833362635952	0.32983741840400377	0.8670886075949367
640	57	carrot	371	0.1800897875646149	0.3021587540518885	0.7870619946091644
640	58	hot dog	127	0.33702603897725153	0.47881810369427674	0.7086614173228346
640	59	pizza	285	0.49789166164096105	0.6504915176961815	0.8631578947368421
640	60	donut	338	0.4399342569000568	0.5844376327805422	0.8698224852071006
640	61	cake	316	0.331578916583372	0.49944952327927566	0.8037974683544303
640	62	chair	1791	0.25025526231484757	0.40053313926652945	0.7828029034059185
640	63	couch	261	0.42777429616451373	0.6024837498828297	0.9157088122605364
640	64	potted plant	343	0.21231613947822658	0.35535816518247887	0.7813411078717201
640	65	bed	163	0.44425243399753483	0.611227960947111	0.8773006134969326
640	67	dining table	697	0.30066580876157006	0.43685752275782136	0.8106169296987088
640	70	toilet	179	0.6328983509112368	0.7800226566881221	0.9497206703910615
640	72	tv	288	0.5283463391172585	0.7027218207505974	0.8784722222222222
640	73	laptop	231	0.5639037667927627	0.6840392068670487	0.8658008658008658
640	74	mouse	106	0.5049637992788378	0.6962408149621946	0.8867924528301887
640	75	remote	283	0.18363448640145616	0.31268178368574356	0.7561837455830389
640	76	keyboard	153	0.47771148892143833	0.6215684162195059	0.8562091503267973
640	77	cell phone	262	0.28825382393268606	0.42145413353330635	0.7633587786259542
640	78	microwave	55	0.5300584175120102	0.6729538783744428	0.9272727272727272
640	79	oven	143	0.31585017467479165	0.46161839809069194	0.8741258741258742
640	80	toaster	9	0.25443691167146265	0.41768033946251765	0.7777777777777778
640	81	sink	225	0.3209172193438692	0.4873296952038763	0.8666666666666667
640	82	refrigerator	126	0.5665119970078459	0.6912760547193181	0.8809523809523809
640	84	book	1161	0.11510341807395318	0.24950396490157	0.7243755383290267
640	85	clock	267	0.45072795773381047	0.6477241551191675	0.8089887640449438
640	86	vase	277	0.320345741172761	0.46333782168074744	0.8158844765342961
640	87	scissors	36	0.2795256579158221	0.3416793602437167	0.4166666666666667
640	88	teddy bear	191	0.4270249844582103	0.588941320400785	0.8534031413612565
640	89	hair drier	11	0.0013369206485865977	0.0021672167216721674	0.18181818181818182
640	90	toothbrush	57	0.1535227461512336	0.24466093427789398	0.6140350877192983
512	1	person	11004	0.46636409459174605	0.7054703425959978	0.8648673209741912
512	2	bicycle	316	0.22319313563756216	0.3903425253595689	0.689873417721519
512	3	car	1932	0.2994166940103689	0.49527298421163607	0.7914078674948241
512	4	motorcycle	371	0.38351230507561374	0.6254127808653047	0.8787061994609164
512	5	airplane	143	0.619706698370683	0.803572185435422	0.958041958041958
512	6	bus	285	0.6012387508139821	0.7358517614864518	0.8666666666666667
512	7	train	190	0.6706172590472715	0.8503666615742019	0.9631578947368421
512	8	truck	415	0.2550830558776096	0.3879881322665081	0.8674698795180723
512	9	boat	430	0.17905405185446177	0.33049063562687997	0.7302325581395349
512	10	traffic light	637	0.16429172086959307	0.33811900259837063	0.6828885400313972
512	11	fire hydrant	101	0.5845293588342783	0.7421222763257711	0.8316831683168316
512	13	stop sign	75	0.5850138021604016	0.6617356662997765	0.7733333333333333
