resolution	surface	wake_policy	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	fps	process_cpu_mean_us	input_us_mean	resident_core_us_mean	dense_us_mean	attention_us_mean	depthwise_us_mean	lut_us_mean	concat_us_mean	transform_us_mean	head_us_mean	voluntary_context_switches	involuntary_context_switches	affinity_failures	cpu4_7_ime_count	output_hash	manifest_sha256	surface_definition
640	preprocessed	frame-gated-spin	500	133012.150460	321.094343	0.241402	132997.688500	133406.264500	133540.565550	133903.708940		134783.720000	7.518110162	657185.316000	2226.811212	19432.624680	67382.985552	11688.308480	15855.104416	7429.542278	3789.721152	2513.786756	2606.802972	0	326	0	0	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	fixed-preprocessed-f32-pure-model
640	rgb	frame-gated-spin	500	131119.523944	385.632084	0.294107	131081.016500	131476.981600	131587.015100	132125.932940		134280.079000	7.626629276	647888.848000	562.727080	19439.577890	67172.776728	11724.558112	15842.229482	7345.121318	3781.216420	2512.786746	2649.943724	0	297	0	0	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	already-letterboxed-rgb8-executor-surface
512	preprocessed	frame-gated-spin	500	99057.581572	216.387424	0.218446	99045.385000	99339.451100	99421.211700	99615.817760		99779.810000	10.095138445	487378.382000	1435.916084	13277.833898	56151.697480	5543.397952	10124.649366	5069.136962	3409.465688	1635.050856	2333.687974	0	243	0	0	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	fixed-preprocessed-f32-pure-model
512	rgb	frame-gated-spin	500	98881.011978	341.469154	0.345333	98860.656000	99142.127900	99245.981300	100115.179920		101716.243000	10.113165106	486720.244000	442.953792	13392.047690	56605.028996	5552.854252	10130.041934	5128.966844	3526.360308	1642.775594	2381.462342	0	233	0	0	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	already-letterboxed-rgb8-executor-surface
448	preprocessed	frame-gated-spin	500	169388.555060	166.223336	0.098131	169390.248500	169565.357200	169621.591600	169763.097600		171167.342000	5.903586577	839124.674000	1094.774262	10259.020578	32874.245482	108541.022744	7724.397288	3486.526582	1991.499712	1249.664488	2094.280258	0	424	0	0	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	fixed-preprocessed-f32-pure-model
448	rgb	frame-gated-spin	500	168634.610966	145.391158	0.086217	168623.735500	168824.392900	168881.199000	169019.048820		169398.604000	5.929980769	835195.008000	296.059890	10271.352274	32908.785960	108509.140778	7727.179750	3495.923656	1982.606178	1246.167132	2125.131090	0	379	0	0	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	already-letterboxed-rgb8-executor-surface
416	preprocessed	frame-gated-spin	500	132060.275730	245.836596	0.186155	132020.676000	132183.381200	132235.545000	133578.607520		134207.223000	7.572299804	652250.534000	952.670502	8999.215774	28465.074038	79155.767024	6658.575878	2991.064372	1695.808398	1085.690186	1984.445712	0	314	0	0	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	fixed-preprocessed-f32-pure-model
416	rgb	frame-gated-spin	500	131469.238530	205.217747	0.156096	131447.132500	131600.982800	131662.383000	132075.276180		133700.437000	7.606342070	649419.326000	303.816980	9069.524924	28425.795086	79142.059222	6666.466868	3003.270938	1698.741852	1083.936296	2004.916676	0	295	0	0	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	already-letterboxed-rgb8-executor-surface
384	preprocessed	frame-gated-spin	500	47388.843746	174.825566	0.368917	47357.245500	47497.123900	47557.272000	48177.132100		48970.138000	21.102013068	229140.826000	819.381334	7504.992304	24222.643260	2195.558482	5679.128942	2610.827822	1398.731094	933.088070	1956.468430	0	125	0	0	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	fixed-preprocessed-f32-pure-model
384	rgb	frame-gated-spin	500	46895.405750	184.198495	0.392786	46865.355000	46988.259400	47071.529350	47838.959920		48311.562000	21.324050491	226539.372000	213.024888	7519.764344	24240.380780	2199.847082	5684.855708	2649.500340	1406.717422	930.619184	1979.565898	0	118	0	0	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	already-letterboxed-rgb8-executor-surface
352	preprocessed	frame-gated-spin	500	79713.709900	98.777132	0.123915	79706.167500	79836.297800	79857.813100	79932.815530		80609.097000	12.544893485	388330.706000	687.571360	6882.979910	20540.934852	40693.123624	4771.598588	2213.995738	1201.252186	802.699970	1851.548544	0	189	0	0	0x55df0621e45efffd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	fixed-preprocessed-f32-pure-model
352	rgb	frame-gated-spin	500	79201.777500	162.139199	0.204717	79182.391500	79293.528200	79332.311150	79856.785790		80923.540000	12.625979259	388071.266000	172.138184	6866.870336	20544.144986	40691.567924	4766.604622	2205.994820	1195.688430	804.828546	1886.087060	0	193	0	0	0x55df0621e45efffd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	already-letterboxed-rgb8-executor-surface
320	preprocessed	frame-gated-spin	500	60898.329450	82.297373	0.135139	60891.590500	60986.701100	61029.579750	61104.556720		61521.221000	16.420811688	296730.342000	578.526010	5875.671548	17155.838962	27975.763772	3927.929314	1880.001818	962.900916	676.555422	1799.481066	0	159	0	0	0xe4428b424e5583f9	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	fixed-preprocessed-f32-pure-model
