resolution	route	operation_index	M	N	K	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_count_per_cycle	all_available	time_running_status	interpretation
320	m12n16	5	6400	32	32	backend_stalls	4	6179312.500000	2110642.250000	0.341565870	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	12	6400	64	48	backend_stalls	4	14836734.750000	6476946.750000	0.436547991	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	124	1600	64	96	backend_stalls	4	4600411.250000	2240926.500000	0.487114386	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	133	1600	80	64	backend_stalls	4	4940264.250000	2165377.750000	0.438312131	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	144	1600	80	80	backend_stalls	4	5354063.250000	2486392.000000	0.464393468	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	161	400	16	1152	backend_stalls	4	5324787.250000	2774172.000000	0.520992083	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	201	100	16	2304	backend_stalls	4	2923649.500000	1330817.250000	0.455190422	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	206	100	80	256	backend_stalls	4	785565.750000	364937.000000	0.464553094	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	5	6400	32	32	frontend_stalls	4	6253039.750000	64100.750000	0.010251134	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	12	6400	64	48	frontend_stalls	4	14853465.750000	156741.000000	0.010552487	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	124	1600	64	96	frontend_stalls	4	4635942.750000	38861.500000	0.008382653	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	133	1600	80	64	frontend_stalls	4	4921774.750000	39413.750000	0.008008036	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	144	1600	80	80	frontend_stalls	4	5334572.750000	48844.250000	0.009156169	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	161	400	16	1152	frontend_stalls	4	5319681.250000	62066.000000	0.011667240	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	201	100	16	2304	frontend_stalls	4	2942547.000000	58419.000000	0.019853209	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	206	100	80	256	frontend_stalls	4	778324.000000	14208.500000	0.018255251	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	5	6400	32	32	instructions	4	6200150.250000	5542804.750000	0.893979102	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	12	6400	64	48	instructions	4	14955351.000000	11318640.750000	0.756828827	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	124	1600	64	96	instructions	4	4621094.250000	3103271.000000	0.671544624	1	positive	event-count-per-cycle; not a miss/access ratio
