resolution	bin_kind	bin	ground_truth_count	true_positive_count	false_negative_count	unmatched_detection_count	recall_iou50	precision_iou50_diagnostic	confidence_threshold	matching
640	area_class	small	15264	10781	4483	301920	0.7063024109014675	0.03447702437792012	0.001	greedy-score-descending-same-class-iou>=0.50
640	area_class	medium	12392	11326	1066	235032	0.9139767591994835	0.04597374552480536	0.001	greedy-score-descending-same-class-iou>=0.50
640	area_class	large	8679	8448	231	154248	0.973384030418251	0.05192506269361263	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	0-8	2386	856	1530	51061	0.35875943000838223	0.016487855615694283	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	8-12	2481	1605	876	69530	0.6469165659008465	0.02256273283193927	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	12-16	2402	1788	614	71784	0.7443796835970025	0.024302723862338935	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	16-24	4122	3316	806	113602	0.804463852498787	0.028361757813168204	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	24-32	3233	2745	488	74616	0.8490566037735849	0.03548299530771319	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	32-48	4688	4163	525	86814	0.8880119453924915	0.045758818162832365	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	48-64	3210	2918	292	46982	0.9090342679127725	0.05847695390781563	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	64-96	4221	3908	313	55823	0.9258469556977019	0.06542666287187558	0.001	greedy-score-descending-same-class-iou>=0.50
640	shorter_side_bin	>=96	9592	9256	336	120988	0.9649708090075062	0.07106661343324837	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	0-8	1182	308	874	27157	0.26057529610829105	0.011214272710722738	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	8-12	1413	699	714	36745	0.49469214437367304	0.018667877363529536	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	12-16	1593	990	603	47504	0.6214689265536724	0.020414896688250094	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	16-24	3105	2230	875	90907	0.7181964573268921	0.023943223423558844	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	24-32	2867	2264	603	75210	0.7896756191140565	0.029222706972661796	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	32-48	4651	3978	673	104416	0.8552999354977424	0.03669944830894699	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	48-64	3294	2892	402	65760	0.8779599271402551	0.042125502534521936	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	64-96	4546	4085	461	73190	0.8985921689397273	0.05286315108379165	0.001	greedy-score-descending-same-class-iou>=0.50
640	height_bin	>=96	13684	13109	575	170311	0.9579801227711195	0.0714698506160724	0.001	greedy-score-descending-same-class-iou>=0.50
512	area_class	small	15264	9528	5736	253857	0.6242138364779874	0.03617518081895325	0.001	greedy-score-descending-same-class-iou>=0.50
512	area_class	medium	12392	11216	1176	254210	0.9051000645577792	0.04225659882603814	0.001	greedy-score-descending-same-class-iou>=0.50
512	area_class	large	8679	8431	248	142459	0.9714252794100703	0.05587514083106899	0.001	greedy-score-descending-same-class-iou>=0.50
512	shorter_side_bin	0-8	3618	1089	2529	43953	0.3009950248756219	0.024177434394565073	0.001	greedy-score-descending-same-class-iou>=0.50
