field	value	evidence
hostname	bf3	raw command 0031
os	Bianbu 2.2.1	raw command 0038
kernel	Linux 6.6.63 #2.2.7.2 SMP PREEMPT	raw command 0037
boot_id	0a0691d1-7502-44c3-903b-444dba83c1d9	raw command 0039
architecture	riscv64	raw command 0040
cpu_model	Spacemit(R) X60	raw command 0040
online_cpus	0-7	raw command 0040
cluster0_l2_bytes	524288	raw command 0041
cluster1_l2_bytes	524288	raw command 0041
cpu0_governor	performance	raw command 0043
cpu4_governor	performance	raw command 0044
cpu0_frequency_khz	1600000	raw command 0045
cpu4_frequency_khz	1600000	raw command 0046
data_device	/dev/nvme0n1p1	raw command 0032
data_filesystem	ext4,rw,noatime	raw command 0032
root_device	/dev/mmcblk2p6	raw command 0033
stage_project_storage	/data only	Stage60 policy
emmc_project_writes	0	Stage60 write ledger
worker_cpus	0-3	Stage60 execution contract
controller_cpu	4	Stage60 execution contract
cpu4_7_ime_count	0	all measured execution surfaces
