n	k	m	mode	strategy	output_hash	kernel_calls	padded_k_lanes	padded_n_columns	status
1	1	1	0	n8n8	0x44bd88d473cd95a0	1	7	3	pass
1	1	1	0	n16	0x44bd88d473cd95a0	1	7	3	pass
1	1	1	1	n8n8	0x44bd69d473cd60f3	1	7	3	pass
1	1	1	1	n16	0x44bd69d473cd60f3	1	7	3	pass
1	1	1	2	n8n8	0x44bd8cd473cd9c6c	1	7	3	pass
1	1	1	2	n16	0x44bd8cd473cd9c6c	1	7	3	pass
2	7	2	0	n8n8	0xe98471ee68b555e8	1	1	2	pass
2	7	2	0	n16	0xe98471ee68b555e8	1	1	2	pass
2	7	2	1	n8n8	0xd178e9662b28ea11	1	1	2	pass
2	7	2	1	n16	0xd178e9662b28ea11	1	1	2	pass
2	7	2	2	n8n8	0x43f652642802ebc2	1	1	2	pass
2	7	2	2	n16	0x43f652642802ebc2	1	1	2	pass
3	8	3	0	n8n8	0xe156796eb7adb2fa	1	0	1	pass
3	8	3	0	n16	0xe156796eb7adb2fa	1	0	1	pass
3	8	3	1	n8n8	0xe472aca3ec4ce9a4	1	0	1	pass
3	8	3	1	n16	0xe472aca3ec4ce9a4	1	0	1	pass
3	8	3	2	n8n8	0xe302d1444ed524b9	1	0	1	pass
3	8	3	2	n16	0xe302d1444ed524b9	1	0	1	pass
4	9	4	0	n8n8	0x6e0c4e223cefcd80	1	7	0	pass
4	9	4	0	n16	0x6e0c4e223cefcd80	1	7	0	pass
4	9	4	1	n8n8	0xfed540ac39dab203	1	7	0	pass
4	9	4	1	n16	0xfed540ac39dab203	1	7	0	pass
4	9	4	2	n8n8	0x8f9b3acdf8a0eb9b	1	7	0	pass
4	9	4	2	n16	0x8f9b3acdf8a0eb9b	1	7	0	pass
5	15	5	0	n8n8	0x790164e417f5aa94	1	1	3	pass
5	15	5	0	n16	0x790164e417f5aa94	1	1	3	pass
5	15	5	1	n8n8	0xf8b51a3bd2b6a184	1	1	3	pass
5	15	5	1	n16	0xf8b51a3bd2b6a184	1	1	3	pass
5	15	5	2	n8n8	0x1122a010c3c58d67	1	1	3	pass
5	15	5	2	n16	0x1122a010c3c58d67	1	1	3	pass
6	16	6	0	n8n8	0x82de685523ea40d1	1	0	2	pass
6	16	6	0	n16	0x82de685523ea40d1	1	0	2	pass
6	16	6	1	n8n8	0x0040de6cfa73d1ed	1	0	2	pass
6	16	6	1	n16	0x0040de6cfa73d1ed	1	0	2	pass
6	16	6	2	n8n8	0x0509655bf1098ab3	1	0	2	pass
6	16	6	2	n16	0x0509655bf1098ab3	1	0	2	pass
7	17	7	0	n8n8	0xc3abf46853fda9e9	1	7	1	pass
7	17	7	0	n16	0xc3abf46853fda9e9	1	7	1	pass
7	17	7	1	n8n8	0x8885e8f204e6fb54	1	7	1	pass
7	17	7	1	n16	0x8885e8f204e6fb54	1	7	1	pass
7	17	7	2	n8n8	0xaf186dcf9c5ddf39	1	7	1	pass
7	17	7	2	n16	0xaf186dcf9c5ddf39	1	7	1	pass
8	31	8	0	n8n8	0xa85ba2f5047a948c	1	1	0	pass
8	31	8	0	n16	0xa85ba2f5047a948c	1	1	0	pass
8	31	8	1	n8n8	0x203aa0e99fe2a183	1	1	0	pass
8	31	8	1	n16	0x203aa0e99fe2a183	1	1	0	pass
8	31	8	2	n8n8	0xfcddd464cabbb3eb	1	1	0	pass
8	31	8	2	n16	0xfcddd464cabbb3eb	1	1	0	pass
9	32	9	0	n8n8	0x612025cd6cb2ced9	2	0	3	pass
9	32	9	0	n16	0x612025cd6cb2ced9	2	0	3	pass
9	32	9	1	n8n8	0x1b98a89e418d7d14	2	0	3	pass
9	32	9	1	n16	0x1b98a89e418d7d14	2	0	3	pass
9	32	9	2	n8n8	0x612025cd6cb2ced9	2	0	3	pass
9	32	9	2	n16	0x612025cd6cb2ced9	2	0	3	pass
10	33	10	0	n8n8	0x6494cc221d5e7db3	2	7	2	pass
10	33	10	0	n16	0x6494cc221d5e7db3	2	7	2	pass
10	33	10	1	n8n8	0x0406ec43e5682d49	2	7	2	pass
10	33	10	1	n16	0x0406ec43e5682d49	2	7	2	pass
10	33	10	2	n8n8	0xa2a7efe20159670b	2	7	2	pass
10	33	10	2	n16	0xa2a7efe20159670b	2	7	2	pass
11	63	11	0	n8n8	0x1264ba0dac3187b3	2	1	1	pass
11	63	11	0	n16	0x1264ba0dac3187b3	2	1	1	pass
11	63	11	1	n8n8	0x9ccf7f34859c46c4	2	1	1	pass
11	63	11	1	n16	0x9ccf7f34859c46c4	2	1	1	pass
11	63	11	2	n8n8	0x6ec4c2a68f8c6a45	2	1	1	pass
11	63	11	2	n16	0x6ec4c2a68f8c6a45	2	1	1	pass
12	64	12	0	n8n8	0x14cefc83c3aa2d92	2	0	0	pass
12	64	12	0	n16	0x14cefc83c3aa2d92	2	0	0	pass
