resolution	operation_index	live_tensor_count	concurrently_live_bytes	live_tensor_ids
768	0	1	4718592	0
768	1	2	7077888	0,1
768	2	2	4718592	1,2
768	3	2	3538944	2,3
768	4	2	2359296	3,4
768	5	2	2359296	4,5
768	6	2	1769472	5,6
768	7	3	2064384	5,6,7
768	8	4	2359296	5,6,7,8
768	9	4	2654208	5,6,8,9
768	10	4	2949120	5,6,9,206
768	11	4	4128768	5,6,10,206
768	12	2	4128768	10,11
768	13	2	4718592	11,12
768	14	2	2949120	12,13
768	15	2	1179648	13,14
768	16	2	1179648	14,15
768	17	2	884736	15,16
768	18	3	1032192	15,16,17
768	19	4	1179648	15,16,17,18
768	20	4	1327104	15,16,18,19
768	21	4	1474560	15,16,19,207
768	22	4	2064384	15,16,20,207
768	23	2	2064384	20,21
768	24	2	2359296	21,22
768	25	2	1474560	22,23
768	26	3	1769472	22,23,24
768	27	3	1769472	22,24,25
768	28	3	1622016	22,25,26
768	29	4	1695744	22,25,26,27
768	30	5	1769472	22,25,26,27,28
768	31	6	1843200	22,25,26,27,28,29
768	32	6	1843200	22,25,26,28,29,30
768	33	7	1916928	22,25,26,28,29,30,31
768	34	7	1916928	22,25,26,28,29,31,32
768	35	7	1916928	22,25,26,28,29,32,33
768	36	6	1843200	22,25,26,28,33,34
768	37	7	1916928	22,25,26,28,33,34,35
768	38	7	1916928	22,25,26,28,33,35,36
768	39	7	1916928	22,25,26,28,33,36,208
768	40	6	1916928	22,25,26,28,37,208
768	41	5	1916928	22,25,26,37,38
768	42	5	2211840	22,25,26,38,39
768	43	3	1916928	22,39,40
768	44	3	1769472	22,40,41
768	45	3	1622016	22,41,42
768	46	4	1769472	22,41,42,43
768	47	4	1769472	22,41,43,44
768	48	4	1695744	22,41,44,45
768	49	5	1732608	22,41,44,45,46
768	50	6	1769472	22,41,44,45,46,47
768	51	7	1806336	22,41,44,45,46,47,48
768	52	7	1806336	22,41,44,45,47,48,49
768	53	8	1843200	22,41,44,45,47,48,49,50
768	54	8	1843200	22,41,44,45,47,48,50,51
768	55	8	1843200	22,41,44,45,47,48,51,52
768	56	7	1806336	22,41,44,45,47,52,53
768	57	8	1843200	22,41,44,45,47,52,53,54
768	58	8	1843200	22,41,44,45,47,52,54,55
768	59	8	1843200	22,41,44,45,47,52,55,209
768	60	7	1843200	22,41,44,45,47,56,209
768	61	6	1843200	22,41,44,45,56,57
768	62	6	1990656	22,41,44,45,57,58
768	63	4	1843200	22,41,58,59
768	64	4	1769472	22,41,59,60
768	65	4	1695744	22,41,60,61
768	66	5	1990656	22,41,60,61,62
768	67	5	2064384	22,41,60,62,63
768	68	5	1916928	22,41,60,63,64
768	69	4	1769472	22,41,64,65
768	70	4	1695744	22,41,65,66
768	71	5	1843200	22,41,65,66,67
768	72	6	1880064	22,41,65,66,67,68
768	73	7	1953792	22,41,65,66,67,68,69
768	74	8	1990656	22,41,65,66,67,68,69,70
768	75	8	1916928	22,41,65,66,68,69,70,71
768	76	9	2580480	22,41,65,66,68,69,70,71,72
768	77	8	2580480	22,41,65,66,69,71,72,73
768	78	8	3170304	22,41,65,66,69,72,73,74
768	79	8	2580480	22,41,65,66,69,73,74,75
768	80	7	1916928	22,41,65,66,73,75,76
768	81	6	1843200	22,41,65,66,76,77
768	82	6	1843200	22,41,65,66,77,78
768	83	5	1843200	22,41,65,78,79
768	84	6	1990656	22,41,65,78,79,80
768	85	6	1916928	22,41,65,78,80,81
768	86	6	1843200	22,41,65,78,81,210
768	87	5	1843200	22,41,65,82,210
768	88	4	1769472	22,41,82,83
768	89	4	2506752	22,41,83,84
768	90	4	2506752	22,83,84,85
768	91	4	1769472	22,83,85,86
768	92	5	1843200	22,83,85,86,87
768	93	6	1916928	22,83,85,86,87,88
768	94	7	1990656	22,83,85,86,87,88,89
768	95	7	1990656	22,83,85,86,88,89,90
768	96	8	2064384	22,83,85,86,88,89,90,91
768	97	8	2064384	22,83,85,86,88,89,91,92
768	98	8	2064384	22,83,85,86,88,89,92,93
768	99	7	1990656	22,83,85,86,88,93,94
768	100	8	2064384	22,83,85,86,88,93,94,95
768	101	8	2064384	22,83,85,86,88,93,95,96
768	102	8	2064384	22,83,85,86,88,93,96,211
768	103	7	2064384	22,83,85,86,88,97,211
768	104	6	2064384	22,83,85,86,97,98
768	105	6	2359296	22,83,85,86,98,99
768	106	4	2064384	22,83,99,100
768	107	4	3981312	22,83,100,101
768	108	4	3391488	83,100,101,102
768	109	4	1327104	83,100,102,103
768	110	5	1474560	83,100,102,103,104
768	111	6	1622016	83,100,102,103,104,105
768	112	7	1769472	83,100,102,103,104,105,106
768	113	7	1769472	83,100,102,103,105,106,107
768	114	8	1916928	83,100,102,103,105,106,107,108
768	115	8	1916928	83,100,102,103,105,106,108,109
768	116	8	1916928	83,100,102,103,105,106,109,110
768	117	7	1769472	83,100,102,103,105,110,111
768	118	8	1916928	83,100,102,103,105,110,111,112
768	119	8	1916928	83,100,102,103,105,110,112,113
768	120	8	1916928	83,100,102,103,105,110,113,212
768	121	7	1916928	83,100,102,103,105,114,212
768	122	6	1916928	83,100,102,103,114,115
768	123	6	2506752	83,100,102,103,115,116
768	124	4	1916928	83,100,116,117
768	125	4	1622016	83,100,117,118
768	126	4	1179648	83,100,118,119
768	127	5	1327104	83,100,118,119,120
768	128	6	1916928	83,100,118,119,120,121
768	129	6	1474560	83,100,119,120,121,122
768	130	6	1916928	83,100,119,121,122,123
768	131	6	1769472	83,100,119,122,123,124
768	132	5	1474560	83,122,123,124,125
768	133	5	2064384	83,123,124,125,126
768	134	5	1769472	83,124,125,126,127
768	135	5	1474560	83,125,126,127,128
768	136	5	2064384	83,126,127,128,129
768	137	5	1474560	83,127,128,129,130
768	138	6	1548288	83,127,128,129,130,131
768	139	6	2138112	83,127,129,130,131,132
768	140	6	1474560	83,127,130,131,132,133
768	141	7	1548288	83,127,130,131,132,133,134
768	142	8	2285568	83,127,130,131,132,133,134,135
768	143	8	1622016	83,127,130,131,133,134,135,136
768	144	8	2285568	83,127,130,131,134,135,136,137
768	145	8	1622016	83,127,130,131,134,136,137,138
768	146	9	2359296	83,127,130,131,134,136,137,138,139
768	147	9	1695744	83,127,130,131,134,136,138,139,140
768	148	9	2359296	83,127,130,131,134,136,139,140,141
768	149	9	1695744	83,127,130,131,134,136,140,141,142
768	150	9	1695744	83,127,130,131,134,136,141,142,143
768	151	8	1622016	83,127,130,131,134,141,143,144
768	152	9	1695744	83,127,130,131,134,141,143,144,145
768	153	9	1695744	83,127,130,131,134,141,143,145,146
768	154	9	1695744	83,127,130,131,134,141,143,146,213
768	155	8	1695744	83,127,130,131,134,141,147,213
768	156	7	1695744	83,127,130,131,141,147,148
768	157	7	1990656	83,127,130,131,141,148,149
768	158	5	1695744	83,131,141,149,150
768	159	5	1548288	83,131,141,150,151
768	160	5	1327104	83,131,141,151,152
768	161	6	1363968	83,131,141,151,152,153
768	162	7	1658880	83,131,141,151,152,153,154
768	163	7	1400832	83,131,141,152,153,154,155
768	164	7	1658880	83,131,141,152,154,155,156
768	165	7	1585152	83,131,141,152,155,156,157
768	166	6	1400832	131,141,155,156,157,158
768	167	6	1548288	131,141,156,157,158,159
768	168	6	1400832	131,141,157,158,159,160
768	169	6	1216512	131,141,158,159,160,161
768	170	6	1363968	131,141,159,160,161,162
768	171	6	1253376	131,141,160,161,162,163
768	172	7	1271808	131,141,160,161,162,163,164
768	173	7	1419264	131,141,160,162,163,164,165
768	174	7	1271808	131,141,160,163,164,165,166
768	175	8	1456128	131,141,160,163,164,165,166,167
768	176	8	1308672	131,141,160,163,164,166,167,168
768	177	8	1456128	131,141,160,163,164,167,168,169
768	178	8	1345536	131,141,160,163,164,168,169,170
768	179	8	1492992	131,141,160,163,164,169,170,171
768	180	8	1382400	131,141,160,163,164,170,171,172
768	181	8	1492992	131,141,160,163,164,171,172,173
768	182	8	1456128	131,141,160,163,164,172,173,174
768	183	9	1492992	131,141,160,163,164,172,173,174,175
768	184	10	1566720	131,141,160,163,164,172,173,174,175,176
768	185	11	1603584	131,141,160,163,164,172,173,174,175,176,177
768	186	11	1529856	131,141,160,163,164,172,173,175,176,177,178
768	187	12	2193408	131,141,160,163,164,172,173,175,176,177,178,179
768	188	11	2193408	131,141,160,163,164,172,173,176,178,179,180
