resolution	operation_index	name	kind	feature_h	feature_w	M	N	K	batch	kernel	stride	groups	M12_tail	M8_tail	M4_tail	N4_tail	N8_tail	N16_tail	A_tile_bytes_M12	B_tile_bytes_N16	C_accumulator_bytes_M12N16	tile_bytes_M12N16	estimated_l1_working_set_bytes	input_activation_bytes	output_activation_bytes	concurrently_live_activation_bytes	output_arena_offset	output_first_op	output_last_op	packed_weight_bytes	shape_class_instances
768	1	/model.0/conv/Conv	conv_dense	384	384	147456	16	27	1	3x3	2	1	0	0	0	0	0	0	324	432	768	1524	1524	4718592	2359296	7077888	4718592	1	2	1152	1
768	3	/model.1/conv/Conv	conv_dense	192	192	36864	32	144	1	3x3	2	1	0	0	0	0	0	0	1728	2304	768	4800	4800	2359296	1179648	3538944	2359296	3	4	4608	1
768	5	/model.2/cv1/conv/Conv	conv_dense	192	192	36864	32	32	1	1x1	1	1	0	0	0	0	0	0	384	512	768	1664	1664	1179648	1179648	2359296	2359296	5	11	1024	1
768	7	/model.2/m.0/cv1/conv/Conv	conv_dense	192	192	36864	8	144	1	3x3	1	1	0	0	0	0	0	8	1728	2304	768	4800	4800	589824	294912	2064384	4128768	7	8	2304	1
768	9	/model.2/m.0/cv2/conv/Conv	conv_dense	192	192	36864	16	72	1	3x3	1	1	0	0	0	0	0	0	864	1152	768	2784	2784	294912	589824	2654208	0	9	10	1152	1
768	12	/model.2/cv2/conv/Conv	conv_dense	192	192	36864	64	48	1	1x1	1	1	0	0	0	0	0	0	576	768	768	2112	2112	1769472	2359296	4128768	7077888	12	13	3072	1
768	14	/model.3/conv/Conv	conv_dense	96	96	9216	64	576	1	3x3	2	1	0	0	0	0	0	0	6912	9216	768	16896	16896	2359296	589824	2949120	0	14	15	36864	1
768	16	/model.4/cv1/conv/Conv	conv_dense	96	96	9216	64	64	1	1x1	1	1	0	0	0	0	0	0	768	1024	768	2560	2560	589824	589824	1179648	0	16	22	4096	1
768	18	/model.4/m.0/cv1/conv/Conv	conv_dense	96	96	9216	16	288	1	3x3	1	1	0	0	0	0	0	0	3456	4608	768	8832	8832	294912	147456	1032192	4423680	18	19	4608	1
768	20	/model.4/m.0/cv2/conv/Conv	conv_dense	96	96	9216	32	144	1	3x3	1	1	0	0	0	0	0	0	1728	2304	768	4800	4800	147456	294912	1327104	589824	20	21	4608	1
