resolution	pipeline_kind	output_hash	package_manifest_sha256	detections	cpu4_7_ime_count	preprocessor_cpus	executor_cpus	steady_state_fps	source_file
640	serial	0x9902d7343496026	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	300	0	controller-thread	0-4		r640_serial.tsv
640	double_buffer	0x9902d7343496026	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	300	0	5-7	0-4	7.56725612043	r640_double_buffer.tsv
512	serial	0xf4458aa60c3e3b33	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	300	0	controller-thread	0-4		r512_serial.tsv
512	double_buffer	0xf4458aa60c3e3b33	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	300	0	5-7	0-4	10.4934889677	r512_double_buffer.tsv
448	serial	0x14f4113ac89504bf	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	300	0	controller-thread	0-4		r448_serial.tsv
448	double_buffer	0x14f4113ac89504bf	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	300	0	5-7	0-4	14.4279947797	r448_double_buffer.tsv
416	serial	0xd809646c8065373a	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	300	0	controller-thread	0-4		r416_serial.tsv
416	double_buffer	0xd809646c8065373a	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	300	0	5-7	0-4	16.3615716049	r416_double_buffer.tsv
384	serial	0x563d68c8cb3831bc	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	300	0	controller-thread	0-4		r384_serial.tsv
384	double_buffer	0x563d68c8cb3831bc	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	300	0	5-7	0-4	19.109436124	r384_double_buffer.tsv
352	serial	0xa8dc95c30af889cd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	300	0	controller-thread	0-4		r352_serial.tsv
352	double_buffer	0xa8dc95c30af889cd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	300	0	5-7	0-4	21.9009069123	r352_double_buffer.tsv
320	serial	0x81ae8f531ad3a344	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	300	0	controller-thread	0-4		r320_serial.tsv
320	double_buffer	0x81ae8f531ad3a344	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	300	0	5-7	0-4	25.4571576955	r320_double_buffer.tsv
256	serial	0xe10f12954e4e9c65	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	300	0	controller-thread	0-4		r256_serial.tsv
256	double_buffer	0xe10f12954e4e9c65	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	300	0	5-7	0-4	33.8128379377	r256_double_buffer.tsv
768	serial	0xc031ccbf2c11f6f3	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	300	0	controller-thread	0-4		r768_serial.tsv
768	double_buffer	0xc031ccbf2c11f6f3	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	300	0	5-7	0-4	4.99407276102	r768_double_buffer.tsv
