resolution	pipeline_kind	phase	samples	mean_us	stddev_us	cv_pct	minimum_us	median_us	p90_us	p95_us	p99_us	maximum_us	fps_from_mean	source_file
640	serial	jpeg_decode	500	23595.522632	49.7323302603	0.210770200075	23527.568	23585.4855	23638.6037	23659.31365	23801.52686	24153.031	42.380921821	r640_serial.tsv
640	serial	resize_letterbox	500	1186.992014	29.449382365	2.48100930905	1132.507	1176.091	1231.4283	1240.19795	1256.7685	1306.134	842.465651163	r640_serial.tsv
640	serial	color_convert	500	514.963014	23.2992409868	4.524449398	478.836	508.254	561.9073	569.60575	592.42516	646.337	1941.887034240	r640_serial.tsv
640	serial	input_quantize_layout	500	517.872364	35.3904117043	6.83380967289	450.711	513.753	547.604	559.4394	587.67167	1155.257	1930.977726396	r640_serial.tsv
640	serial	pure_graph	500	129993.129702	2514.7666317	1.93453810787	128571.546	129329.77	131691.9685	134882.1381	139164.21511	166661.904	7.692714240	r640_serial.tsv
640	serial	executor_total	500	130511.002066	2515.66850308	1.92755282179	129087.8	129840.528	132194.1465	135398.99345	139729.96036	167165.991	7.662189273	r640_serial.tsv
640	serial	output_decode	500	5.831428	0.219812237274	3.76944098896	5.416	5.833	6.125	6.209	6.5	7.042	171484.583193002	r640_serial.tsv
640	serial	preloaded_image_pipeline	500	156287.012074	2524.574206	1.61534485335	154870.343	155618.5715	157981.4964	161192.48335	165510.69737	192992.741	6.398484344	r640_serial.tsv
640	double_buffer	preprocessor	500	26407.523804	2433.41490112	9.214854521		25938.4425	26185.223	26727.11455	42835.29316	43979.084	37.867995781	r640_double_buffer.tsv
640	double_buffer	executor	500	131659.434888	1801.93779386	1.368635522		131134.179	133411.5286	134641.2038	140583.08664	143524.494	7.595353883	r640_double_buffer.tsv
640	double_buffer	pipeline_interval	500	132079.19765	1820.20527094	1.378116542		131545.739	133819.6113	135166.11755	140966.30897	143990.622	7.571214982	r640_double_buffer.tsv
512	serial	jpeg_decode	500	23547.492876	29.4776178965	0.125183679009	23474.907	23544.553	23572.2568	23588.49615	23633.71067	23826.701	42.467366070	r512_serial.tsv
512	serial	resize_letterbox	500	3379.668468	52.8241228139	1.56299717899	3299.064	3378.335	3403.2979	3409.27925	3762.14658	3848.609	295.887010655	r512_serial.tsv
512	serial	color_convert	500	338.887946	17.4179694934	5.13974300326	310.586	335.086	340.8476	388.67525	406.10017	454.129	2950.827882205	r512_serial.tsv
512	serial	input_quantize_layout	500	310.411398	12.0707322317	3.88862403554	273.293	308.877	313.3393	344.26035	353.14507	360.42	3221.531188748	r512_serial.tsv
512	serial	pure_graph	500	89740.87882	602.772619099	0.67168120819	88594.633	89639.703	90192.8664	90661.1867	92469.62671	93403.914	11.143193750	r512_serial.tsv
512	serial	executor_total	500	90051.290218	602.786106018	0.669380865681	88899.385	89952.665	90499.0898	90966.94945	92778.08404	93713.666	11.104782592	r512_serial.tsv
512	serial	output_decode	500	6.011088	0.283860122939	4.72227528425	5.458	5.959	6.375	6.5	6.75	7.083	166359.234800755	r512_serial.tsv
512	serial	preloaded_image_pipeline	500	117790.851232	611.448915854	0.519097119563	116614.82	117688.639	118250.8504	118696.9782	120487.57321	121444.6	8.489623681	r512_serial.tsv
512	double_buffer	preprocessor	500	27241.959334	1424.51322822	5.229114436		27096.266	27175.7045	27336.6108	31578.0511	55675.54	36.708079171	r512_double_buffer.tsv
512	double_buffer	executor	500	94815.419552	1324.35324193	1.396769901		94683.2205	96428.0172	97135.80205	99221.68716	103269.86	10.546807732	r512_double_buffer.tsv
512	double_buffer	pipeline_interval	500	95227.876082	1334.66972308	1.401553598		95092.954	96870.4988	97611.32215	99614.93732	104210.7	10.501126783	r512_double_buffer.tsv
448	serial	jpeg_decode	500	23543.691738	59.7154495925	0.253636728925	23462.201	23532.284	23585.0639	23614.0472	23838.34192	24300.082	42.474222443	r448_serial.tsv
448	serial	resize_letterbox	500	2790.330262	31.2352097515	1.11940905981	2719.227	2795.2895	2825.3526	2832.3842	2870.73758	2911.77	358.380516320	r448_serial.tsv
448	serial	color_convert	500	267.922746	17.819310466	6.65091364285	242.835	263.8145	269.9767	318.50825	343.43108	403.92	3732.419195196	r448_serial.tsv
448	serial	input_quantize_layout	500	240.427112	14.7759879616	6.14572451444	208.085	238.501	243.485	270.78115	283.92467	419.503	4159.264700563	r448_serial.tsv
448	serial	pure_graph	500	63838.094688	1329.25359719	2.08222630027	63061.513	63396.2855	65295.8107	67815.62425	69006.53859	71139.815	15.664627914	r448_serial.tsv
448	serial	executor_total	500	64078.5218	1329.56792942	2.0749041833	63301.14	63633.1815	65562.146	68055.0756	69240.6095	71379.233	15.605853130	r448_serial.tsv
448	serial	output_decode	500	6.41495	0.373940024313	5.8291962418	5.584	6.375	6.8751	7	7.54241	7.876	155885.860373035	r448_serial.tsv
448	serial	preloaded_image_pipeline	500	91158.675728	1355.17640283	1.48661264768	90325.152	90703.282	92914.6249	95319.2288	96331.84043	98353.083	10.969882921	r448_serial.tsv
448	double_buffer	preprocessor	500	26293.573894	227.397783186	0.864841669		26262.638	26365.7925	26447.53865	26776.03891	30037.122	38.032106401	r448_double_buffer.tsv
448	double_buffer	executor	500	68821.232614	873.027239118	1.268543451		68886.6985	69560.6242	69732.4566	71659.3075	72435.703	14.530399442	r448_double_buffer.tsv
448	double_buffer	pipeline_interval	500	69239.976584	878.808680176	1.269221516		69308.556	69972.5725	70148.8578	72057.56233	72851.247	14.442523660	r448_double_buffer.tsv
416	serial	jpeg_decode	500	23599.835938	54.6368600623	0.231513728341	23514.662	23589.9745	23643.9376	23666.4992	23916.849	24071.124	42.373175925	r416_serial.tsv
416	serial	resize_letterbox	500	2560.54092	31.9669602525	1.24844559221	2483.1	2565.3505	2598.477	2607.5114	2626.76241	2660.768	390.542479595	r416_serial.tsv
416	serial	color_convert	500	244.095172	16.5476057412	6.77916142528	224.084	240.252	245.4642	293.79815	311.49876	382.419	4096.762716798	r416_serial.tsv
416	serial	input_quantize_layout	500	227.311974	12.1281449391	5.33546241569	195.751	225.627	232.1302	258.4273	270.92858	314.294	4399.240314547	r416_serial.tsv
416	serial	pure_graph	500	55178.219348	576.405308757	1.04462470078	54789.293	55050.024	55250.7499	55836.63085	57957.09676	60142.371	18.123092985	r416_serial.tsv
416	serial	executor_total	500	55405.531322	577.787009031	1.04283271949	55016.795	55277.046	55477.1389	56073.4861	58178.83	60385.123	18.048739469	r416_serial.tsv
416	serial	output_decode	500	6.063692	0.287051385874	4.73393744066	5.5	6.041	6.458	6.54405	6.833	7.291	164916.028056834	r416_serial.tsv
416	serial	preloaded_image_pipeline	500	82291.256458	708.211883508	0.860616199085	81811.979	82143.5645	82356.4948	83045.16275	85039.3175	90014.702	12.151959309	r416_serial.tsv
416	double_buffer	preprocessor	500	26044.711196	286.997777263	1.101942637		26005.075	26141.3514	26208.40535	26628.69385	30238.708	38.395511184	r416_double_buffer.tsv
416	double_buffer	executor	500	60630.746868	1371.93712462	2.262774575		60325.915	61813.4924	63937.10245	66111.1145	66662.542	16.493281902	r416_double_buffer.tsv
416	double_buffer	pipeline_interval	500	61048.858822	1397.46900383	2.289099306		60719.9595	62303.142	64378.90975	66591.51443	67056.128	16.380322569	r416_double_buffer.tsv
384	serial	jpeg_decode	500	23595.001104	45.9885118032	0.194907860358	23513.663	23588.3085	23632.3591	23656.8265	23725.94359	24260.334	42.381858581	r384_serial.tsv
384	serial	resize_letterbox	500	2222.263284	30.5130094175	1.37306005266	2159.515	2222.911	2260.6323	2267.31715	2283.32083	2335.058	449.991685144	r384_serial.tsv
384	serial	color_convert	500	200.632802	14.5936690144	7.27382006776	182.668	197.127	201.3097	247.5871	257.84791	281.002	4984.229846922	r384_serial.tsv
384	serial	input_quantize_layout	500	182.949	10.6724055192	5.83354132531	159.668	181.043	185.2174	205.11115	228.94617	266.835	5466.004186959	r384_serial.tsv
