binary	needed_soname
bin/y26_k1x_demo	liby26_k1x_int8_executor.so.1
bin/y26_k1x_demo	libopencv_highgui.so.413
bin/y26_k1x_demo	libopencv_videoio.so.413
bin/y26_k1x_demo	libopencv_imgcodecs.so.413
bin/y26_k1x_demo	libopencv_imgproc.so.413
bin/y26_k1x_demo	libopencv_core.so.413
bin/y26_k1x_demo	libstdc++.so.6
bin/y26_k1x_demo	libm.so.6
bin/y26_k1x_demo	libgcc_s.so.1
bin/y26_k1x_demo	libc.so.6
bin/y26_k1x_healthcheck	liby26_k1x_int8_executor.so.1
bin/y26_k1x_healthcheck	libstdc++.so.6
bin/y26_k1x_healthcheck	libm.so.6
bin/y26_k1x_healthcheck	libgcc_s.so.1
bin/y26_k1x_healthcheck	libc.so.6
bin/y26_v4l2_probe	libstdc++.so.6
bin/y26_v4l2_probe	libm.so.6
bin/y26_v4l2_probe	libgcc_s.so.1
bin/y26_v4l2_probe	libc.so.6
bin/yolo26_k1x_int8	liby26_k1x_int8_executor.so.1
bin/yolo26_k1x_int8	libstdc++.so.6
bin/yolo26_k1x_int8	libm.so.6
bin/yolo26_k1x_int8	libgcc_s.so.1
bin/yolo26_k1x_int8	libc.so.6
lib/liby26_k1x_int8_executor.so	libstdc++.so.6
lib/liby26_k1x_int8_executor.so	libm.so.6
lib/liby26_k1x_int8_executor.so	libgcc_s.so.1
lib/liby26_k1x_int8_executor.so	libc.so.6
lib/liby26_k1x_int8_executor.so	ld-linux-riscv64-lp64d.so.1
lib/liby26_k1x_int8_executor.so.0.10.0	libstdc++.so.6
lib/liby26_k1x_int8_executor.so.0.10.0	libm.so.6
lib/liby26_k1x_int8_executor.so.0.10.0	libgcc_s.so.1
lib/liby26_k1x_int8_executor.so.0.10.0	libc.so.6
lib/liby26_k1x_int8_executor.so.0.10.0	ld-linux-riscv64-lp64d.so.1
lib/liby26_k1x_int8_executor.so.1	libstdc++.so.6
lib/liby26_k1x_int8_executor.so.1	libm.so.6
lib/liby26_k1x_int8_executor.so.1	libgcc_s.so.1
lib/liby26_k1x_int8_executor.so.1	libc.so.6
lib/liby26_k1x_int8_executor.so.1	ld-linux-riscv64-lp64d.so.1
opencv/lib/libopencv_core.so.413	libstdc++.so.6
opencv/lib/libopencv_core.so.413	libm.so.6
opencv/lib/libopencv_core.so.413	libgcc_s.so.1
opencv/lib/libopencv_core.so.413	libc.so.6
opencv/lib/libopencv_highgui.so.413	libopencv_imgcodecs.so.413
opencv/lib/libopencv_highgui.so.413	libopencv_imgproc.so.413
opencv/lib/libopencv_highgui.so.413	libopencv_core.so.413
opencv/lib/libopencv_highgui.so.413	libgtk-3.so.0
opencv/lib/libopencv_highgui.so.413	libgdk-3.so.0
opencv/lib/libopencv_highgui.so.413	libcairo.so.2
opencv/lib/libopencv_highgui.so.413	libgdk_pixbuf-2.0.so.0
opencv/lib/libopencv_highgui.so.413	libgobject-2.0.so.0
opencv/lib/libopencv_highgui.so.413	libglib-2.0.so.0
opencv/lib/libopencv_highgui.so.413	libstdc++.so.6
opencv/lib/libopencv_highgui.so.413	libm.so.6
opencv/lib/libopencv_highgui.so.413	libgcc_s.so.1
opencv/lib/libopencv_highgui.so.413	libc.so.6
opencv/lib/libopencv_imgcodecs.so.413	libopencv_imgproc.so.413
opencv/lib/libopencv_imgcodecs.so.413	libopencv_core.so.413
opencv/lib/libopencv_imgcodecs.so.413	libm.so.6
opencv/lib/libopencv_imgcodecs.so.413	libstdc++.so.6
opencv/lib/libopencv_imgcodecs.so.413	libgcc_s.so.1
opencv/lib/libopencv_imgcodecs.so.413	libc.so.6
opencv/lib/libopencv_imgproc.so.413	libopencv_core.so.413
opencv/lib/libopencv_imgproc.so.413	libstdc++.so.6
opencv/lib/libopencv_imgproc.so.413	libm.so.6
opencv/lib/libopencv_imgproc.so.413	libgcc_s.so.1
opencv/lib/libopencv_imgproc.so.413	libc.so.6
opencv/lib/libopencv_imgproc.so.413	ld-linux-riscv64-lp64d.so.1
opencv/lib/libopencv_videoio.so.413	libopencv_imgcodecs.so.413
opencv/lib/libopencv_videoio.so.413	libopencv_imgproc.so.413
opencv/lib/libopencv_videoio.so.413	libopencv_core.so.413
opencv/lib/libopencv_videoio.so.413	libgstbase-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libgstreamer-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libgobject-2.0.so.0
opencv/lib/libopencv_videoio.so.413	libglib-2.0.so.0
opencv/lib/libopencv_videoio.so.413	libgstapp-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libgstriff-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libgstpbutils-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libgstvideo-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libgstaudio-1.0.so.0
opencv/lib/libopencv_videoio.so.413	libstdc++.so.6
opencv/lib/libopencv_videoio.so.413	libm.so.6
opencv/lib/libopencv_videoio.so.413	libgcc_s.so.1
opencv/lib/libopencv_videoio.so.413	libc.so.6
