resolution	fixture	integer_boundary_count	host_vs_board_scalar_boundaries	host_vs_board_optimized_boundaries	board_scalar_vs_optimized_all_files	board_final_output_exact	board_output_sha256	scalar_elapsed_s	optimized_elapsed_s	scalar_summary	optimized_summary
640	F0	215	exact	exact	exact	exact	2d9040c60636b9d0b2633d1d3a703c2c904473f7db0ebf3a9ffc9d7c4cfc3355	56.903103	3.892224	mode=scalar tensors=215 operations=215 wall_us=5.56834e+07 output_hash=0xd43f5e018b415631 	mode=optimized tensors=215 operations=215 wall_us=2.49559e+06 output_hash=0xd43f5e018b415631
640	F1	215	exact	exact	exact	exact	137193a474e9d441673ab52d591cb4f48c5f1e335565a364d773b63b00e77c6a	56.855533	3.889401	mode=scalar tensors=215 operations=215 wall_us=5.56301e+07 output_hash=0xb75e8e0359ee5ccc 	mode=optimized tensors=215 operations=215 wall_us=2.49082e+06 output_hash=0xb75e8e0359ee5ccc
640	F2	215	exact	exact	exact	exact	cc2def048e5a0640a0d1edae35d5dffcd3aa404ff10dbabf8dab0790cbd9d565	57.000691	3.893713	mode=scalar tensors=215 operations=215 wall_us=5.57844e+07 output_hash=0x5e1593696c0b49d4 	mode=optimized tensors=215 operations=215 wall_us=2.49118e+06 output_hash=0x5e1593696c0b49d4
640	F3	215	exact	exact	exact	exact	a1d6439ce7ae4a07858542c406fa0f2a53abf7979a077c1b4d6699ec00043b5a	56.802817	3.905688	mode=scalar tensors=215 operations=215 wall_us=5.55892e+07 output_hash=0xd2cfaeed3ea6b14f 	mode=optimized tensors=215 operations=215 wall_us=2.50147e+06 output_hash=0xd2cfaeed3ea6b14f
640	F4	215	exact	exact	exact	exact	95abeb838b8dd9c62fe78f8bf163a0c7ad8c81e8696f960b5a050bff630f7113	56.787927	3.893651	mode=scalar tensors=215 operations=215 wall_us=5.55732e+07 output_hash=0xd917464ca70773b5 	mode=optimized tensors=215 operations=215 wall_us=2.4895e+06 output_hash=0xd917464ca70773b5
640	F5	215	exact	exact	exact	exact	fd916885ef9b4b572fd980024c979792b784467da7b91404166a3655a18b6c47	56.938646	3.889979	mode=scalar tensors=215 operations=215 wall_us=5.57211e+07 output_hash=0xfe8293d27da4bc67 	mode=optimized tensors=215 operations=215 wall_us=2.49051e+06 output_hash=0xfe8293d27da4bc67
640	F6	215	exact	exact	exact	exact	887ebf2929374f844de066739af337393d7f4cbd9f6d316df71eccc54812310d	56.841399	3.888324	mode=scalar tensors=215 operations=215 wall_us=5.56251e+07 output_hash=0x5ee3c8180018544a 	mode=optimized tensors=215 operations=215 wall_us=2.48982e+06 output_hash=0x5ee3c8180018544a
640	F7	215	exact	exact	exact	exact	e1c1900e575c8160881943bbcd75657cdda0f4188003056c38eeca8a9b73153a	57.007283	3.895238	mode=scalar tensors=215 operations=215 wall_us=5.57901e+07 output_hash=0x7d6cbe130370dbbe 	mode=optimized tensors=215 operations=215 wall_us=2.49092e+06 output_hash=0x7d6cbe130370dbbe
640	bus	215	exact	exact	exact	exact	2d9040c60636b9d0b2633d1d3a703c2c904473f7db0ebf3a9ffc9d7c4cfc3355	56.853603	3.890805	mode=scalar tensors=215 operations=215 wall_us=5.56366e+07 output_hash=0xd43f5e018b415631 	mode=optimized tensors=215 operations=215 wall_us=2.49196e+06 output_hash=0xd43f5e018b415631
640	canonical	215	exact	exact	exact	exact	0e84b6bc6c6a91d7a417c390417535b842c19542e275223042e9ac51c725d991	56.811541	3.892438	mode=scalar tensors=215 operations=215 wall_us=5.55913e+07 output_hash=0x8a8476db2e28dfe8 	mode=optimized tensors=215 operations=215 wall_us=2.49301e+06 output_hash=0x8a8476db2e28dfe8
