resolution	surface	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	max_us	fps	accepted_stage61_mean_us	delta_vs_stage61_pct	output_hash	manifest_sha256	affinity_failures	cpu4_7_ime_count	status
640	preprocessed	500	131750.912130	372.357084	0.282622	131705.313500	132241.919300	132362.178550	132719.380580	134091.031287	134255.595000	7.590080280	131154.725214	0.454568	0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	0	0	pass
640	rgb	500	130008.836896	354.737377	0.272856	129977.662000	130463.205600	130616.187250	130890.791400	131067.082420	131102.721000	7.691784835			0xd43f5e018b415631	fab4a72cf524ce0a205ceca0384144f2eee7bc79dff3f4db8b7208614e8407be	0	0	pass
512	preprocessed	500	92167.706286	413.488634	0.448626	92232.131500	92607.199100	92713.041550	92834.728230	93125.486303	93336.465000	10.849787201	94117.311854	-2.071463	0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	0	0	pass
512	rgb	500	91254.534208	461.150674	0.505345	91316.579000	91816.845000	91929.556600	92085.183230	92260.824911	92328.395000	10.958359589			0x41e92be60b116000	331a39bb5a756ed7a56044bedf5715f65f1ea56dd436aab3a08845acbb4025e3	0	0	pass
448	preprocessed	500	64549.543660	166.067386	0.257271	64537.861000	64780.039900	64832.251700	64925.181700	65048.552774	65061.414000	15.491976291	64265.502476	0.441981	0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	0	0	pass
448	rgb	500	63631.004058	131.000598	0.205875	63644.978500	63795.862100	63838.995200	63896.832600	63931.141324	63950.265000	15.715609313			0x5e2174a2f1986692	3176a250046f4848d8b8cb04ce1f5c6db5ff8f41b77a08425a46926b63ab0d49	0	0	pass
416	preprocessed	500	55991.241144	130.887607	0.233764	55990.286500	56156.244900	56206.115650	56270.409820	56396.740579	56446.680000	17.859936297	55807.559404	0.329134	0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	0	0	pass
416	rgb	500	55149.214974	126.196090	0.228827	55144.294000	55311.763000	55344.375400	55425.338900	55531.342546	55550.577000	18.132624380			0x4920a55891e03360	310c0a4172001ffd47e17f18368e7ea1a2002baccfa3fb375314675366418ee7	0	0	pass
384	preprocessed	500	47581.196822	109.578229	0.230297	47591.137500	47707.341800	47747.194200	47816.203970	47927.047031	47978.210000	21.016705480	47379.986386	0.424674	0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	0	0	pass
384	rgb	500	46828.270620	115.607706	0.246876	46833.108000	46975.723200	47010.933900	47084.427580	47117.591194	47125.672000	21.354621616			0x92e50a18b4333ef6	a278db8b4f5aa3046ea8e65808e2978af88e4a2d115275829d6dab0720e33c8a	0	0	pass
352	preprocessed	500	40875.395384	100.590980	0.246092	40872.448500	41006.075500	41044.191500	41089.341670	41159.904586	41166.684000	24.464595158	40797.454510	0.191043	0x55df0621e45efffd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	0	0	pass
352	rgb	500	40226.924906	105.394324	0.261999	40227.526000	40359.605700	40393.934250	40460.505570	40658.487466	40751.035000	24.858972003			0x55df0621e45efffd	91c073181b21e27ff702cd86ddcabaeb25903628520831ab2423ee8e2bfd2736	0	0	pass
320	preprocessed	500	34322.243940	82.306215	0.239804	34327.660000	34419.897300	34452.256900	34499.292650	34536.834946	34550.281000	29.135624167	34208.706940	0.331895	0xe4428b424e5583f9	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	0	0	pass
320	rgb	500	33798.728732	91.697595	0.271305	33805.638000	33916.664300	33944.867800	34003.181690	34069.420960	34120.798000	29.586911624			0xe4428b424e5583f9	bf451c74850dd04d7863e117eb60377fa6956b904d9305292a1015eecd9cb974	0	0	pass
256	preprocessed	500	24333.620372	68.879770	0.283064	24330.295500	24415.645900	24438.630350	24542.437960	24756.202146	24843.600000	41.095405645	24350.084592	-0.067615	0x612dacf0a107e285	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	0	0	pass
256	rgb	500	23956.862274	58.977267	0.246181	23954.593500	24034.046400	24054.054100	24099.763300	24164.155204	24172.241000	41.741693406			0x612dacf0a107e285	661126eebff48e3ad074abdcd133aa54949e851390b1adb79964a403fe82ddba	0	0	pass
768	preprocessed	500	197238.843136	449.962851	0.228131	197199.411000	197781.865600	197979.158150	198363.766210	199424.938300	199439.060000	5.069995261	197529.898732	-0.147348	0x5bf0d5aca2066844	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	0	0	pass
768	rgb	500	194673.583220	498.711791	0.256178	194654.197500	195288.242900	195485.708900	196085.455320	196472.703083	196569.301000	5.136803789			0x5bf0d5aca2066844	3fd4d004e92c4238c69c2d07bc1eedcee92c1968984f17d2b796b7bf01b4e0be	0	0	pass
