runtime	provider	model_surface	opt_level	result	first_run_us	error_class
b120	cpu	int8	disable	pass	896987.443000	none
rt204	cpu	fp32	disable	pass	1443014.777000	none
rt204	spacemit	fp32	disable	pass	657417.283000	none
rt204	cpu	fp16	disable	pass	1486867.898000	none
rt204	spacemit	fp16	disable	absent	na	nonzero_exit
rt204	cpu	int8	disable	pass	2505552.475000	none
rt205	cpu	fp32	disable	pass	1450466.734000	none
rt205	spacemit	fp32	disable	pass	614938.984000	none
rt205	cpu	fp16	disable	pass	1559121.994000	none
rt205	spacemit	fp16	disable	absent	na	abort
rt205	cpu	int8	disable	pass	2483061.872000	none
rt205	spacemit	int8	disable	absent	na	abort
rt206	cpu	fp32	disable	pass	1447675.819000	none
rt206	spacemit	fp32	disable	pass	664574.998000	none
rt206	cpu	fp32	all	pass	1381064.451000	none
rt206	spacemit	fp32	all	pass	638662.804000	none
rt206	cpu	fp16	disable	pass	1492888.587000	none
rt206	spacemit	fp16	disable	pass	550441.334000	none
rt206	cpu	fp16	all	pass	1417798.713000	none
rt206	spacemit	fp16	all	pass	521294.288000	none
rt206	cpu	int8	disable	pass	2491540.437000	none
rt206	spacemit	int8	disable	absent	na	abort
rt206	cpu	int8	all	pass	1055714.797000	none
rt206	spacemit	int8	all	absent	na	abort
