fixture	model	provider	output_sha256
bus_r640_nchw_f32	fp16	cpu	2747652d2a8cafaf56a8688ec076d33193a7503c1b9a86899ba45682f116da30
bus_r640_nchw_f32	fp16	spacemit	40970db284e4aa263154dc7146252e105b3c62597438ae790f00263fd1f668b2
bus_r640_nchw_f32	fp32	cpu	b3882b2795630a75102d8fc7f04cf2cc17f9ff3f848df19401af90a630147ad5
bus_r640_nchw_f32	fp32	spacemit	dfbecf627c4d30f5fe650b447c2faa5d5ae844f8001e80e872ed495818d4e7cc
bus_r640_nchw_f32	int8	cpu	48c32083ce0de4e748b37cd69fbcddc9d557b351b929090665714fa0bc989698
images_F0_f32	fp16	cpu	964744f578b52af6f8bde6cb806b4bf131a177fe20d0b2372eb83bc45645283f
images_F0_f32	fp16	spacemit	59be1fe673b41f865c2c852b6504ae9f0c4788f417b01d2d0f06b28fe93c2802
images_F0_f32	fp32	cpu	62b914b91fc44c90d2190bcba189f598091b58bc1ae558f1e0c98ae0e7364b7a
images_F0_f32	fp32	spacemit	076acf38e32224ed2c173f1d704d1306a7473dba526d0a39fb225e9d5304d3ad
images_F0_f32	int8	cpu	b7cbcab72cefc9f6844159c4ed192cdf41b6570e682f2802de67fcf3d1896612
zidane_r640_nchw_f32	fp16	cpu	d214087db01c0616fc3aa553c19a9edb6e4b69952b44a2067163e07df55034e6
zidane_r640_nchw_f32	fp16	spacemit	c2a8adc85ae1a29de60f160ed72530e11835df1563425ec8f97873e757b1d611
zidane_r640_nchw_f32	fp32	cpu	52ddd77b90acc7399e1b27f1007eb7f355d151c0b44b6eb38e938c63b8bb0b64
zidane_r640_nchw_f32	fp32	spacemit	91a2f0309678df9a8131a95aad9a8b9aa83160fb134fdb1fe51732ef9bce0751
zidane_r640_nchw_f32	int8	cpu	6d5f19235bb64bfa596b8f735fafed130326cab74d5b7418fba6db9437ac0622
canonical_640_nchw_f32	fp16	cpu	758b78fecfff2b1a9f6e0e9a6db6652afecd23c2c2da5d0737b8dff5650e1f28
canonical_640_nchw_f32	fp16	spacemit	fbeb557ee2b606f00df1ca4f71ca76df97897a61f052d83571fee16d13f3a33b
canonical_640_nchw_f32	fp32	cpu	4afa9476c292ed471eb0366046eab61f79908c7a0f164eeca2229dd164c62957
canonical_640_nchw_f32	fp32	spacemit	5e9521828749018b6dd044bf69ab9b6035470bad367b2739d4f0a00e5972aa3c
canonical_640_nchw_f32	int8	cpu	af8dad1554a43f853151794db2829b1d068001dade0fcfb29b93280baccbfe13
