arm	samples	runs_per_repeat	total_inferences	session_create_us	first_run_us	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	process_cpu_mean_us	max_rss_kib	voluntary_context_switches	involuntary_context_switches	frequency_min_khz	frequency_max_khz	temperature_min_millic	temperature_max_millic	output_hash
b120_cpu_int8_t4_blocks	5	100	500	1997002.909000	496604.714000	460031.116286	181.873110	0.039535	460014.643530	460220.815034	460251.994442	460276.937968	460282.550262	459728.659500	460283.173850	1177784.580230	132248	489070	3402	1600000	1600000	57000	64000	11504208702423720688
rt204_cpu_int8_t4_blocks	5	100	500	2431495.427000	1058364.921000	1020221.818144	469.992759	0.046068	1020302.232210	1020701.490732	1020798.831846	1020876.704737	1020894.226138	1019464.290270	1020896.172960	2790767.965072	134720	520652	4698	1600000	1600000	61000	64000	15645569605351162986
rt204_spacemit_fp16_t4_blocks	5	100	500	622221.219000	518880.566000	370311.166686	1328.831028	0.358842	370073.099640	371767.248180	372294.088120	372715.560072	372810.391261	368961.366300	372820.928060	1471846.584612	83008	5017	2739	1600000	1600000	69000	72000	4428816228698681713
rt204_spacemit_fp32_t4_blocks	5	100	500	562948.730000	652861.915000	541412.643774	11404.345063	2.106405	539903.761670	553733.492918	554664.118104	555408.618253	555576.130786	522908.279420	555594.743290	2156225.887312	104620	4890	3481	1600000	1600000	61000	67000	6833870689730314392
rt205_cpu_int8_t4_blocks	5	100	500	2426612.694000	1055194.466000	1019798.692728	530.152284	0.051986	1019963.070230	1020355.083436	1020455.141368	1020535.187714	1020553.198141	1019055.943350	1020555.199300	2790421.217352	134988	520553	5726	1600000	1600000	62000	63000	15645569605351162986
rt205_spacemit_fp16_t4_blocks	5	100	500	644348.619000	477371.719000	357001.040084	3956.093911	1.108146	359404.500150	359841.737910	359868.083890	359889.160674	359893.902950	349507.069100	359894.429870	1772517.533462	81128	6223	4272	1600000	1600000	68000	73000	10764174056907406729
rt205_spacemit_fp32_t4_blocks	5	100	500	574646.393000	604063.530000	435879.246704	981.040447	0.225072	435609.889710	437074.517582	437216.831596	437330.682807	437356.299330	434864.772280	437359.145610	2166779.427378	105660	6293	6185	1600000	1600000	65000	71000	7454185461486612588
rt206_cpu_fp16_t4_blocks	5	100	500	1214757.849000	1420940.485000	1391837.266062	954.205695	0.068557	1391457.217920	1392950.551882	1393287.042456	1393556.234915	1393616.803219	1390899.932310	1393623.533030	5119914.691616	129576	430630	8386	1600000	1600000	66000	73000	8066093438752110670
rt206_cpu_fp32_t4_blocks	5	100	500	621867.334000	1377175.852000	1351305.958104	379.697281	0.028099	1351279.761850	1351724.805360	1351782.289310	1351828.276470	1351838.623581	1350716.553000	1351839.773260	5052980.880614	111308	380030	6488	1600000	1600000	69000	74000	7109068612406988645
rt206_cpu_int8_t4_blocks	5	100	500	2450587.033000	1058398.460000	1022360.081852	191.519294	0.018733	1022454.490270	1022551.521780	1022575.567940	1022594.804868	1022599.133177	1022124.446610	1022599.614100	2790965.449430	135112	520860	9442	1600000	1600000	61000	63000	15645569605351162986
rt206_spacemit_fp16_t4_blocks	5	100	500	633712.509000	516616.861000	357382.002502	1598.140662	0.447180	357031.003180	359118.867994	359794.185862	360334.440156	360455.997373	356024.291050	360469.503730	1774398.576406	81780	6171	4688	1600000	1600000	70000	73000	11204660165767355151
rt206_spacemit_fp32_t4_blocks	5	100	500	577518.847000	608971.754000	436560.704820	856.908685	0.196286	436188.587800	437611.912466	437774.676488	437904.887706	437934.185230	435562.304900	437937.440510	2170455.772766	105536	6216	6090	1600000	1600000	68000	73000	7454185461486612588
