path	sha256	ir_version	opset_imports	node_count	initializer_count	inputs	outputs	operator_counts
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/e2e_qdq_rep_conv_matmul_strip_kernel_shape.onnx	4af28ee778979b2598994eabfaa52c1bbac68ceae64fbe0635c574d35c233848	8	ai.onnx:18	1069	1024	images	output0	Add:23,Cast:3,Concat:26,Constant:47,ConstantOfShape:2,Conv:102,DequantizeLinear:410,Div:2,Expand:2,Flatten:2,Gather:4,GatherElements:2,MatMul:4,MaxPool:3,Mod:1,Mul:93,QuantizeLinear:206,ReduceMax:1,Reshape:14,Resize:2,Shape:3,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Tile:2,TopK:2,Transpose:5,Unsqueeze:3
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/e2e_qoperator_rep_conv_matmul.onnx	aa657776ad24dae00834e8f457d6fb648934f2a97534979bf82ed33aef1f6f81	8	ai.onnx:18	659	820	images	output0	Add:23,Cast:3,Concat:26,Constant:47,ConstantOfShape:2,DequantizeLinear:106,Div:2,Expand:2,Flatten:2,Gather:4,GatherElements:2,MaxPool:3,Mod:1,Mul:93,QLinearConv:102,QLinearMatMul:4,QuantizeLinear:100,ReduceMax:1,Reshape:14,Resize:2,Shape:3,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Tile:2,TopK:2,Transpose:5,Unsqueeze:3
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/manual_e2e_rep_conv_matmul_qdq.onnx	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	8	ai.onnx:18	1069	1024	images	output0	Add:23,Cast:3,Concat:26,Constant:47,ConstantOfShape:2,Conv:102,DequantizeLinear:410,Div:2,Expand:2,Flatten:2,Gather:4,GatherElements:2,MatMul:4,MaxPool:3,Mod:1,Mul:93,QuantizeLinear:206,ReduceMax:1,Reshape:14,Resize:2,Shape:3,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Tile:2,TopK:2,Transpose:5,Unsqueeze:3
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/manual_e2e_small_conv_matmul_qdq.onnx	e11f63609f6112d4faad9e573af24b2d63f5f7135221d5c730d7bd745521d77d	8	ai.onnx:18	1069	1024	images	output0	Add:23,Cast:3,Concat:26,Constant:47,ConstantOfShape:2,Conv:102,DequantizeLinear:410,Div:2,Expand:2,Flatten:2,Gather:4,GatherElements:2,MatMul:4,MaxPool:3,Mod:1,Mul:93,QuantizeLinear:206,ReduceMax:1,Reshape:14,Resize:2,Shape:3,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Tile:2,TopK:2,Transpose:5,Unsqueeze:3
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/manual_trad_rep_conv_matmul_qdq.onnx	c612fcbf5ce453198f75109d1907825a6d995a846bc0b5952f1b451323b14ca8	8	ai.onnx:18	1021	1024	images	output0	Add:23,Concat:23,Constant:31,Conv:102,DequantizeLinear:410,Div:2,Gather:1,MatMul:4,MaxPool:3,Mul:92,QuantizeLinear:206,Reshape:12,Resize:2,Shape:1,Sigmoid:88,Slice:2,Softmax:2,Split:11,Sub:2,Transpose:4
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/manual_trad_rep_conv_only_qdq.onnx	8ee866e0b0612ce8bf0d3fa18feea3fda06a7b73b0b3305238a929c54483e0af	8	ai.onnx:18	997	1000	images	output0	Add:23,Concat:23,Constant:31,Conv:102,DequantizeLinear:398,Div:2,Gather:1,MatMul:4,MaxPool:3,Mul:92,QuantizeLinear:194,Reshape:12,Resize:2,Shape:1,Sigmoid:88,Slice:2,Softmax:2,Split:11,Sub:2,Transpose:4
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/yolo26n_640_e2e_fp32.onnx	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	8	ai.onnx:18	453	204	images	output0	Add:23,Cast:3,Concat:26,Constant:47,ConstantOfShape:2,Conv:102,Div:2,Expand:2,Flatten:2,Gather:4,GatherElements:2,MatMul:4,MaxPool:3,Mod:1,Mul:93,ReduceMax:1,Reshape:14,Resize:2,Shape:3,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Tile:2,TopK:2,Transpose:5,Unsqueeze:3
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/models/yolo26n_640_e2e_native_fp16_body_headfp32_keep_io.onnx	f515005e1cfeb19ce320408d44f79d8439774f4deaff188eed3ca70b258ff6d4	8	ai.onnx:18	535	204	images	output0	Add:23,Cast:85,Concat:26,Constant:47,ConstantOfShape:2,Conv:102,Div:2,Expand:2,Flatten:2,Gather:4,GatherElements:2,MatMul:4,MaxPool:3,Mod:1,Mul:93,ReduceMax:1,Reshape:14,Resize:2,Shape:3,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Tile:2,TopK:2,Transpose:5,Unsqueeze:3
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/subgraphs/rt206_spacemit_fp16_all/SpaceMITExecutionProvider_SpineSubgraph_2866176829891434777_1_0_shape1_3_640_640__.onnx	93676b11481f4623aa2127d1401c327554a7eac84e07bec60dc89f19bc4aa643	13		428	0	images	/model.23/Split_output_cast_0,/model.23/GatherElements_input_cast_0,/model.23/ReduceMax_output_cast_0	Add:21,Cast:48,Concat:23,Conv:102,MatMul:4,MaxPool:3,Mul:90,ReduceMax:1,Reshape:12,Resize:2,Sigmoid:88,Slice:2,Softmax:2,Split:12,Sub:1,Transpose:17
/data/ncnn-logs/ai-team/2026-07-27/2026-07-27_12-33-27__contcodex__BANANA-YOLO26-VENDOR-ORT-STAGE63-RT206-SPACEMIT-EP-INT8-REGRESSION-REVALIDATION-PLUGIN-FULLMODEL-COCO-AND-ISSUE1-GATE-001__rt206-revalidation/raw/subgraphs/rt206_spacemit_fp16_disable/SpaceMITExecutionProvider_SpineSubgraph_2866176829891434777_3_0_shape1_3_640_640__.onnx	c1fe0762a11fe76d513e809884486c9816ff364389fa1c1ca2d5616f89c37ced	13		154	0	images	/model.4/cv2/act/Mul_output_0,/model.6/cv2/act/Mul_output_0,/model.10/cv2/act/Mul,/model.11/Resize_input_cast_0	Add:10,Cast:2,Concat:8,Conv:40,MatMul:2,MaxPool:3,Mul:36,Reshape:3,Sigmoid:35,Softmax:1,Split:6,Transpose:8
