runtime	provider	model_surface	opt_level	result	session_create_us	error_class
b120	cpu	int8	disable	pass	737747.138000	none
rt204	cpu	fp32	disable	pass	315043.434000	none
rt204	spacemit	fp32	disable	pass	358416.095000	none
rt204	cpu	fp16	disable	pass	844669.973000	none
rt204	spacemit	fp16	disable	absent	na	nonzero_exit
rt204	cpu	int8	disable	pass	940639.786000	none
rt205	cpu	fp32	disable	pass	314254.479000	none
rt205	spacemit	fp32	disable	pass	363644.038000	none
rt205	cpu	fp16	disable	pass	835455.524000	none
rt205	spacemit	fp16	disable	absent	na	abort
rt205	cpu	int8	disable	pass	938956.698000	none
rt205	spacemit	int8	disable	absent	na	abort
rt206	cpu	fp32	disable	pass	315161.221000	none
rt206	spacemit	fp32	disable	pass	374501.518000	none
rt206	cpu	fp32	all	pass	627496.684000	none
rt206	spacemit	fp32	all	pass	581096.289000	none
rt206	cpu	fp16	disable	pass	837703.262000	none
rt206	spacemit	fp16	disable	pass	399675.701000	none
rt206	cpu	fp16	all	pass	1199248.750000	none
rt206	spacemit	fp16	all	pass	641171.162000	none
rt206	cpu	int8	disable	pass	933479.208000	none
rt206	spacemit	int8	disable	absent	na	abort
rt206	cpu	int8	all	pass	2442947.289000	none
rt206	spacemit	int8	all	absent	na	abort
