arm	samples	runs_per_repeat	total_inferences	session_create_us	first_run_us	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	process_cpu_mean_us	max_rss_kib	voluntary_context_switches	involuntary_context_switches	frequency_min_khz	frequency_max_khz	temperature_min_millic	temperature_max_millic	output_hash
b120_cpu_int8_t4	500	1	500	1998810.340000	495608.820000	461348.716226	2214.344912	0.479972	460807.414500	463099.270100	467407.219600	470215.684500	472430.340310	458239.753000	473185.981000	1180049.744334	131160	488906	5583	1600000	1600000	53000	60000	11504208702423720688
rt204_cpu_int8_t4	500	1	500	2432035.323000	1055857.165000	1020580.609548	4465.301957	0.437526	1019606.967500	1022760.016700	1028532.240700	1041567.867810	1054611.858881	1016099.598000	1060431.886000	2791970.816842	134720	521026	5396	1600000	1600000	59000	62000	15645569605351162986
rt204_spacemit_fp16_t4	500	1	500	624050.569000	517273.173000	371733.044558	11315.909769	3.044096	368231.397500	381463.149300	386049.649400	418086.888280	472355.917277	364707.094000	473279.455000	1477303.607666	82880	5274	2764	1600000	1600000	69000	73000	4428816228698681713
rt204_spacemit_fp32_t4	500	1	500	561510.127000	651084.632000	535159.549956	61279.616444	11.450719	506612.868000	627303.242000	695664.982550	706971.846010	708134.897880	482913.579000	708377.851000	2130956.855668	104488	4949	3787	1600000	1600000	60000	68000	6833870689730314392
rt205_cpu_int8_t4	500	1	500	2440625.360000	1054238.710000	1019607.811388	4418.745498	0.433377	1018674.957500	1021443.553300	1022996.825700	1037934.950620	1058898.571885	1014728.688000	1067887.251000	2790924.095890	135116	520807	11081	1600000	1600000	60000	62000	15645569605351162986
rt205_spacemit_fp16_t4	500	1	500	628284.818000	477443.410000	356884.125766	31892.355194	8.936333	344419.376500	403341.883900	406435.957800	417228.361510	423635.766583	317046.664000	423798.482000	1772182.143782	80996	6362	2387	1600000	1600000	69000	73000	10764174056907406729
rt205_spacemit_fp32_t4	500	1	500	574615.766000	606923.430000	435009.196112	6918.424313	1.590409	433074.832000	442065.242600	449080.306150	467593.551040	481618.118214	428369.545000	482979.996000	2162261.804524	105532	6275	4478	1600000	1600000	65000	71000	7454185461486612588
rt206_cpu_fp16_t4	500	1	500	1191554.193000	1420625.325000	1388220.992602	10228.054331	0.736774	1386111.675500	1391694.075600	1394459.414600	1443372.051260	1458643.102414	1379703.533000	1459794.502000	5123856.222594	129576	430666	7155	1600000	1600000	69000	73000	8066093438752110670
rt206_cpu_fp32_t4	500	1	500	622872.497000	1372669.691000	1346676.800218	12475.219209	0.926371	1344226.519000	1349555.283800	1354599.163400	1411379.384540	1430711.739438	1336286.017000	1432119.138000	5038220.962880	111348	380072	7005	1600000	1600000	69000	74000	7109068612406988645
rt206_cpu_int8_t4	500	1	500	2426573.775000	1056600.654000	1019748.371232	3410.489770	0.334444	1019011.232500	1021705.575600	1023356.790000	1036476.213420	1044272.934299	1016248.371000	1045491.891000	2789845.845420	135240	520629	4709	1600000	1600000	60000	62000	15645569605351162986
rt206_spacemit_fp16_t4	500	1	500	638723.826000	485185.030000	352150.292334	31772.335384	9.022379	340951.798500	405731.981400	408514.755050	415008.044420	421850.703998	317221.230000	422138.626000	1748258.476506	81392	6210	2377	1600000	1600000	69000	74000	11204660165767355151
rt206_spacemit_fp32_t4	500	1	500	582185.546000	607913.386000	436039.137614	6915.466037	1.585974	433682.855000	447491.035900	450574.279250	461540.383090	474845.890565	428763.618000	479700.694000	2167605.561590	105736	6227	3475	1600000	1600000	68000	73000	7454185461486612588
