set	index	filename	path	bytes	sha256
calibration	0	000000000285.jpg	/data/datasets/coco_calib2K/images/000000000285.jpg	335861	f3a2974ce3686332609124c70e3e6a2e3aca43fccf1cd1bd7c5c03820977f57d
calibration	1	000000000776.jpg	/data/datasets/coco_calib2K/images/000000000776.jpg	176410	1dd31e9059c491992be2f562624eb4093e17aee08b4f7baf5ff9ea24543b0a33
calibration	2	000000000785.jpg	/data/datasets/coco_calib2K/images/000000000785.jpg	133674	83981537a7baeafbeb9c8cb67b3484dc26433f574b3685d021fa537e277e4726
calibration	3	000000000872.jpg	/data/datasets/coco_calib2K/images/000000000872.jpg	317669	c2aa138ee3a59b057a7ba6fc5a6a18e62af531aa7dab78a7bfd33c1cd7e55eb6
calibration	4	000000001000.jpg	/data/datasets/coco_calib2K/images/000000001000.jpg	321136	24bb77a31928404e45a0454b06f6a0bd54a8db103590c9d7917288a1e0269f05
calibration	5	000000001296.jpg	/data/datasets/coco_calib2K/images/000000001296.jpg	204829	34a98da7c11bc8811e6eec445145bb16f3d5f4338945ba116edcc1fe554d181b
calibration	6	000000001490.jpg	/data/datasets/coco_calib2K/images/000000001490.jpg	101098	a044804a0b0186a1267acae34975932f14ede96c4a2b78fcee74e6c2fbd8414d
calibration	7	000000002157.jpg	/data/datasets/coco_calib2K/images/000000002157.jpg	124713	1a038609e5ceb0719105b1438d257c3d588e45384cb7ffe77b137e4d7e3ed477
calibration	8	000000002299.jpg	/data/datasets/coco_calib2K/images/000000002299.jpg	103567	d53d17dd8ecded4ae25555a0b8e193445846c7db7a6199c3ea35b09b3021f99e
calibration	9	000000002431.jpg	/data/datasets/coco_calib2K/images/000000002431.jpg	141124	fa0ce7b066c2fe7bd0892aa2c6361943148db9766de60241e69d8026a18e05ad
calibration	10	000000002473.jpg	/data/datasets/coco_calib2K/images/000000002473.jpg	95783	2f1bfa7634a64f7999ba5488ec904ad1f85bbc63d0fe4b9fe35f52abbf8c5f4f
calibration	11	000000002685.jpg	/data/datasets/coco_calib2K/images/000000002685.jpg	272650	2430b9bffb5ff52dfbaf7b922ac8018547e233a5996a6b017bd1a206a46c5bdb
calibration	12	000000002923.jpg	/data/datasets/coco_calib2K/images/000000002923.jpg	99783	46d2a5feb3f953b59316daee47b45332f07ebde1f88eb361f29b35c1fbbb62e0
calibration	13	000000003553.jpg	/data/datasets/coco_calib2K/images/000000003553.jpg	148040	4286197d2b6fc18809a37a4ef3035109509fcf52782fb83894835faaa5743bea
calibration	14	000000003845.jpg	/data/datasets/coco_calib2K/images/000000003845.jpg	163593	d5c4394c712e5c24586f2531e2adf25d14e398993cc12af561ca760f20881df0
calibration	15	000000003934.jpg	/data/datasets/coco_calib2K/images/000000003934.jpg	138201	c7b1180c75a332e8768a4ca76b1fe8b3e3e073e2b925d94f43fa5439535d5dcf
calibration	16	000000004495.jpg	/data/datasets/coco_calib2K/images/000000004495.jpg	106634	cf670ca35fb16e59ecce82eecf9bf1f60d2ee333be81b61c4ea390be2c7e7b2b
calibration	17	000000004765.jpg	/data/datasets/coco_calib2K/images/000000004765.jpg	139681	90fab997d1351b1c2ae1a437689245f962dbfa58e577911c9c83991490aadc5e
calibration	18	000000004795.jpg	/data/datasets/coco_calib2K/images/000000004795.jpg	165837	6f8994bac6aef0602d4aa4397ecd4b7d579f5b18f66058a2df021352dd22bdc6
calibration	19	000000005060.jpg	/data/datasets/coco_calib2K/images/000000005060.jpg	157329	5d3d8315695f7c718b649c06afe32c792bcce9d4a97f544fc1ba19bc592d8cd3
calibration	20	000000005503.jpg	/data/datasets/coco_calib2K/images/000000005503.jpg	58617	ff95bf5ddb4bdbd7f4f0f96d963cd941a0a2b38cfcf7832f25113e8441a443c6
calibration	21	000000005529.jpg	/data/datasets/coco_calib2K/images/000000005529.jpg	224797	e06b55bf935e76ac31cd8b8a56a3978e2f552d7c967ff8a0b8d0ae3b3445db0e
calibration	22	000000005600.jpg	/data/datasets/coco_calib2K/images/000000005600.jpg	134559	37e5625d5de54eb524ad2425d855e1d9d54fcb29c3475dacffc86ab48bcaec39
calibration	23	000000006213.jpg	/data/datasets/coco_calib2K/images/000000006213.jpg	125937	0f8ce814489c07920e1f3c3a08842ff832f66340a4487d49de2feb31a45b8132
calibration	24	000000006460.jpg	/data/datasets/coco_calib2K/images/000000006460.jpg	119914	2526fc01ddf5bef5c5e6e1f665d63b6bc95d8ec14eab286dc080e95f9a3642cd
calibration	25	000000006471.jpg	/data/datasets/coco_calib2K/images/000000006471.jpg	96115	67fe4f0a7b71ecee846273d654bb8387c180229dc6c4a3060152aed0a776762f
calibration	26	000000006723.jpg	/data/datasets/coco_calib2K/images/000000006723.jpg	200461	1d3ba71e9002721a2bc18791f3c86578d6de38fb61640803657276d53e73663f
calibration	27	000000006763.jpg	/data/datasets/coco_calib2K/images/000000006763.jpg	111031	e3d8430df8ae6fd8021ca48ce988bcb8a1ae648be8bd3b73b1f0cc9c37f82484
calibration	28	000000006771.jpg	/data/datasets/coco_calib2K/images/000000006771.jpg	138318	b2cc81a8ab0c23da44dda4b6526515c68dbcb1abf939a371f750ffe22db15f95
calibration	29	000000006894.jpg	/data/datasets/coco_calib2K/images/000000006894.jpg	119456	8e2059e2f11b0c3051d105255221dd1474ab9a80907de64f0908ae8234e97c8a
calibration	30	000000006954.jpg	/data/datasets/coco_calib2K/images/000000006954.jpg	266595	59471a9bed5c28ac2f3ad56af1799340d6acb90f7c87d1f60360d1a9466e89ea
calibration	31	000000007088.jpg	/data/datasets/coco_calib2K/images/000000007088.jpg	263011	323e51d944faa233acfa36f23598bad7f8bae8107d089949ae792267bac03770
calibration	32	000000007784.jpg	/data/datasets/coco_calib2K/images/000000007784.jpg	65621	2b472f58ae604977c3c288320aed7fa8823043758e1b40b9cede91921d7154eb
calibration	33	000000007888.jpg	/data/datasets/coco_calib2K/images/000000007888.jpg	132380	7c735e89b3699afc510053412ddea8e0370a1a5a2c9096713a5b255567747442
calibration	34	000000008532.jpg	/data/datasets/coco_calib2K/images/000000008532.jpg	109812	237e72d5ffb557b5052b918c01a4fb15e6bb7dd2151bba9c0538de0024c941f9
calibration	35	000000008629.jpg	/data/datasets/coco_calib2K/images/000000008629.jpg	231097	cb4972816eb01ebee8f3bde47a4993972951671e990dca797ad0fa9e0f385c11
calibration	36	000000008899.jpg	/data/datasets/coco_calib2K/images/000000008899.jpg	284674	5643dd54684df9750a16660fcb033e3acda2eff9c809cb69acb428b1184cadd1
calibration	37	000000009590.jpg	/data/datasets/coco_calib2K/images/000000009590.jpg	155925	93cdd55e59cf7d32c481ca5b00b1b9c64f8b8f44020f64a97752a767fd7571ee
calibration	38	000000009772.jpg	/data/datasets/coco_calib2K/images/000000009772.jpg	245584	ab798f0ee5d1bed52376a5ee8bfbd973cb4c4fface481a9bc7a3ff5d9c57b4c7
calibration	39	000000009914.jpg	/data/datasets/coco_calib2K/images/000000009914.jpg	162551	8033e21b153383291f443ff8c89459e405441eac88e4ee617825f19182106d5c
calibration	40	000000010707.jpg	/data/datasets/coco_calib2K/images/000000010707.jpg	121031	a361abb7579193709ef3debbec6298bf0c540bece429c4aadb19be82e04ab6a0
calibration	41	000000010995.jpg	/data/datasets/coco_calib2K/images/000000010995.jpg	73294	19ee23abae8a3da6b5914987e991ea9ee8a9743309ae17db732426c8fa860fe2
calibration	42	000000011051.jpg	/data/datasets/coco_calib2K/images/000000011051.jpg	80740	fb0f943cc1b027c64e5dbbc486b1d62d431244565e68b730e2ff8264d51116db
calibration	43	000000011122.jpg	/data/datasets/coco_calib2K/images/000000011122.jpg	239715	74e9d13ddccbc52d2fd9da5984279a6218b250668e1ae1c6450be9d1ca2bc41a
calibration	44	000000011149.jpg	/data/datasets/coco_calib2K/images/000000011149.jpg	176762	5973b8f1d5a30de98b1dcb715f1c94928a676fff8e45283515d0474e51ac0abc
calibration	45	000000011197.jpg	/data/datasets/coco_calib2K/images/000000011197.jpg	177196	b6dbcc5c9e52f51480c4974ae6b15003ce25cd98fb936e2f26694fb7058fdbcb
calibration	46	000000011615.jpg	/data/datasets/coco_calib2K/images/000000011615.jpg	111010	dc3d5cce23371a2b7d0be6bf423b5989e29195323b428ef0e639a1d97a3932ac
calibration	47	000000011760.jpg	/data/datasets/coco_calib2K/images/000000011760.jpg	284804	929474fc4adc38fbd6a392607e27ae8785488ed13676d103c5361e9091333c49
calibration	48	000000012062.jpg	/data/datasets/coco_calib2K/images/000000012062.jpg	227134	319d58f0fa008d076b766671a5b607f94614f6005f773adced54a57567aa28fb
calibration	49	000000012670.jpg	/data/datasets/coco_calib2K/images/000000012670.jpg	187752	00c989b165bdde8eb54cbe7d1fcfb0ae7b2ac7f5f23d83baea723e7d2acf7099
