surface	provider	inference_provider	tail_provider	session_created	first_inference_completed	result_pass
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-stability1000-hash	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-1	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-2	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/thread-scout/cpu-thread-scout-4	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-cpu	cpu	CPUExecutionProvider	CPUExecutionProvider	1	1	1
R211_VENDOR_LITERAL_SPLIT_run1b/zidane-spacemit	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
performance/R211_PROJECT_EXACT_SPLIT_run1/spacemit-soak10000	spacemit	SpaceMITExecutionProvider	CPUExecutionProvider	1	1	1
