candidate	node_name	op_type	source_weight	quantized_weight	source_shape	quantized_shape	source_dtype	quantized_dtype	zero_point_dtype	zero_point_min	zero_point_max	scale_shape	axis	shape_match	mae_after_dequantize	max_abs_after_dequantize	cosine_after_dequantize	source_sha256	quantized_sha256
R211_PROJECT_EXACT_SPLIT_run1	/model.0/conv/Conv	Conv	model.0.conv.weight	model.0.conv.weight	16x3x3x3	16x3x3x3	float32	int8	int8	0	0	16	0	1	0.022556142118345533	0.09255662560462952	0.9999816241869873	e22500dcb8dca0f23875b66c55a3003b18d3d10928cc838ee5bef98dc98b11b2	f7ca1e1bef78aa45707a27241833457d9e6ac75a6dbcb617a1bf580413eec6bc
R211_PROJECT_EXACT_SPLIT_run1	/model.1/conv/Conv	Conv	model.1.conv.weight	model.1.conv.weight	32x16x3x3	32x16x3x3	float32	int8	int8	0	0	32	0	1	0.001627038955328292	0.006612896919250488	0.9999542069942322	a6a15755a22700172bffe614d58b79f61c52dc0cbd682df31f98c91aa5220130	b8b67145ad7105be0d72745ce1df44a9022862011e351fa75796be2322645933
R211_PROJECT_EXACT_SPLIT_run1	/model.2/cv1/conv/Conv	Conv	model.2.cv1.conv.weight	model.2.cv1.conv.weight	32x32x1x1	32x32x1x1	float32	int8	int8	0	0	32	0	1	0.0015062246431485349	0.0056122541427612305	0.9999558290718905	5e382e809489d2ee4194d0c577bb1f6186d38c12db934737d8725c1aebafc220	cd7bee92dd97b8411b04605daf8e38b4043fe6ed7419418cf0d8023ea7d86981
R211_PROJECT_EXACT_SPLIT_run1	/model.2/m.0/cv1/conv/Conv	Conv	model.2.m.0.cv1.conv.weight	model.2.m.0.cv1.conv.weight	8x16x3x3	8x16x3x3	float32	int8	int8	0	0	8	0	1	0.00015327363526079156	0.000581577536650002	0.9998953101243888	491796c756eaf17db25330ff37841bb2f42f2e3d715927ed649c5bd923bf5cc3	60699a187d0b3433515912c0a567e189c4ea91d1f435980fac9bec9ea141df76
R211_PROJECT_EXACT_SPLIT_run1	/model.2/m.0/cv2/conv/Conv	Conv	model.2.m.0.cv2.conv.weight	model.2.m.0.cv2.conv.weight	16x8x3x3	16x8x3x3	float32	int8	int8	0	0	16	0	1	0.030315802061724954	0.11695098876953125	0.9999369017186392	8135d6243d74b4e27567d755a8e2ba2fbc3f5f4f2caa1cea38aa73887aa95829	7b76a1788381c47185fd29de9d0b6d2142a38b23e59d600c2836252cbc5fa228
R211_PROJECT_EXACT_SPLIT_run1	/model.2/cv2/conv/Conv	Conv	model.2.cv2.conv.weight	model.2.cv2.conv.weight	64x48x1x1	64x48x1x1	float32	int8	int8	0	0	64	0	1	0.0012118311099340445	0.005568205378949642	0.999960289467614	1ad86b0890504b9cee6750559e2c2453307df57be8fd5a61f693bd9432da01e7	0e7610fb051f1282f30b6438104dcad7314a1ba1c75049d0e311630ff66084d3
R211_PROJECT_EXACT_SPLIT_run1	/model.3/conv/Conv	Conv	model.3.conv.weight	model.3.conv.weight	64x64x3x3	64x64x3x3	float32	int8	int8	0	0	64	0	1	0.0002365968231671735	0.0010397755540907383	0.9999313579863578	e44672cbbfa251a82dbd542bbe86bad6cddcd8ce8d2a4c9a2e3ccb47b019c44c	fce3b341fc694b856a0ff2ee6d2972b0aded8ab24b18bcdb993a487fd77d4edd
R211_PROJECT_EXACT_SPLIT_run1	/model.4/cv1/conv/Conv	Conv	model.4.cv1.conv.weight	model.4.cv1.conv.weight	64x64x1x1	64x64x1x1	float32	int8	int8	0	0	64	0	1	0.0011833947307460235	0.0062628984451293945	0.9999583570310059	b10ef437446e72501409d3fa97a2264549ed86e3774898d7f75cb16961a44081	5724c907475ef0fa280d38d7d4d84f02e7591194543c540d2f827f0a122c8140
R211_PROJECT_EXACT_SPLIT_run1	/model.4/m.0/cv1/conv/Conv	Conv	model.4.m.0.cv1.conv.weight	model.4.m.0.cv1.conv.weight	16x32x3x3	16x32x3x3	float32	int8	int8	0	0	16	0	1	0.0008597282741978783	0.003327850252389908	0.9999194930808551	87b7743489827a3827af7633d1dbb869ace4f9c560666da3ac331acfbde81dae	e3950aa13ea5b5d178000f98f043d240722c1991092ec4661f98fd9fe5f0c1be
R211_PROJECT_EXACT_SPLIT_run1	/model.4/m.0/cv2/conv/Conv	Conv	model.4.m.0.cv2.conv.weight	model.4.m.0.cv2.conv.weight	32x16x3x3	32x16x3x3	float32	int8	int8	0	0	32	0	1	0.0011366816322938196	0.004071526229381561	0.9999496458126323	2bd4fd356060dc0b39f4a0d29112fb402a04d61305e5b678932905095381cc3d	759f2b401563fdee24d485d76561b92b9afb87b515f0f3aa2d9d9546be23b6ba
R211_PROJECT_EXACT_SPLIT_run1	/model.4/cv2/conv/Conv	Conv	model.4.cv2.conv.weight	model.4.cv2.conv.weight	128x96x1x1	128x96x1x1	float32	int8	int8	0	0	128	0	1	0.001178122197963612	0.0048109544441103935	0.9999650881937222	a2bced9665bce9c4a1c21438d7d48f8d35cef419584d7f7bde5d7dfff49db2b8	ebc344d1df055db206dbbe677c7c4f23d4eab9edf0dc61489d709fb314e1fef1
R211_PROJECT_EXACT_SPLIT_run1	/model.5/conv/Conv	Conv	model.5.conv.weight	model.5.conv.weight	128x128x3x3	128x128x3x3	float32	int8	int8	0	0	128	0	1	0.0006145471119504067	0.007040782831609249	0.9998908645202452	2de86fdc0d300ce40782010a0efe49d89b7f7a2b3226d5bc5a61893ca663fe21	b88a0ebf8efe707f48e8d094217e5ccddab55bacc328e68790c0e9f07196504d
R211_PROJECT_EXACT_SPLIT_run1	/model.6/cv1/conv/Conv	Conv	model.6.cv1.conv.weight	model.6.cv1.conv.weight	128x128x1x1	128x128x1x1	float32	int8	int8	0	0	128	0	1	0.001152205585368729	0.005274653434753418	0.9999563471596137	744b84284d6eedfe337a2b8c0fb5c2a165c96c7bc2d5152ed9bf7de46b897590	5d91674bf265980fb721056e7ff5bde3534e67abc26853304613d39f31dfedaa
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/cv1/conv/Conv	Conv	model.6.m.0.cv1.conv.weight	model.6.m.0.cv1.conv.weight	32x64x1x1	32x64x1x1	float32	int8	int8	0	0	32	0	1	0.000735326130643088	0.0029265880584716797	0.9999726798657821	76295caf45367e86155070f0ce7584c479df3d191a197d3ce70ac05d041a5bd2	d9a4e6915147120dd1c70995cb49f31471a7255f958f3afa260a95ef40ede24d
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/cv2/conv/Conv	Conv	model.6.m.0.cv2.conv.weight	model.6.m.0.cv2.conv.weight	32x64x1x1	32x64x1x1	float32	int8	int8	0	0	32	0	1	0.002114221238651126	0.013632090762257576	0.999957181603377	4a012940c8c98f143204d49cd861bd4bbfc26651b0df88cc2920a0878dfe4e15	d11ceba5d7f49e02f3b2c01c71625ea5e147fb3277988add3fa1bc0c08659672
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/m/m.0/cv1/conv/Conv	Conv	model.6.m.0.m.0.cv1.conv.weight	model.6.m.0.m.0.cv1.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0013396496276578932	0.006324648857116699	0.999935581841366	a24b256697ed4238e33156978694f7b73aebf7bb2cef80d07e95930278a9352f	60edaa71fc4613c28d982af8c87c34f30cd4e5e58bc7bec2b94505ac94512a95
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/m/m.0/cv2/conv/Conv	Conv	model.6.m.0.m.0.cv2.conv.weight	model.6.m.0.m.0.cv2.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0007041723663534012	0.0036422181874513626	0.9999420049086137	6208c8619091b4f2e5b01b00e30f3cd44c904d9d707d7cac73ec7a8e12f58966	69ffc375cd5020cda9eb7370efc1fe24d8dd1fdb4f2e748325089716e11c90e9
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/m/m.1/cv1/conv/Conv	Conv	model.6.m.0.m.1.cv1.conv.weight	model.6.m.0.m.1.cv1.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0008168866844273155	0.0034613609313964844	0.9999398316566953	a884cde40ad5a992394165ff404d39bb39db6016aae88db33a2413a8ecbd194b	7411da07585f6f164f7c822f4a16d3da7bdb1bcd17cb17287cdd3dadbad2207e
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/m/m.1/cv2/conv/Conv	Conv	model.6.m.0.m.1.cv2.conv.weight	model.6.m.0.m.1.cv2.conv.weight	32x32x3x3	32x32x3x3	float32	int8	int8	0	0	32	0	1	0.0011493792549579496	0.005071333609521389	0.9999517046032327	4c8ba73f3447175c968220001db32007a1184159c3ecd1d9639a9ce1976e9c9b	273534559be5555d21b1d21473af95be299a999a1eba427a9e1a21020a4cc57a
R211_PROJECT_EXACT_SPLIT_run1	/model.6/m.0/cv3/conv/Conv	Conv	model.6.m.0.cv3.conv.weight	model.6.m.0.cv3.conv.weight	64x64x1x1	64x64x1x1	float32	int8	int8	0	0	64	0	1	0.0008543062616181984	0.0037229061126708984	0.9999705508638472	b65656a4a2cc369fb4101881173a800e2ae83dca390bb45ef3d2d305696057e2	c26b5af48c3f5e9ebf40dc22af58d806c40a75abe51d89ce0d93cf0073ca0994
