candidate	initializer	tail_shape	tail_dtype	tail_sha256	source_present	source_sha256	candidate_present	candidate_sha256	source_exact	candidate_exact
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_12_output_0	1x2x8400	float32	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_13_output_0	1x2x8400	float32	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_14_output_0	1x8400	float32	ae76db0286c343bc0bf45396d0b553180e6edc6c4d41ade11fc1700699b552e8	1	ae76db0286c343bc0bf45396d0b553180e6edc6c4d41ade11fc1700699b552e8	1	ae76db0286c343bc0bf45396d0b553180e6edc6c4d41ade11fc1700699b552e8	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_15_output_0	1	int64	12a3ae445661ce5dee78d0650d33362dec29c4f82af05e7e57fb595bbbacf0ca	1	12a3ae445661ce5dee78d0650d33362dec29c4f82af05e7e57fb595bbbacf0ca	1	12a3ae445661ce5dee78d0650d33362dec29c4f82af05e7e57fb595bbbacf0ca	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_16_output_0	1	int64	5fbbc50a5e0bc4e1bb5ea4bbacda5ae6709eff8e286fb002fee73a4913820fe9	1	5fbbc50a5e0bc4e1bb5ea4bbacda5ae6709eff8e286fb002fee73a4913820fe9	1	5fbbc50a5e0bc4e1bb5ea4bbacda5ae6709eff8e286fb002fee73a4913820fe9	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_18_output_0	3	int64	e77912b76d9f855562d2acb382c7f090aab4c3688ebaa7d10275fa9797edf47b	1	e77912b76d9f855562d2acb382c7f090aab4c3688ebaa7d10275fa9797edf47b	1	e77912b76d9f855562d2acb382c7f090aab4c3688ebaa7d10275fa9797edf47b	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_21_output_0	scalar	int64	3478af7d895d85fb71e1c84813ac8dce11a4fcd1be230cf3cba471ea702c8bd3	1	3478af7d895d85fb71e1c84813ac8dce11a4fcd1be230cf3cba471ea702c8bd3	1	3478af7d895d85fb71e1c84813ac8dce11a4fcd1be230cf3cba471ea702c8bd3	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_26_output_0	1	int64	d86e8112f3c4c4442126f8e9f44f16867da487f29052bf91b810457db34209a4	1	d86e8112f3c4c4442126f8e9f44f16867da487f29052bf91b810457db34209a4	1	d86e8112f3c4c4442126f8e9f44f16867da487f29052bf91b810457db34209a4	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_3_output_0	3	int64	746fdeafb73d677f17541c2d1ac440aa65a3e10139095a979887adfd7ad06692	1	746fdeafb73d677f17541c2d1ac440aa65a3e10139095a979887adfd7ad06692	1	746fdeafb73d677f17541c2d1ac440aa65a3e10139095a979887adfd7ad06692	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Constant_output_0	3	int64	e88d321451be5fdefbb9155e66e69f079850f7dce27d87dd8fe2f8814c6c461f	1	e88d321451be5fdefbb9155e66e69f079850f7dce27d87dd8fe2f8814c6c461f	1	e88d321451be5fdefbb9155e66e69f079850f7dce27d87dd8fe2f8814c6c461f	1	1
R211_PROJECT_EXACT_SPLIT_run1	/model.23/Slice_split_sizes	2	int64	fa7c63f601691b958793c6d5ebe2ec4456e1a35b2b448b4f3e55cd1f86787673	0	NA	1	fa7c63f601691b958793c6d5ebe2ec4456e1a35b2b448b4f3e55cd1f86787673	0	1
R211_PROJECT_EXACT_SPLIT_run1	onnx::Split_727	2	int64	d731970c65ad4374fd01093913f5986f330ce5e5481747b4054969954a826854	1	d731970c65ad4374fd01093913f5986f330ce5e5481747b4054969954a826854	1	d731970c65ad4374fd01093913f5986f330ce5e5481747b4054969954a826854	1	1
R211_PROJECT_EXACT_SPLIT_run1	onnx::Tile_791	3	int64	0eb23a8b18c1f68e35ed11094da2c705cbd7b7c9f8f7241f028edaf103c37452	1	0eb23a8b18c1f68e35ed11094da2c705cbd7b7c9f8f7241f028edaf103c37452	1	0eb23a8b18c1f68e35ed11094da2c705cbd7b7c9f8f7241f028edaf103c37452	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_12_output_0	1x2x8400	float32	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_13_output_0	1x2x8400	float32	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	e69fd7f31beb3c8e7690f75c4749da403440074c11f86f54fd7764633b586be8	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_14_output_0	1x8400	float32	ae76db0286c343bc0bf45396d0b553180e6edc6c4d41ade11fc1700699b552e8	1	ae76db0286c343bc0bf45396d0b553180e6edc6c4d41ade11fc1700699b552e8	1	ae76db0286c343bc0bf45396d0b553180e6edc6c4d41ade11fc1700699b552e8	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_15_output_0	1	int64	12a3ae445661ce5dee78d0650d33362dec29c4f82af05e7e57fb595bbbacf0ca	1	12a3ae445661ce5dee78d0650d33362dec29c4f82af05e7e57fb595bbbacf0ca	1	12a3ae445661ce5dee78d0650d33362dec29c4f82af05e7e57fb595bbbacf0ca	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_16_output_0	1	int64	5fbbc50a5e0bc4e1bb5ea4bbacda5ae6709eff8e286fb002fee73a4913820fe9	1	5fbbc50a5e0bc4e1bb5ea4bbacda5ae6709eff8e286fb002fee73a4913820fe9	1	5fbbc50a5e0bc4e1bb5ea4bbacda5ae6709eff8e286fb002fee73a4913820fe9	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_18_output_0	3	int64	e77912b76d9f855562d2acb382c7f090aab4c3688ebaa7d10275fa9797edf47b	1	e77912b76d9f855562d2acb382c7f090aab4c3688ebaa7d10275fa9797edf47b	1	e77912b76d9f855562d2acb382c7f090aab4c3688ebaa7d10275fa9797edf47b	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_21_output_0	scalar	int64	3478af7d895d85fb71e1c84813ac8dce11a4fcd1be230cf3cba471ea702c8bd3	1	3478af7d895d85fb71e1c84813ac8dce11a4fcd1be230cf3cba471ea702c8bd3	1	3478af7d895d85fb71e1c84813ac8dce11a4fcd1be230cf3cba471ea702c8bd3	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_26_output_0	1	int64	d86e8112f3c4c4442126f8e9f44f16867da487f29052bf91b810457db34209a4	1	d86e8112f3c4c4442126f8e9f44f16867da487f29052bf91b810457db34209a4	1	d86e8112f3c4c4442126f8e9f44f16867da487f29052bf91b810457db34209a4	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_3_output_0	3	int64	746fdeafb73d677f17541c2d1ac440aa65a3e10139095a979887adfd7ad06692	1	746fdeafb73d677f17541c2d1ac440aa65a3e10139095a979887adfd7ad06692	1	746fdeafb73d677f17541c2d1ac440aa65a3e10139095a979887adfd7ad06692	1	1
R211_VENDOR_LITERAL_SPLIT_run1b	/model.23/Constant_output_0	3	int64	e88d321451be5fdefbb9155e66e69f079850f7dce27d87dd8fe2f8814c6c461f	1	e88d321451be5fdefbb9155e66e69f079850f7dce27d87dd8fe2f8814c6c461f	1	e88d321451be5fdefbb9155e66e69f079850f7dce27d87dd8fe2f8814c6c461f	1	1
