scope	item	source_image	left_surface	left_sha256	right_surface	right_sha256	shape	dtype	mismatch_count	max_abs_difference	status
fixed-fixture	bus	/data/banana-yolo26-spacemit-demo/.deps/images/oracle/ultralytics_bus.jpg	stage64-project-exact	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	accepted-project-input	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	0	0.0	pass
fixed-fixture	zidane	/data/banana-yolo26-spacemit-demo/.deps/images/oracle/ultralytics_zidane.jpg	stage64-project-exact	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	accepted-project-input	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	0	0.0	pass
fixed-fixture	canonical	/data/banana-yolo26-spacemit-demo/.deps/images/oracle/canonical_photo.jpg	stage64-project-exact	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	accepted-project-input	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	0	0.0	pass
calibration-sample	000000000285.jpg	/data/datasets/coco_calib2K/images/000000000285.jpg	project-exact-letterbox	22aaed4bf201a0cf5dd31e47fb08d66b5e05a66e7f74a7c45eea119fceaea5f4	vendor-literal-direct-resize	b736a2705b61ddabb36b7b6bb94e37a9c03e26a94902e6e2bafa2805ade774ef	3x640x640	float32	1194855	0.996078432	different-by-defined-policy
calibration-sample	000000000776.jpg	/data/datasets/coco_calib2K/images/000000000776.jpg	project-exact-letterbox	cef3962a331c6b010a9ab9dacf3a6744fb0dc657b8ac56477ac33480ffe4c9c0	vendor-literal-direct-resize	bdb537659b89b999a222b41f71dbdfc9c6f0080a8c7d57bc06f1418df9e266a5	3x640x640	float32	1210406	0.988235295	different-by-defined-policy
calibration-sample	000000000785.jpg	/data/datasets/coco_calib2K/images/000000000785.jpg	project-exact-letterbox	393777cb27b9ab122b956eb3ef038a1d9162402f46ea216b6a4e7ae08625df75	vendor-literal-direct-resize	c67195bbcb03425ac66afa3f9823bc285183257fbb1705015c040b942224ec3e	3x640x640	float32	1191044	1	different-by-defined-policy
calibration-sample	000000000872.jpg	/data/datasets/coco_calib2K/images/000000000872.jpg	project-exact-letterbox	fc325fbbe9b5e4904fef1b7282c90f643b66bd04f435f31f0f51160863670823	vendor-literal-direct-resize	2f4317504ec6c8c890eabf8cd0f03c07880857ed06d5b0c1c82df69500cc5b76	3x640x640	float32	1148945	0.952941179	different-by-defined-policy
calibration-sample	000000001000.jpg	/data/datasets/coco_calib2K/images/000000001000.jpg	project-exact-letterbox	46d9ad64bb7ca2ff35de638c9604fc6e5a4086bb391ba3220212323cfca610ce	vendor-literal-direct-resize	105f529aa5da8d1b2dce7335082e9cca7d861226f0a6eb59ef064d023666099e	3x640x640	float32	1206501	1	different-by-defined-policy
calibration-sample	000000001296.jpg	/data/datasets/coco_calib2K/images/000000001296.jpg	project-exact-letterbox	ada14191d570fc5960eb0725a2a5e3c557d881e9a193732d146cd7b3fc50aa91	vendor-literal-direct-resize	bcad8811a0b16807dfd190c268124773c2fc9f167b0eaac71e63f7b108b66249	3x640x640	float32	1209145	1	different-by-defined-policy
calibration-sample	000000001490.jpg	/data/datasets/coco_calib2K/images/000000001490.jpg	project-exact-letterbox	d987da6b5fa47d29cef91af9998a768cb83832b9d9d29b0e5e75e600b2f5dea1	vendor-literal-direct-resize	5d333b45c949494ceb927dd760c5f97ecedaf9b31e1505ffffc48c6d8eeaa63f	3x640x640	float32	1216848	0.988235295	different-by-defined-policy
calibration-sample	000000002157.jpg	/data/datasets/coco_calib2K/images/000000002157.jpg	project-exact-letterbox	4c7ea658bec1f26dff309406a2c6889cf39d7c7d31ce6c6cfbeb0f2d2e83fa41	vendor-literal-direct-resize	772626e99f44a359659ed9a07d458b5da738faa2332af20c4a73ecb018cdcb70	3x640x640	float32	1215608	1	different-by-defined-policy
calibration-sample	000000002299.jpg	/data/datasets/coco_calib2K/images/000000002299.jpg	project-exact-letterbox	97167e7ccef8cb00ee26ca32055eda9df07256f7e83085183ddba5ad34cfd5d0	vendor-literal-direct-resize	7eae80003bd215fd0d015cab37f318021d106790d3a9b4000500bd06e999d499	3x640x640	float32	1217931	1	different-by-defined-policy
calibration-sample	000000002431.jpg	/data/datasets/coco_calib2K/images/000000002431.jpg	project-exact-letterbox	afcc941b107c22009b32271918b9374ad52c7b96d55cdda9f1e4233e0e77525a	vendor-literal-direct-resize	3dbf21b53f427021e61cf912bf5f3ed1fcc7ac51fdcf1a3050c23e23e59540db	3x640x640	float32	1199986	0.925490201	different-by-defined-policy
holdout-sample	000000000139.jpg	/data/datasets/coco2017/val2017/000000000139.jpg	project-exact-letterbox	283aa059962794ce12f4ba803f31ee77823c43ce514b4837f2abc00bf8d2ae6c	vendor-literal-direct-resize	8e76ded29fbc4e1de29f271a3d57aef9b326972fa017b57cd11adaf724e2995c	3x640x640	float32	1187239	0.866666675	different-by-defined-policy
holdout-sample	000000000632.jpg	/data/datasets/coco2017/val2017/000000000632.jpg	project-exact-letterbox	d5adcba5ea6e5f4fbe18f62d2f2e70b11cd790953f491db8f17fd88175cca463	vendor-literal-direct-resize	c131b37113364a16268db9ca53d134f033031fda3706d8a70843bca39f022920	3x640x640	float32	1203806	1	different-by-defined-policy
holdout-sample	000000000724.jpg	/data/datasets/coco2017/val2017/000000000724.jpg	project-exact-letterbox	24331f82f2f58f5721b9cb8c54f6a72ae5b316b353e15e49e8d9d6ccb8f5b2c6	vendor-literal-direct-resize	215df61f6141d81c8fdaf69213e3473a288d51d15faa0b1211430fd316cbc5d2	3x640x640	float32	1187280	1	different-by-defined-policy
holdout-sample	000000000802.jpg	/data/datasets/coco2017/val2017/000000000802.jpg	project-exact-letterbox	7bfb9fb2a70e515f5d050205720f5fdc076b6ed124cc181693caec40454a806e	vendor-literal-direct-resize	b0f4ead6bc57703c42d41d5de2b2e394275d61a09186949877d3309d2a76686a	3x640x640	float32	1187029	1	different-by-defined-policy
holdout-sample	000000000885.jpg	/data/datasets/coco2017/val2017/000000000885.jpg	project-exact-letterbox	c8d2070d8248349683f546217e6f43b29a723ad63d3477f4b99176c2da2728b1	vendor-literal-direct-resize	09e0f43342b20327eb0b04b0db3b6a2ee6a61937e11ed3f6252721b0ffc6fe52	3x640x640	float32	1139085	0.996078432	different-by-defined-policy
holdout-sample	000000001268.jpg	/data/datasets/coco2017/val2017/000000001268.jpg	project-exact-letterbox	203bcb9d863317cd5ae2f138f0de7b23ce1764f7e4f393bf3d93e8d95161866d	vendor-literal-direct-resize	4a854e6d83a736df56b32a58a23a22cefe5c87a2e5ea5ffff94f2d19e7149310	3x640x640	float32	1199732	1	different-by-defined-policy
holdout-sample	000000001353.jpg	/data/datasets/coco2017/val2017/000000001353.jpg	project-exact-letterbox	dc65760516ff341d97e8c7e122f80cd0413532e61072c09ac385715f39133c19	vendor-literal-direct-resize	d0e662c92cce3a63e916bff672dcc096e063858236fad9e99ceec72740ec872d	3x640x640	float32	1167467	0.858823538	different-by-defined-policy
holdout-sample	000000001425.jpg	/data/datasets/coco2017/val2017/000000001425.jpg	project-exact-letterbox	8a05f9489884925d485277c594e8abf9f078566552c40e3eb5876299846003bb	vendor-literal-direct-resize	92000fca9b7788309ec78e903025777183b878f01f31abb3abc654678c393acf	3x640x640	float32	1186350	0.933333337	different-by-defined-policy
holdout-sample	000000001503.jpg	/data/datasets/coco2017/val2017/000000001503.jpg	project-exact-letterbox	554bf3cb9cf9d3c5723799babda411f496e9590b260f94e43d37d134417a802a	vendor-literal-direct-resize	75dde0bb000fb740ae6afd445ca98a4e39b75dfcaa1e2993fd09b4f6d15797ad	3x640x640	float32	1189644	0.894117653	different-by-defined-policy
holdout-sample	000000001532.jpg	/data/datasets/coco2017/val2017/000000001532.jpg	project-exact-letterbox	79058c1e6493f3948eb5bf66ca7d02c1fb2c39d7aa20ddd70186337e9ec1f1c7	vendor-literal-direct-resize	9334dfb641af16128f0a06a8227d93763c34d176cac8d75cc4b393e1a999d825	3x640x640	float32	1180636	0.843137264	different-by-defined-policy
