candidate	image_index	image	surface	score_min	score_max	score_mean	positive_score_count	score_over_0_25_count	unique_class_count	collapsed
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	source-fp32	0.002553105354309082	0.897213339805603	0.038332682102918625	300	12	18	0
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	split-fp32	0.002553105354309082	0.897213339805603	0.038332682102918625	300	12	18	0
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	candidate-tail-on-fp32-boundaries	0.002553105354309082	0.897213339805603	0.038332682102918625	300	12	18	0
R211_PROJECT_EXACT_SPLIT_run1	0	000000000139.jpg	split-s8	0.0028482377529144287	0.6054585576057434	0.027958914637565613	300	9	20	0
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	source-fp32	0.006760507822036743	0.9032719731330872	0.036459535360336304	300	5	7	0
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	split-fp32	0.006760507822036743	0.9032719731330872	0.036459535360336304	300	5	7	0
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	candidate-tail-on-fp32-boundaries	0.006760507822036743	0.9032719731330872	0.036459535360336304	300	5	7	0
R211_PROJECT_EXACT_SPLIT_run1	1	000000000632.jpg	split-s8	0.005736261606216431	0.6054585576057434	0.029570627957582474	300	4	8	0
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	source-fp32	0.0001805126667022705	0.9771718978881836	0.005005388054996729	300	2	14	0
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	split-fp32	0.0001805126667022705	0.9771718978881836	0.005005388054996729	300	2	14	0
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	candidate-tail-on-fp32-boundaries	0.0001805126667022705	0.9771718978881836	0.005005388054996729	300	2	14	0
R211_PROJECT_EXACT_SPLIT_run1	2	000000000724.jpg	split-s8	0.0001716315746307373	0.6054585576057434	0.0035645843017846346	300	1	14	0
R211_PROJECT_EXACT_SPLIT_run1	3	000000000802.jpg	source-fp32	2.6911497116088867e-05	0.8175134658813477	0.0058286539278924465	300	2	28	0
R211_PROJECT_EXACT_SPLIT_run1	3	000000000802.jpg	split-fp32	2.6911497116088867e-05	0.8175134658813477	0.0058286539278924465	300	2	28	0
