model	path	sha256	bytes	ir_version	opsets	nodes	initializers	initializer_payload_sha256	inputs	outputs	functions
yolo26n_640_e2e_fp32	/data/banana-yolo26-spacemit-demo/.deps/models/yolo26/fp32_fp16_xslim_effect_matrix/yolo26n_640_e2e_fp32.onnx	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	9894717	8	ai.onnx:18	453	204	dfdd7bf9b3fb98f5b73f8d473a7e241382ca0a955c1249be44f935ec8bc2c2af	images	output0	0
c1_s8_conv_pc_explicit	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/c1_s8_conv_pc_explicit.onnx	f5a093bb4bf31cfffa174d86eed3aabd9a7bdee0ee06245ac314806873137cef	554	9	ai.onnx:18	6	7	4220cbc77921f28e00e983c8c653b9987e78338a339f630704593c432be74412	x	y	0
c2_s8_conv_pc_nonzero_zp	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/c2_s8_conv_pc_nonzero_zp.onnx	8570f1417a7247724b4d0703a4b0f13c1bb3c2ca8606f74d7d6398806d559e35	556	9	ai.onnx:18	6	7	87692461839ac52f72b1b3c4cb26c699222bb1b68586b978642991021b3dee0b	x	y	0
c3_s8_conv_pc_no_kernel	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/c3_s8_conv_pc_no_kernel.onnx	b2aac5c08e6e17510bfbd19a20df3f62227b91a291683405f76fbabebd958cb5	532	9	ai.onnx:18	6	7	4220cbc77921f28e00e983c8c653b9987e78338a339f630704593c432be74412	x	y	0
c4_u8_conv_pc_explicit	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/c4_u8_conv_pc_explicit.onnx	263f933e21b14e1aecea74d02f39da17602447aa3c7792a2f636b3bf0d3ec660	554	9	ai.onnx:18	6	7	0872f63744b607af12658aff7c3da0de65ad66962644e7be767f919ed0b556ed	x	y	0
c5_s8_conv_pt_explicit	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/c5_s8_conv_pt_explicit.onnx	ecb5978b7700e7cf1643b5e6bab9632be4229eb622270337b3dea9847c5ed9d5	532	9	ai.onnx:18	6	7	ef572455702422bcae7491e30b4080b74e3ee9a74428354fd4c5f2fd326a30f1	x	y	0
conv_reducemax_two_input_opset18	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/conv_reducemax_two_input_opset18.onnx	9ecc0cf608d2083a423bc9e9af0232355a8f72773a11c8247139ef15dc2925b6	295	9	ai.onnx:18	2	2	aae7e838df05498acebf54db4582ffc0b7f303cef89716cc959ac1ecc79adb65	x	y	0
m1_s8_matmul	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/m1_s8_matmul.onnx	29456eb55f62d5832128d65b345728f250f1cd71f7d88bc220525e0b158ea803	442	9	ai.onnx:18	6	7	57598f25611a66457d91709dba6516ebba42e9564b6426d16b03169e6ab633d5	x	y	0
m2_s8_matmul_nonzero_zp	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/m2_s8_matmul_nonzero_zp.onnx	39f4c356c7cce243682cb38f80388738219d4a21263e60a781b0a9bfae9f381b	453	9	ai.onnx:18	6	7	c5604cba959636f5bff613735914495b12c96f6bb7265214e6d0e100946b6171	x	y	0
m3_u8_matmul	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/m3_u8_matmul.onnx	3c9b9ea229b9943ecc50411b9f1762322255bfd8d218fdbfb1b5c03dde0d5dbe	442	9	ai.onnx:18	6	7	10d1cc3fcda7f9bf034c7ec04954f91da78f76f6dae4433a5ce4fdccdda91a9f	x	y	0
reducemax_attr_opset13	/data/k1x-stage-runs/BANANA-YOLO26-VENDOR-ORT-STAGE64-XSLIM211-AND-VENDOR-COMMIT-S8-QDQ-YOLO26-FULLMODEL-COCO-AND-RT206-GATE-001/models/tiny/reducemax_attr_opset13.onnx	094c0b0e6275d3b2a6f809e0e465e4432e0bd10a6f4a83353db5cd9025e11cd6	133	9	ai.onnx:13	1	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	x	y	0
