surface	metric	profiling	samples	mean_us	stddev_us	cv_pct	median_us	p95_us	p99_us	p999_us	min_us	max_us	unique_output_hashes	output_hashes
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	inference	enabled	1	3240966.579000	0.000000	0.000000	3240966.579000	3240966.579000	3240966.579000	3240966.579000	3240966.579000	3240966.579000	1	0xfea943c4edb82e04
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	tail	enabled	1	19075.202000	0.000000	0.000000	19075.202000	19075.202000	19075.202000	19075.202000	19075.202000	19075.202000	1	0xfea943c4edb82e04
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	two_stage_total	enabled	1	3260041.781000	0.000000	0.000000	3260041.781000	3260041.781000	3260041.781000	3260041.781000	3260041.781000	3260041.781000	1	0xfea943c4edb82e04
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	inference	enabled	1	117307.079000	0.000000	0.000000	117307.079000	117307.079000	117307.079000	117307.079000	117307.079000	117307.079000	1	0xe92f5d99f20ea11f
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	tail	enabled	1	18323.359000	0.000000	0.000000	18323.359000	18323.359000	18323.359000	18323.359000	18323.359000	18323.359000	1	0xe92f5d99f20ea11f
R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	two_stage_total	enabled	1	135630.438000	0.000000	0.000000	135630.438000	135630.438000	135630.438000	135630.438000	135630.438000	135630.438000	1	0xe92f5d99f20ea11f
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	inference	enabled	1	3241585.472000	0.000000	0.000000	3241585.472000	3241585.472000	3241585.472000	3241585.472000	3241585.472000	3241585.472000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	tail	enabled	1	18773.574000	0.000000	0.000000	18773.574000	18773.574000	18773.574000	18773.574000	18773.574000	18773.574000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	two_stage_total	enabled	1	3260359.046000	0.000000	0.000000	3260359.046000	3260359.046000	3260359.046000	3260359.046000	3260359.046000	3260359.046000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	inference	enabled	1	122513.064000	0.000000	0.000000	122513.064000	122513.064000	122513.064000	122513.064000	122513.064000	122513.064000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	tail	enabled	1	17970.187000	0.000000	0.000000	17970.187000	17970.187000	17970.187000	17970.187000	17970.187000	17970.187000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	two_stage_total	enabled	1	140483.251000	0.000000	0.000000	140483.251000	140483.251000	140483.251000	140483.251000	140483.251000	140483.251000	1	0x198e555969cee70e
