surface	component	samples	mean_ms	median_ms	p95_ms	p99_ms	max_ms
R211_PROJECT_EXACT_SPLIT_run1/cpu-subset100	decode	100	0.111235450	0.111460000	0.143310700	0.171780660	0.174420000
R211_PROJECT_EXACT_SPLIT_run1/cpu-subset100	preprocess	100	45.034129260	44.754109500	54.414466500	60.490382100	60.532764000
R211_PROJECT_EXACT_SPLIT_run1/cpu-subset100	inference	100	3024.674141200	3019.556407500	3053.196952400	3150.305719090	3173.038999000
R211_PROJECT_EXACT_SPLIT_run1/cpu-subset100	tail	100	15.057401430	14.914269000	15.292864200	18.936629360	19.966364000
R211_PROJECT_EXACT_SPLIT_run1/cpu-subset100	total	100	3084.876907340	3079.983408000	3116.318615150	3211.893014340	3243.585621000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	decode	5000	0.106591594	0.106230500	0.142961000	0.186714340	0.249670000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	preprocess	5000	44.192887544	44.451458500	51.864654500	56.512579400	64.268051000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	inference	5000	99.492654914	98.969698000	102.974257900	107.843243240	233.214755000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	tail	5000	14.985568517	14.955727000	15.223390150	15.911679430	21.364021000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-full5000	total	5000	158.777702568	158.863210500	167.504873050	172.437302870	302.619998000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-subset100	decode	100	0.111355630	0.110127500	0.143609600	0.150320510	0.206504000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-subset100	preprocess	100	44.159522110	44.059721500	53.717162550	59.074553820	59.487762000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-subset100	inference	100	101.734552770	100.069826000	103.177314700	106.482312590	239.270081000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-subset100	tail	100	15.095863130	14.975607000	15.335378500	18.712979260	21.505498000
R211_PROJECT_EXACT_SPLIT_run1/spacemit-subset100	total	100	161.101293640	159.418808000	169.493864650	179.169287250	310.176210000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-subset100	decode	100	0.108230980	0.107041000	0.140374650	0.153022920	0.188457000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-subset100	preprocess	100	44.984650660	44.758318000	54.360510300	60.469261080	60.533718000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-subset100	inference	100	3045.455220640	3039.865426500	3071.976458250	3124.447421530	3142.578532000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-subset100	tail	100	15.055780640	14.913474000	15.382945800	17.798817820	18.949972000
R211_VENDOR_LITERAL_SPLIT_run1b/cpu-subset100	total	100	3105.603882920	3100.678482000	3131.329247400	3188.667464250	3202.304145000
R211_VENDOR_LITERAL_SPLIT_run1b/ep-subset100-run2	decode	100	0.111715480	0.111727500	0.150042050	0.206727670	0.221248000
R211_VENDOR_LITERAL_SPLIT_run1b/ep-subset100-run2	preprocess	100	44.591229310	44.186924500	54.411039450	58.983707190	59.704545000
R211_VENDOR_LITERAL_SPLIT_run1b/ep-subset100-run2	inference	100	103.010649230	99.998531500	107.009504150	119.885103480	238.174014000
R211_VENDOR_LITERAL_SPLIT_run1b/ep-subset100-run2	tail	100	15.227582790	15.016617000	16.996755250	18.328707130	21.094780000
R211_VENDOR_LITERAL_SPLIT_run1b/ep-subset100-run2	total	100	162.941176810	160.436108000	174.813392300	182.578560320	308.445905000
