surface	metric	profiling	samples	mean_us	stddev_us	cv_pct	median_us	p95_us	p99_us	p999_us	min_us	max_us	unique_output_hashes	output_hashes
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-matched500	inference	enabled	500	3216303.360058	36909.543644	1.147577	3205531.346000	3295219.145350	3380298.831080	3494916.147402	3195410.080000	3576103.149000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-matched500	tail	enabled	500	17419.198920	2277.052460	13.072085	18939.825000	20237.415350	21078.161620	21839.453735	14528.209000	21930.389000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-matched500	two_stage_total	enabled	500	3233722.558978	37150.093677	1.148834	3223305.213500	3309925.629650	3399719.179210	3514799.448572	3210174.353000	3595389.731000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-stability1000-profiled-partial	inference	enabled	603	3219154.439977	38866.955386	1.207365	3208459.777000	3300061.135700	3380080.896840	3529822.494322	3196449.108000	3627840.218000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-stability1000-profiled-partial	tail	enabled	603	14899.903131	468.704696	3.145690	14895.500000	15310.565900	17423.428400	18570.782776	14429.155000	19411.483000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-stability1000-profiled-partial	two_stage_total	enabled	603	3234054.343108	38912.785458	1.203220	3223314.309000	3318040.456500	3395060.653020	3544835.571156	3210973.581000	3642856.716000	1	0x4db75efe897deb6a
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	inference	enabled	500	109357.871436	6131.816180	5.607110	107776.466000	115596.895650	144298.042560	147270.391336	106112.919000	148966.660000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	tail	enabled	500	14855.441358	697.667151	4.696374	14690.905500	15698.535300	18307.698340	20698.643334	14537.778000	22326.548000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	two_stage_total	enabled	500	124213.312794	6707.534257	5.400012	122468.726500	130702.184000	162601.657520	165461.295411	120849.115000	166822.024000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	inference	enabled	1000	106950.413864	1619.863600	1.514593	106477.934500	110267.223400	114840.482640	117530.828126	105112.187000	117629.855000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	tail	enabled	1000	14739.024085	237.658893	1.612447	14699.091500	14972.023150	15904.522110	16837.688879	14492.067000	17053.352000	1	0x198e555969cee70e
R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	two_stage_total	enabled	1000	121689.437949	1687.406221	1.386650	121203.032000	124997.956250	130516.512440	132842.752088	119818.343000	133532.150000	1	0x198e555969cee70e
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	inference	disabled	10000	107547.423059	1777.101780	1.652389	107052.688500	110995.977050	116339.981470	120436.429038	105829.471000	128918.943000	1	0x8cacaa525eda05d
R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	tail	disabled	10000	15019.390097	343.941290	2.289982	14944.711500	15428.837800	16850.348830	17543.301636	14662.321000	21321.492000	1	0x8cacaa525eda05d
