surface	kind	sha256	bytes	status
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-cpu	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/bus_r640_nchw_f32-spacemit	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-cpu	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/images_F0_f32-spacemit	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	frequency_after	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-cpu	frequency_before	d147a93c8a65473a4433fa57b72f28e28d8ee44323af4fdd5eba281774f5532b	65	captured
