filename	bytes	sha256
c1_s8_conv_pc_explicit.onnx	554	f5a093bb4bf31cfffa174d86eed3aabd9a7bdee0ee06245ac314806873137cef
c2_s8_conv_pc_nonzero_zp.onnx	556	8570f1417a7247724b4d0703a4b0f13c1bb3c2ca8606f74d7d6398806d559e35
c3_s8_conv_pc_no_kernel.onnx	532	b2aac5c08e6e17510bfbd19a20df3f62227b91a291683405f76fbabebd958cb5
c4_u8_conv_pc_explicit.onnx	554	263f933e21b14e1aecea74d02f39da17602447aa3c7792a2f636b3bf0d3ec660
c5_s8_conv_pt_explicit.onnx	532	ecb5978b7700e7cf1643b5e6bab9632be4229eb622270337b3dea9847c5ed9d5
conv_reducemax_two_input_opset18.onnx	295	9ecc0cf608d2083a423bc9e9af0232355a8f72773a11c8247139ef15dc2925b6
m1_s8_matmul.onnx	442	29456eb55f62d5832128d65b345728f250f1cd71f7d88bc220525e0b158ea803
m2_s8_matmul_nonzero_zp.onnx	453	39f4c356c7cce243682cb38f80388738219d4a21263e60a781b0a9bfae9f381b
m3_u8_matmul.onnx	442	3c9b9ea229b9943ecc50411b9f1762322255bfd8d218fdbfb1b5c03dde0d5dbe
reducemax_attr_opset13.onnx	133	094c0b0e6275d3b2a6f809e0e465e4432e0bd10a6f4a83353db5cd9025e11cd6
reducemax_two_input_opset18.onnx	154	ce66d2686448dc444dbbe6892f8fc624efd878122e095159a9736a0f2c66dcb3
