candidate	model	index	node_name	op_type	classification	zero_point_name	zero_point_dtype	zero_point_shape	zero_point_min	zero_point_max	zero_point_unique_count	zero_point_values
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	0	PPQ_Operation_698	QuantizeLinear	activation	PPQ_Variable_611	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	1	PPQ_Operation_700	DequantizeLinear	weight	PPQ_Variable_617	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	2	PPQ_Operation_707	DequantizeLinear	weight	PPQ_Variable_638	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	3	PPQ_Operation_714	DequantizeLinear	weight	PPQ_Variable_659	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	4	PPQ_Operation_725	DequantizeLinear	weight	PPQ_Variable_692	int8	8	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	5	PPQ_Operation_732	DequantizeLinear	weight	PPQ_Variable_713	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	6	PPQ_Operation_743	DequantizeLinear	weight	PPQ_Variable_746	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	7	PPQ_Operation_750	DequantizeLinear	weight	PPQ_Variable_767	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	8	PPQ_Operation_757	DequantizeLinear	weight	PPQ_Variable_788	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	9	PPQ_Operation_768	DequantizeLinear	weight	PPQ_Variable_821	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	10	PPQ_Operation_775	DequantizeLinear	weight	PPQ_Variable_842	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	11	PPQ_Operation_786	DequantizeLinear	weight	PPQ_Variable_875	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	12	PPQ_Operation_793	DequantizeLinear	weight	PPQ_Variable_896	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	13	PPQ_Operation_800	DequantizeLinear	weight	PPQ_Variable_917	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	14	PPQ_Operation_811	DequantizeLinear	weight	PPQ_Variable_950	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	15	PPQ_Operation_814	DequantizeLinear	weight	PPQ_Variable_959	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	16	PPQ_Operation_825	DequantizeLinear	weight	PPQ_Variable_992	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	17	PPQ_Operation_832	DequantizeLinear	weight	PPQ_Variable_1013	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	18	PPQ_Operation_841	DequantizeLinear	weight	PPQ_Variable_1040	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	19	PPQ_Operation_848	DequantizeLinear	weight	PPQ_Variable_1061	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	20	PPQ_Operation_859	DequantizeLinear	weight	PPQ_Variable_1094	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	21	PPQ_Operation_868	DequantizeLinear	weight	PPQ_Variable_1121	int8	128	0	0	1	0
