check	exit_code	raw_receipt	stdout_sha256	stderr_sha256
backup-banana	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/backup-banana/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
backup-xslim	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/backup-xslim/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
banana-tests-bound-xs	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/banana-tests-bound-xs/receipt.json	62b2bd7ce9be0463d585020204cbefbaf07452ef8d1bfe5f33d6961d6c407875	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
banana-tests-resolved	2	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/banana-tests-resolved/receipt.json	faf6ed5b68c5a8b3c473f573a9e3e9582af204f94822c5f8fd6b16072160dd6e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
banana-tooling-tests	4	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/banana-tooling-tests/receipt.json	a6fc53a5cef0fe8278c459c532a5e372bbe2dd65e4c365a7d7757a210299799f	6fabf0a8041a789b8ff4aa7f4460d09944fcad528476f4e65da076b5f3cd0ae7
baseline-api-and-authorization	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/baseline-api-and-authorization/receipt.json	aab6080df3aa69b273fce8d8e73e5e42e7f133eff7f84ef04a1642694f01055b	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
clean-build-1	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/clean-build-1/receipt.json	53469bf840e95a8175d29db66dc7f01aeab77359dcaa168391b0753d037f4594	2a8f198b0d31b7a11e04ebc5a79f33c7678aaa7abb9c22e5a388aa135a30daec
clean-build-2	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/clean-build-2/receipt.json	c2a24b43288c630fe91fb0db7fc4042f750628de3798263c01051aec54fa8307	2a8f198b0d31b7a11e04ebc5a79f33c7678aaa7abb9c22e5a388aa135a30daec
compileall	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/compileall/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
create-qa-venv	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/commands/create-qa-venv/receipt.json	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
