detail	document	status	target
	CHANGELOG.md	pass	UPSTREAM.md
	INSTALL.md	pass	requirements-certified-python312.txt
	INSTALL.md	pass	QUICKSTART.md
	INSTALL.md	pass	docs/K1X_YOLO26_COOKBOOK.md
	INSTALL.md	pass	docs/TROUBLESHOOTING.md
	QUICKSTART.md	pass	INSTALL.md
	QUICKSTART.md	pass	docs/RECONSTRUCTION_GUIDE.md
	QUICKSTART.md	pass	docs/USER_GUIDE.md
	README.md	pass	UPSTREAM.md
	README.md	pass	README.md
	README.md	pass	docs/ru/README.md
	README.md	pass	README_zh.md
	README.md	pass	INSTALL.md
	README.md	pass	INSTALL.md
	README.md	pass	docs/RECONSTRUCTION_GUIDE.md
	README.md	pass	QUICKSTART.md
	README.md	pass	docs/K1X_YOLO26_COOKBOOK.md
	README.md	pass	docs/RECONSTRUCTION_GUIDE.md
	README.md	pass	docs/MAINTENANCE_ERRATA.md
	README.md	pass	INSTALL.md
	README.md	pass	QUICKSTART.md
	README.md	pass	docs/USER_GUIDE.md
	README.md	pass	docs/CONFIG_REFERENCE.md
	README.md	pass	docs/ACCURACY_TUNING.md
	README.md	pass	docs/K1X_SPACEMIT_S8_QDQ_PROFILE.md
	README.md	pass	docs/K1X_YOLO26_COOKBOOK.md
	README.md	pass	docs/VALIDATION_TOOLS.md
	README.md	pass	docs/TROUBLESHOOTING.md
	README.md	pass	docs/LIMITATIONS.md
	README.md	pass	docs/RELEASE_AND_PROVENANCE.md
	README.md	pass	MODIFICATIONS.md
	README.md	pass	THIRD_PARTY_NOTICES.md
	README.md	pass	SUPPORT.md
	README.md	pass	SECURITY.md
	README_zh.md	pass	UPSTREAM.md
	README_zh.md	pass	MODIFICATIONS.md
	README_zh.md	pass	README.md
	README_zh.md	pass	docs/MAINTENANCE_ERRATA.md
	README_zh.md	pass	LICENSE
	README_zh.md	pass	INSTALL.md
	README_zh.md	not-checked-external	https://www.spacemit.com
	README_zh.md	pass	#%E7%89%B9%E6%80%A7
	README_zh.md	pass	#%E5%AE%89%E8%A3%85
	README_zh.md	pass	#%E5%BF%AB%E9%80%9F%E5%BC%80%E5%A7%8B
	README_zh.md	pass	#%E6%96%87%E6%A1%A3
	README_zh.md	pass	#%E7%A4%BA%E4%BE%8B
	README_zh.md	pass	#%E6%9B%B4%E6%96%B0%E6%97%A5%E5%BF%97
	README_zh.md	pass	#%E5%8F%82%E4%B8%8E%E8%B4%A1%E7%8C%AE
	README_zh.md	pass	#%E8%AE%B8%E5%8F%AF%E8%AF%81
	README_zh.md	pass	INSTALL.md
	README_zh.md	pass	docs/RECONSTRUCTION_GUIDE.md
	README_zh.md	pass	docs/K1X_YOLO26_COOKBOOK.md
	README_zh.md	pass	samples/k1x_yolo26_split/README.md
	README_zh.md	pass	doc/configuration_zh.md
	README_zh.md	pass	doc/examples_zh.md
	README_zh.md	pass	doc/accuracy_tuning_zh.md
	README_zh.md	pass	samples/k1x_yolo26_split/README.md
	README_zh.md	pass	samples/
	README_zh.md	not-checked-external	https://github.com/RISCY-SVT/xslim/releases
	README_zh.md	not-checked-external	https://github.com/spacemit-com/xslim/releases
	README_zh.md	not-checked-external	https://github.com/RISCY-SVT/xslim/issues
	README_zh.md	not-checked-external	https://github.com/spacemit-com/xslim
	README_zh.md	pass	LICENSE
	RELEASE_NOTES.md	pass	docs/MAINTENANCE_ERRATA.md
	RELEASE_NOTES.md	not-checked-external	https://github.com/spacemit-com/xslim
	THIRD_PARTY_NOTICES.md	not-checked-external	https://github.com/OpenPPL/ppq
	UPSTREAM.md	not-checked-external	https://github.com/spacemit-com/xslim
	UPSTREAM.md	pass	MODIFICATIONS.md
	UPSTREAM.md	pass	CHANGELOG.md
	doc/README.md	pass	README_zh.md
	doc/README.md	pass	configuration.md
	doc/README.md	pass	examples.md
	doc/README.md	pass	accuracy_tuning.md
	doc/README.md	pass	../README.md
	doc/README_zh.md	pass	README.md
	doc/README_zh.md	pass	configuration_zh.md
	doc/README_zh.md	pass	examples_zh.md
	doc/README_zh.md	pass	accuracy_tuning_zh.md
	doc/README_zh.md	pass	../README_zh.md
	doc/accuracy_tuning.md	pass	accuracy_tuning_zh.md
	doc/accuracy_tuning.md	pass	#1-choosing-a-quantization-strategy
	doc/accuracy_tuning.md	pass	#2-tuning-workflow-overview
	doc/accuracy_tuning.md	pass	#3-step-1-check-input-preprocessing
	doc/accuracy_tuning.md	pass	#4-step-2-calibration-dataset-size
	doc/accuracy_tuning.md	pass	#5-step-3-adjust-precision_level-and-finetune_level
	doc/accuracy_tuning.md	pass	#6-step-4-read-the-graphwise-analysis-report
	doc/accuracy_tuning.md	pass	#7-step-5-targeted-tuning-based-on-analysis-results
	doc/accuracy_tuning.md	pass	#8-quick-reference
	doc/accuracy_tuning.md	pass	configuration.md#custom-preprocessing
	doc/accuracy_tuning.md	pass	#method-6-split-yolo-post-processing-with-truncate_var_names
	doc/accuracy_tuning.md	not-checked-external	https://netron.app
	doc/accuracy_tuning.md	not-checked-external	https://github.com/ultralytics/ultralytics
	doc/accuracy_tuning.md	pass	configuration.md
	doc/accuracy_tuning.md	pass	examples.md
	doc/accuracy_tuning_zh.md	pass	accuracy_tuning.md
	doc/accuracy_tuning_zh.md	pass	#1-%E9%87%8F%E5%8C%96%E6%96%B9%E6%A1%88%E9%80%89%E6%8B%A9
	doc/accuracy_tuning_zh.md	pass	#2-%E8%B0%83%E4%BC%98%E6%B5%81%E7%A8%8B%E6%A6%82%E8%A7%88
	doc/accuracy_tuning_zh.md	pass	#3-%E7%AC%AC%E4%B8%80%E6%AD%A5%E6%A3%80%E6%9F%A5%E8%BE%93%E5%85%A5%E9%A2%84%E5%A4%84%E7%90%86
	doc/accuracy_tuning_zh.md	pass	#4-%E7%AC%AC%E4%BA%8C%E6%AD%A5%E8%B0%83%E6%95%B4%E6%A0%A1%E5%87%86%E6%95%B0%E6%8D%AE%E9%9B%86%E6%95%B0%E9%87%8F
	doc/accuracy_tuning_zh.md	pass	#5-%E7%AC%AC%E4%B8%89%E6%AD%A5%E8%B0%83%E6%95%B4-precision_level-%E4%B8%8E-finetune_level
	doc/accuracy_tuning_zh.md	pass	#6-%E7%AC%AC%E5%9B%9B%E6%AD%A5%E8%A7%A3%E8%AF%BB-graphwise-analysis-%E6%8A%A5%E5%91%8A
	doc/accuracy_tuning_zh.md	pass	#7-%E7%AC%AC%E4%BA%94%E6%AD%A5%E5%9F%BA%E4%BA%8E%E5%88%86%E6%9E%90%E7%BB%93%E6%9E%9C%E8%BF%9B%E8%A1%8C%E5%AE%9A%E5%90%91%E8%B0%83%E4%BC%98
	doc/accuracy_tuning_zh.md	pass	#8-%E5%B8%B8%E8%A7%81%E9%97%AE%E9%A2%98%E4%B8%8E%E9%80%9F%E6%9F%A5%E8%A1%A8
	doc/accuracy_tuning_zh.md	pass	configuration_zh.md#%E8%87%AA%E5%AE%9A%E4%B9%89%E9%A2%84%E5%A4%84%E7%90%86
	doc/accuracy_tuning_zh.md	pass	#%E6%96%B9%E6%B3%95%E5%85%AD%E4%BD%BF%E7%94%A8-truncate_var_names-%E6%88%AA%E6%96%AD-yolo-%E5%90%8E%E5%A4%84%E7%90%86
	doc/accuracy_tuning_zh.md	not-checked-external	https://netron.app
	doc/accuracy_tuning_zh.md	not-checked-external	https://github.com/ultralytics/ultralytics
	doc/accuracy_tuning_zh.md	pass	configuration_zh.md
	doc/accuracy_tuning_zh.md	pass	examples_zh.md
	doc/configuration.md	pass	configuration_zh.md
	doc/configuration.md	pass	#custom-preprocessing
	doc/configuration_zh.md	pass	configuration.md
	doc/configuration_zh.md	pass	#%E8%87%AA%E5%AE%9A%E4%B9%89%E9%A2%84%E5%A4%84%E7%90%86
	doc/examples.md	pass	examples_zh.md
	doc/examples.md	pass	../samples/
	doc/examples.md	not-checked-external	https://netron.app
	doc/examples.md	not-checked-external	https://netron.app
	doc/examples.md	not-checked-external	https://netron.app
	doc/examples_zh.md	pass	examples.md
	doc/examples_zh.md	pass	../samples/
	doc/examples_zh.md	not-checked-external	https://netron.app
	doc/examples_zh.md	not-checked-external	https://netron.app
	doc/examples_zh.md	not-checked-external	https://netron.app
	docs/CONFIG_REFERENCE.md	pass	../doc/configuration.md
	docs/K1X_YOLO26_COOKBOOK.md	pass	../INSTALL.md
	docs/K1X_YOLO26_COOKBOOK.md	pass	../samples/k1x_yolo26_split/preprocess.py
	docs/LIMITATIONS.md	pass	../INSTALL.md
	docs/LIMITATIONS.md	pass	MAINTENANCE_ERRATA.md
	docs/MAINTENANCE_ERRATA.md	pass	RECONSTRUCTION_GUIDE.md
	docs/MAINTENANCE_ERRATA.md	pass	../INSTALL.md
	docs/MAINTENANCE_ERRATA.md	pass	K1X_YOLO26_COOKBOOK.md
	docs/RECONSTRUCTION_GUIDE.md	pass	../INSTALL.md
	docs/RECONSTRUCTION_GUIDE.md	pass	../samples/reconstruction_minimal.py
	docs/RECONSTRUCTION_GUIDE.md	pass	MAINTENANCE_ERRATA.md
	docs/RELEASE_AND_PROVENANCE.md	pass	../INSTALL.md
	docs/RELEASE_AND_PROVENANCE.md	pass	../UPSTREAM.md
	docs/RELEASE_AND_PROVENANCE.md	pass	../MODIFICATIONS.md
	docs/RELEASE_AND_PROVENANCE.md	pass	../INSTALL.md
	docs/TROUBLESHOOTING.md	pass	../INSTALL.md
	docs/TROUBLESHOOTING.md	pass	RECONSTRUCTION_GUIDE.md
	docs/USER_GUIDE.md	pass	../QUICKSTART.md
	docs/USER_GUIDE.md	pass	CONFIG_REFERENCE.md
	docs/VALIDATION_TOOLS.md	pass	MAINTENANCE_ERRATA.md
	docs/ru/K1X_YOLO26_COOKBOOK.md	pass	../../INSTALL.md
	docs/ru/K1X_YOLO26_COOKBOOK.md	pass	../K1X_YOLO26_COOKBOOK.md
	docs/ru/QUICKSTART.md	pass	../../INSTALL.md
	docs/ru/QUICKSTART.md	pass	../RECONSTRUCTION_GUIDE.md
	docs/ru/README.md	pass	../../INSTALL.md
	docs/ru/README.md	pass	QUICKSTART.md
	docs/ru/README.md	pass	../RECONSTRUCTION_GUIDE.md
	docs/ru/README.md	pass	K1X_YOLO26_COOKBOOK.md
	docs/ru/README.md	pass	../MAINTENANCE_ERRATA.md
	docs/ru/README.md	pass	QUICKSTART.md
	docs/ru/README.md	pass	K1X_YOLO26_COOKBOOK.md
	docs/ru/README.md	pass	TROUBLESHOOTING.md
	docs/ru/README.md	pass	../USER_GUIDE.md
	docs/ru/README.md	pass	../CONFIG_REFERENCE.md
	docs/ru/README.md	pass	../LIMITATIONS.md
	docs/ru/README.md	pass	../RELEASE_AND_PROVENANCE.md
	docs/ru/TROUBLESHOOTING.md	pass	../../INSTALL.md
	docs/ru/TROUBLESHOOTING.md	pass	../RECONSTRUCTION_GUIDE.md
	docs/ru/TROUBLESHOOTING.md	pass	../MAINTENANCE_ERRATA.md
	samples/README.md	pass	README_zh.md
	samples/README_zh.md	pass	README.md
