check	exit_code	expected	raw_receipt	stdout_sha256	stderr_sha256
resolver-reject-3.11.13	1	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/resolver-reject-3.11.13/receipt.json	b4886e3e7fa6a541d581c7bcdceb64a5ae27bdcdf8d284c5819d5f31ce62a4cf	2d3aa007050ec36b09a28a5cc42ef0a35f377ee579c822af69f4d58f9a78d8b1
resolver-reject-3.12.2	1	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/resolver-reject-3.12.2/receipt.json	b4886e3e7fa6a541d581c7bcdceb64a5ae27bdcdf8d284c5819d5f31ce62a4cf	d59e4fa3a4d6e1911bc79e23661ced972fdc6deb4f27515091952f3da7ca4fdb
resolver-reject-3.13.0	1	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/resolver-reject-3.13.0/receipt.json	b4886e3e7fa6a541d581c7bcdceb64a5ae27bdcdf8d284c5819d5f31ce62a4cf	b1b1cbf34158a6cd23d288e8fd001aa49ebfac04cf1e6a0d643fa2fb007900bd
resolver-reject-3.9.23	1	1	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/resolver-reject-3.9.23/receipt.json	b4886e3e7fa6a541d581c7bcdceb64a5ae27bdcdf8d284c5819d5f31ce62a4cf	d708a76c957d0525badd1e6be5b960314e037f6b8828d12beac8ce7fe9193561
sdist-config-api-placeholder-adapter	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-config-api-placeholder-adapter/receipt.json	9bda91465949b04dc0986374ab30f494ae6c7a3b94ba990c9e53909aade335a1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-example	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-example/receipt.json	41ee7a9de8140ecc3e0f1a528a88a69213417d6defefca04e5d28902eaaa1df5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-help-xslim	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-help-xslim/receipt.json	e5ac253a49cd1d3a48cf5330c78efbe020e13349fb042b78244dba87da5f7f13	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-help-xslim-qdq-boundary-audit	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-help-xslim-qdq-boundary-audit/receipt.json	af1deb4566e6a44ffa465859fbc625309432d501da3f4c8089bcaa262b181980	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-help-xslim-spacemit-profile-check	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-help-xslim-spacemit-profile-check/receipt.json	2669fbbfe80cc70f1f35884e7ddcb2a7ea0f158c44dd54caa3dce3d5561beb8c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-help-xslim-yolo-output-check	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-help-xslim-yolo-output-check/receipt.json	a46667100b06b0c81ca5758b829da392ecf4c00811d4595fe68ec79a920cb748	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-import	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-import/receipt.json	e88097b9172d722d665ae442d930d2c7d2ce850598baa69d4869fbe43c36f041	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sdist-install	0	0	/data/k1x-stage-runs/BANANA-YOLO26-XSLIM-MAINT-001-D1-D3-REPOSITORY-DOCUMENTATION-FREEZE-AND-HANDOFF-001/package-checks/sdist-install/receipt.json	a3df0c6d450eed276f97b03b9c3a4aa8e9fb19fc0b080aae5156afa8a2cf0504	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
