scope	name	bytes	sha256_1	sha256_2	byte_identical
assets	SHA256SUMS	588	bfc5727701143805206a6e083a715bc9e2a035bf8de6d69dd967de90fb565b8c	bfc5727701143805206a6e083a715bc9e2a035bf8de6d69dd967de90fb565b8c	True
assets	SHA512SUMS	972	2a56c2ad072a87550fc418c9ab0988a979fe4595ff47d918c1ec9f7579d47f97	2a56c2ad072a87550fc418c9ab0988a979fe4595ff47d918c1ec9f7579d47f97	True
assets	release-manifest.json	1481	15182fae8254173cd3db4c5a1fd8b8a290e76ea10bf3308baf3d6172e5afc19d	15182fae8254173cd3db4c5a1fd8b8a290e76ea10bf3308baf3d6172e5afc19d	True
assets	xslim-2.1.2+riscy.2.1-docs.tar.gz	75277	bbabe7fe858553683f7aa1bbdd3bb71d06c391ed36431d21c41a7e7afd9eb210	bbabe7fe858553683f7aa1bbdd3bb71d06c391ed36431d21c41a7e7afd9eb210	True
assets	xslim-2.1.2+riscy.2.1-py3-none-any.whl	366677	516ba0feda50c72e33c5632d38617bb5c3f5782e66f0d5732904e72aa1c8fe9b	516ba0feda50c72e33c5632d38617bb5c3f5782e66f0d5732904e72aa1c8fe9b	True
assets	xslim-2.1.2+riscy.2.1-source.tar.gz	440355	e5be63a745f8f34f57a9fec94fc3ccfcfeba1550ba372ae5dfeaaffc24627d1b	e5be63a745f8f34f57a9fec94fc3ccfcfeba1550ba372ae5dfeaaffc24627d1b	True
assets	xslim-2.1.2+riscy.2.1.spdx.json	145265	d07cb5459353f73a1cf6dee5753085976e301b671263b257f1543a81082e0ec7	d07cb5459353f73a1cf6dee5753085976e301b671263b257f1543a81082e0ec7	True
assets	xslim-2.1.2+riscy.2.1.tar.gz	409820	02b1dc767715af98053ec31df87021ea6ccc3ff504e4ff60b3894e4e32b3097f	02b1dc767715af98053ec31df87021ea6ccc3ff504e4ff60b3894e4e32b3097f	True
native-backend-bytes	xslim-2.1.2+riscy.2.1-py3-none-any.whl	366677	516ba0feda50c72e33c5632d38617bb5c3f5782e66f0d5732904e72aa1c8fe9b	516ba0feda50c72e33c5632d38617bb5c3f5782e66f0d5732904e72aa1c8fe9b	True
native-backend-bytes	xslim-2.1.2+riscy.2.1.tar.gz	420624	a4b1a94082cc1cfde33c38601f59daeae994a19311855fddd2a8e5a0407836bd	f9cea17d0df8df9d3bad18468aa9efa2f1978a9917cca9bd7e51fb02df392113	False
