item	identity_or_value	status
banana_stage64_head	5fe118d30fc501f8444298d2544b8e9c6f8d24e2	pass
fp32_model_sha256	d71286588abe691ede49faa5ca9a471b7e9e5257669953ee59abbc2e9d115fc2	pass
selected_s8_model_sha256	29e08be834afb8925ca02af69d9a25df05449e9367ef3d8dd8ca4d57cf59a4fb	pass
split_inference_sha256	ac855266d6ecaf092748692c10dd26548d0fa6c449d48bb7cc2b988257412d6c	pass
fp32_tail_sha256	18ffff41e6812fa781baf7b9c1fcd41b41d6118145d785c3e550499070a512a3	pass
stage64_calibration_source	2015-image-subset-of-COCO-val2017	imported-control-not-independent
stage64_s8_cpu_map50_95	0.35876850879267863	imported-control
stage64_s8_cpu_prediction_sha256	6162fc26a654f19e21a7ba65f064ab1c3f651a318453944e25026f2e75ae3a00	imported-control
stage64_fp32_cpu_map50_95	0.40473065112282053	imported-control
stage64_fp32_prediction_sha256	e8c97ebf44727670cdc44c3fa5ce50df6748e849dd4211b9367db92b5da96c1a	imported-control
