lane	aliases	filename	expected_jpeg_sha256	observed_jpeg_sha256	expected_tensor_sha256	observed_tensor_sha256	tensor_shape	tensor_dtype	status
B1	F0,bus	ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	pass
B1	Zidane	ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	pass
B1	canonical-project-image	canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	pass
B2	F0,bus	ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	pass
B2	Zidane	ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	pass
B2	canonical-project-image	canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	pass
B3	F0,bus	ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	pass
B3	Zidane	ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	pass
B3	canonical-project-image	canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	pass
B4	F0,bus	ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	pass
B4	Zidane	ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	pass
B4	canonical-project-image	canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	pass
B5	F0,bus	ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	pass
B5	Zidane	ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	pass
B5	canonical-project-image	canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	pass
B6	F0,bus	ultralytics_bus.jpg	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	c02019c4979c191eb739ddd944445ef408dad5679acab6fd520ef9d434bfbc63	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	64d11ef4c1e470282a385f7d293607b639da2f40405c92238897253dd1e23f14	3x640x640	float32	pass
B6	Zidane	ultralytics_zidane.jpg	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	16d73869e3267a7d4ed00de8e860833bd1657c1b252e94c0c348277adc7b6edb	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	a6c0d7d9e5403eec51446a5a61daa1e93bb746bc3692e8b743b41ed271812c48	3x640x640	float32	pass
B6	canonical-project-image	canonical_photo.jpg	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	4af1d821413a058744a01a9d2b20d91afa705afb9a8b98010d8f1193bd907639	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	db87cbf5e3f43ee122f2617d08c7921f4f660dab9533470642e42a14985ba4ed	3x640x640	float32	pass
