fixture_scope	candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
fixed-F0-bus-Zidane-canonical	B1	0	ultralytics_bus.jpg	source-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B1	0	ultralytics_bus.jpg	split-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	191.249256	7.208754	198.45801
fixed-F0-bus-Zidane-canonical	B1	0	ultralytics_bus.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	4.827866	nan
fixed-F0-bus-Zidane-canonical	B1	0	ultralytics_bus.jpg	split-s8	1x300x6	float32	e58851c038c32b20b21e5710990cd4138ff8036d908ff46ad4766190b52e6c07	0	-0.25627994537353516	562.6439208984375	185.99362182617188	172.22903442382812	103	1697	8	1689	267.298654	6.807685	274.106339
fixed-F0-bus-Zidane-canonical	B1	1	ultralytics_zidane.jpg	source-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B1	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	179.036502	4.289542	183.32604400000002
fixed-F0-bus-Zidane-canonical	B1	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.31697	nan
fixed-F0-bus-Zidane-canonical	B1	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	7db3eea1a7459a5cee5384b6938a14a8970c783f7bfd87b3eaec4029a54efdcc	0	-0.25627994537353516	641.1554565429688	260.14031982421875	203.00120544433594	81	1719	5	1714	244.793965	3.341783	248.13574799999998
fixed-F0-bus-Zidane-canonical	B1	2	canonical_photo.jpg	source-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B1	2	canonical_photo.jpg	split-fp32	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	173.869941	3.809686	177.679627
fixed-F0-bus-Zidane-canonical	B1	2	canonical_photo.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c36d3e7464e2460b462d0946549f60cb5b24ed7ec4523a1c25fb2c89f4a169a1	0	-4.3623809814453125	659.3551025390625	215.67416381835938	194.0047149658203	66	1734	7	1727	nan	3.29706	nan
fixed-F0-bus-Zidane-canonical	B1	2	canonical_photo.jpg	split-s8	1x300x6	float32	ae04bf67f9cd669a8ec02c7e9d9e78226ead5d4cdacd84b0bb8c7228220667d3	0	-9.25384521484375	662.1204223632812	213.21469116210938	194.55838012695312	80	1720	12	1708	247.126398	3.743746	250.87014399999998
fixed-F0-bus-Zidane-canonical	B2	0	ultralytics_bus.jpg	source-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B2	0	ultralytics_bus.jpg	split-fp32	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	194.324216	6.999626	201.323842
fixed-F0-bus-Zidane-canonical	B2	0	ultralytics_bus.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	14cea0b6633a3ec63b0a08cde8ee43d704c437eacca15abf4c38592c78c1d8f1	0	-0.5248260498046875	561.1331787109375	187.05418395996094	171.6629638671875	95	1705	8	1697	nan	4.610791	nan
fixed-F0-bus-Zidane-canonical	B2	0	ultralytics_bus.jpg	split-s8	1x300x6	float32	df49a01e1758b52cc2edb3727cd1b10eae415a95c80f2a205f99a7cfe96beb63	0	-0.25627994537353516	561.0819091796875	184.6682586669922	166.45565795898438	82	1718	4	1714	266.983516	5.788519	272.772035
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	source-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	nan	nan
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	split-fp32	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	178.612884	4.378903	182.99178700000002
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	e9da430db72b978621075ae9fe79b9e4568b4e23a95798e50810fa2847290d46	0	-0.07052803039550781	639.9448852539062	257.6720275878906	201.6793212890625	72	1728	9	1719	nan	3.270914	nan
fixed-F0-bus-Zidane-canonical	B2	1	ultralytics_zidane.jpg	split-s8	1x300x6	float32	c5b79d60e6a1968a54be4adc83942629aed712ba68e97b30a01354c833d8ed28	0	-1.1554698944091797	639.9432373046875	263.26702880859375	201.97189331054688	64	1736	7	1729	248.536529	3.578027	252.114556
