surface	category_id	class_name	instances	ap50_95	ap50	ar_100
B0	1	person	10777	0.47372925877849925	0.7217062796284205	0.6548111719402431
B0	2	bicycle	314	0.2345611833688589	0.4364739937472011	0.4627388535031847
B0	3	car	1918	0.3327665792535962	0.5369395651236252	0.5666319082377478
B0	4	motorcycle	367	0.37213731567782216	0.6038676987217435	0.6108991825613079
B0	5	airplane	143	0.6278587871063948	0.8101722218112819	0.806993006993007
B0	6	bus	283	0.5859542941183319	0.7056560625651928	0.7734982332155477
B0	7	train	190	0.6307354415568278	0.8523228637030551	0.8052631578947368
B0	8	truck	414	0.2797839346680129	0.4150611813118667	0.6896135265700484
B0	9	boat	424	0.18799420280079499	0.3704507566515518	0.4709905660377359
B0	10	traffic light	634	0.19571118822367356	0.39995461747642586	0.42523659305993694
B0	11	fire hydrant	101	0.6088347660309853	0.8097418808576782	0.7217821782178218
B0	13	stop sign	75	0.5704056334246569	0.6402483173332766	0.6973333333333334
B0	14	parking meter	60	0.42989382296024237	0.5729128954250645	0.6100000000000001
B0	15	bench	411	0.17508074874311766	0.27129766611824363	0.46423357664233567
B0	16	bird	427	0.28284403379756234	0.460405164805495	0.44824355971896956
B0	17	cat	202	0.6295816311772381	0.8256777055752923	0.8237623762376238
B0	18	dog	218	0.545405835952726	0.6954598705707461	0.7972477064220184
B0	19	horse	272	0.5259792440365023	0.7206181670128092	0.7209558823529412
B0	20	sheep	354	0.4471902079583911	0.6690959612025539	0.6788135593220339
B0	21	cow	372	0.4887939482536962	0.7152150217710533	0.7008064516129033
B0	22	elephant	252	0.6030707243980753	0.8263470878909818	0.8194444444444444
B0	23	bear	71	0.7031490202271465	0.882492570718741	0.8633802816901408
B0	24	zebra	266	0.6172671293129148	0.8518782617179126	0.7932330827067668
B0	25	giraffe	232	0.638786828299123	0.8394494103777536	0.803448275862069
B0	27	backpack	371	0.09331716084278771	0.17254788895472736	0.3921832884097035
B0	28	umbrella	407	0.345861689788988	0.5184845796207671	0.5899262899262898
B0	31	handbag	540	0.0883724769453474	0.1702567363455087	0.3825925925925926
B0	32	tie	252	0.2666178633973093	0.4293500721019914	0.42658730158730157
B0	33	suitcase	299	0.35092946456496366	0.5128696516352594	0.6100334448160536
B0	34	frisbee	115	0.558420370080878	0.743592581636916	0.7139130434782608
B0	35	skis	241	0.1691935511666963	0.3204565819101058	0.4572614107883818
B0	36	snowboard	69	0.26970221791801463	0.36620812839987016	0.5420289855072464
B0	37	sports ball	260	0.3400498486809692	0.5156808689302763	0.475
B0	38	kite	327	0.393994878954222	0.6091933731003196	0.6266055045871559
B0	39	baseball bat	145	0.22743803247905664	0.42288706879868954	0.4896551724137931
B0	40	baseball glove	148	0.3111026545587406	0.5210897808335803	0.5087837837837839
B0	41	skateboard	179	0.42202426846294816	0.6426464510521248	0.6106145251396649
B0	42	surfboard	267	0.2883045425141878	0.4747542796884778	0.5288389513108613
B0	43	tennis racket	225	0.39204045380716396	0.6280639913715441	0.6137777777777779
B0	44	bottle	1013	0.2940775255945439	0.4517569424463717	0.5426456071076011
B0	46	wine glass	341	0.26946039981742254	0.4199872133283733	0.46715542521994136
B0	47	cup	895	0.32557076959884523	0.4680306342148287	0.6072625698324022
B0	48	fork	215	0.24017779212590645	0.35337588067673853	0.49953488372093025
B0	49	knife	325	0.12136982493533972	0.1974741615465287	0.37661538461538463
B0	50	spoon	253	0.08503301508178251	0.13624796199294217	0.36996047430830037
B0	51	bowl	623	0.34990639979344385	0.4788810637902263	0.6611556982343499
B0	52	banana	370	0.23397514492476718	0.3850472296801121	0.5048648648648648
B0	53	apple	236	0.14242811859136448	0.19629934186514783	0.48559322033898306
B0	54	sandwich	177	0.34930489596510017	0.47172547782848795	0.6700564971751412
B0	55	orange	285	0.255066151332796	0.3202085158359774	0.5698245614035088
B0	56	broccoli	312	0.18850807809894152	0.3458920076868013	0.5496794871794872
B0	57	carrot	365	0.19060585843646347	0.30793849037869503	0.5032876712328767
B0	58	hot dog	125	0.3285954460743051	0.4759750885512147	0.5840000000000001
B0	59	pizza	284	0.4855769707883747	0.6429643957938754	0.6940140845070422
B0	60	donut	328	0.4339547656050512	0.5743474146323626	0.6646341463414633
B0	61	cake	310	0.32336256231877464	0.4939861168960193	0.6206451612903225
B0	62	chair	1771	0.23418424696593745	0.3827845633534036	0.5317899491812536
B0	63	couch	261	0.41293198631092	0.5738188749806065	0.7862068965517242
B0	64	potted plant	342	0.2024571776571251	0.3364333717822342	0.5289473684210526
B0	65	bed	163	0.43052676164030756	0.5980348164469832	0.7668711656441718
B0	67	dining table	695	0.27407803725286217	0.3928246708846083	0.6322302158273381
B0	70	toilet	179	0.5936722509493275	0.7564115024814504	0.8273743016759777
B0	72	tv	288	0.5184609627948584	0.6864789359931682	0.7229166666666667
B0	73	laptop	231	0.546920771919392	0.6856910415611918	0.7385281385281386
B0	74	mouse	106	0.5033540854441437	0.6821112449047346	0.6877358490566038
B0	75	remote	283	0.1827299668703124	0.3258951742136441	0.49717314487632513
B0	76	keyboard	153	0.4875390824987775	0.6410383374233436	0.6830065359477124
B0	77	cell phone	262	0.26952290779666405	0.418866220641941	0.5393129770992368
B0	78	microwave	55	0.4955380965208287	0.6170387661340481	0.7745454545454546
B0	79	oven	143	0.31839114028822013	0.477452765769529	0.6496503496503496
B0	80	toaster	9	0.2433777993913827	0.4198255969955483	0.611111111111111
B0	81	sink	225	0.3203845393001795	0.4942354462333769	0.6088888888888888
B0	82	refrigerator	126	0.5690502412529005	0.6935343603930126	0.780952380952381
B0	84	book	1129	0.11132205865807783	0.2363774895543408	0.3937112488928255
B0	85	clock	267	0.46099016582457	0.6674361866277998	0.6348314606741574
B0	86	vase	274	0.31783998021769866	0.4552793449622738	0.5908759124087591
B0	87	scissors	36	0.2961670053092841	0.35922894065597255	0.44166666666666676
B0	88	teddy bear	190	0.43004529220806514	0.6169165334394617	0.6910526315789475
B0	89	hair drier	11	0.001331085309297475	0.002152389151958674	0.08181818181818182
B0	90	toothbrush	57	0.15880610766247227	0.21257279591048442	0.4491228070175438
FP32	1	person		0.5288862571602383		NA
FP32	2	bicycle		0.2777970311679582		NA
FP32	3	car		0.37124992065537304		NA
FP32	4	motorcycle		0.4283678111486181		NA
FP32	5	airplane		0.7082480816920382		NA
FP32	6	bus		0.6461166484089788		NA
FP32	7	train		0.6976452264585116		NA
FP32	8	truck		0.3355402084149773		NA
FP32	9	boat		0.23987032536958958		NA
FP32	10	traffic light		0.22740306610307548		NA
FP32	11	fire hydrant		0.6315134818672741		NA
FP32	13	stop sign		0.6354959587343368		NA
FP32	14	parking meter		0.47521345117546065		NA
FP32	15	bench		0.22292320780709443		NA
FP32	16	bird		0.3149674379138968		NA
FP32	17	cat		0.7177246496145737		NA
FP32	18	dog		0.6477032916785467		NA
FP32	19	horse		0.5701985044611524		NA
FP32	20	sheep		0.5016884945477753		NA
FP32	21	cow		0.5444587270377192		NA
FP32	22	elephant		0.6691226927270408		NA
FP32	23	bear		0.7406037082452842		NA
FP32	24	zebra		0.6784095566727084		NA
FP32	25	giraffe		0.6962165413627902		NA
FP32	27	backpack		0.10825938713371698		NA
FP32	28	umbrella		0.3895608121403994		NA
FP32	31	handbag		0.09869301804757885		NA
FP32	32	tie		0.30315636893835607		NA
FP32	33	suitcase		0.4229673092007457		NA
FP32	34	frisbee		0.6018152521115118		NA
FP32	35	skis		0.20039890958634415		NA
FP32	36	snowboard		0.3057380360145787		NA
FP32	37	sports ball		0.3741029844241498		NA
FP32	38	kite		0.4535686480087269		NA
FP32	39	baseball bat		0.2712430738419426		NA
FP32	40	baseball glove		0.3386502108798522		NA
FP32	41	skateboard		0.4861579491062977		NA
FP32	42	surfboard		0.34854920124994987		NA
FP32	43	tennis racket		0.43694274318397786		NA
FP32	44	bottle		0.3247067677735762		NA
FP32	46	wine glass		0.28452675495975294		NA
FP32	47	cup		0.36345688179172614		NA
FP32	48	fork		0.27932371279217477		NA
FP32	49	knife		0.13621249382459827		NA
FP32	50	spoon		0.12170421850226307		NA
FP32	51	bowl		0.40382519859686233		NA
FP32	52	banana		0.2669274136433877		NA
FP32	53	apple		0.1709511990513934		NA
FP32	54	sandwich		0.36031780104354927		NA
FP32	55	orange		0.3007486336958633		NA
FP32	56	broccoli		0.2343492520152431		NA
FP32	57	carrot		0.21449777576392026		NA
FP32	58	hot dog		0.37568099086946743		NA
FP32	59	pizza		0.5150262180103395		NA
FP32	60	donut		0.4848283697081402		NA
FP32	61	cake		0.3882502739392217		NA
FP32	62	chair		0.2808820495194002		NA
FP32	63	couch		0.46947684388908484		NA
FP32	64	potted plant		0.24226817275434914		NA
FP32	65	bed		0.48927031673208266		NA
FP32	67	dining table		0.3368994023258549		NA
FP32	70	toilet		0.6747387328354123		NA
FP32	72	tv		0.559874356226414		NA
FP32	73	laptop		0.6096416173949115		NA
FP32	74	mouse		0.5345669796161113		NA
FP32	75	remote		0.21616298695809052		NA
FP32	76	keyboard		0.5226722004434924		NA
FP32	77	cell phone		0.29784459195041496		NA
FP32	78	microwave		0.5782736546504473		NA
FP32	79	oven		0.35521711944957224		NA
FP32	80	toaster		0.41298490382492137		NA
FP32	81	sink		0.36288290389549405		NA
FP32	82	refrigerator		0.6339866971002318		NA
FP32	84	book		0.12519721812346055		NA
FP32	85	clock		0.48463081498020094		NA
FP32	86	vase		0.3438670067786433		NA
FP32	87	scissors		0.2951715673950044		NA
FP32	88	teddy bear		0.4753078047930111		NA
FP32	89	hair drier		0.0025669995302934207		NA
FP32	90	toothbrush		0.2015650083841222		NA
B1	1	person	10777	0.44505620570024107	0.68903456761594	0.6563886053632737
B1	2	bicycle	314	0.2097939011240909	0.41360384497163005	0.48057324840764337
B1	3	car	1918	0.3161299174054542	0.5217221902762637	0.5606882168925964
B1	4	motorcycle	367	0.33191277263006513	0.5698514333161006	0.6098092643051771
B1	5	airplane	143	0.5443222619344599	0.713151545124887	0.8041958041958042
B1	6	bus	283	0.5297780436571049	0.6533610066768849	0.7731448763250883
B1	7	train	190	0.5527333003251154	0.7341939299826349	0.8136842105263158
B1	8	truck	414	0.27658687387898034	0.4013880358739126	0.6985507246376812
B1	9	boat	424	0.16674901678728832	0.3260828615637713	0.46698113207547165
B1	10	traffic light	634	0.1971465166852864	0.4005617949420503	0.4277602523659307
B1	11	fire hydrant	101	0.5679120418509934	0.7724805243561786	0.7069306930693069
B1	13	stop sign	75	0.560383374539828	0.627313404619312	0.7226666666666667
B1	14	parking meter	60	0.39203819626160014	0.5367007774990189	0.6883333333333334
B1	15	bench	411	0.14797203559522776	0.2361140454127641	0.4686131386861314
B1	16	bird	427	0.27519486917951375	0.4439924346180983	0.46276346604215457
B1	17	cat	202	0.5630051597452282	0.7540578525360369	0.835148514851485
B1	18	dog	218	0.5076543868862693	0.6460871415549709	0.8022935779816514
B1	19	horse	272	0.4794193263449036	0.6602989047169705	0.724264705882353
B1	20	sheep	354	0.3984136520553379	0.6123641414523203	0.6847457627118645
B1	21	cow	372	0.47293288141248446	0.7067391119205115	0.7032258064516128
B1	22	elephant	252	0.5385887741861716	0.7352031156842793	0.8154761904761905
B1	23	bear	71	0.5902895146875456	0.7575280414036356	0.8577464788732394
B1	24	zebra	266	0.5781742843553236	0.7978463461788579	0.7981203007518797
B1	25	giraffe	232	0.6106419800669629	0.8084416822127487	0.8137931034482759
B1	27	backpack	371	0.07862996126406398	0.15614627473584908	0.3897574123989218
B1	28	umbrella	407	0.2926114085732732	0.44634931906314357	0.587960687960688
B1	31	handbag	540	0.08309363807786022	0.1619129312475901	0.37111111111111106
B1	32	tie	252	0.25817631092770554	0.4237652358648195	0.4313492063492063
B1	33	suitcase	299	0.311551145667277	0.45797705295567126	0.6237458193979932
B1	34	frisbee	115	0.5414678266183822	0.7457258470503108	0.72
B1	35	skis	241	0.17032290396954744	0.3033440109368457	0.4439834024896266
B1	36	snowboard	69	0.2533387513071232	0.34205690358622004	0.5536231884057973
B1	37	sports ball	260	0.34464498790234305	0.5206052010213676	0.4780769230769232
B1	38	kite	327	0.3899588594545688	0.6016768053914989	0.6168195718654435
B1	39	baseball bat	145	0.2183119866637962	0.4046340399988125	0.4882758620689655
B1	40	baseball glove	148	0.3164722363408874	0.535429766915429	0.5020270270270271
B1	41	skateboard	179	0.37285109489579665	0.6001353184249573	0.6162011173184359
B1	42	surfboard	267	0.271274137032695	0.4455230520109161	0.5318352059925094
B1	43	tennis racket	225	0.3876947238974025	0.6431702487934065	0.6182222222222222
B1	44	bottle	1013	0.2815099172545973	0.4373411681051936	0.5329713721618954
B1	46	wine glass	341	0.2367720562036548	0.3935072654893307	0.4557184750733138
B1	47	cup	895	0.313231117866103	0.44759737728399784	0.6053631284916201
B1	48	fork	215	0.20737005846685952	0.32269880864125766	0.4934883720930232
B1	49	knife	325	0.11432394804137795	0.18699840069271279	0.37353846153846154
B1	50	spoon	253	0.08096208679682546	0.13430780750230623	0.37549407114624506
B1	51	bowl	623	0.3119053283354868	0.42451747804252954	0.6577849117174961
B1	52	banana	370	0.22368853229998065	0.3727708919788248	0.4908108108108108
B1	53	apple	236	0.13665096328338613	0.1954526240183862	0.48644067796610174
B1	54	sandwich	177	0.2810198389351154	0.3814556851587154	0.684180790960452
B1	55	orange	285	0.21747540176704813	0.2759458837531759	0.5733333333333333
