surface	images	prediction_count	prediction_sha256	map50_95	map50	map75	ap_small	ap_medium	ap_large	ar_1	ar_10	ar_100	evidence_class	images_with_predictions	failures	non_finite_predictions	ar_small	ar_medium	ar_large	mean_precision_grid	mean_recall_grid	status
FP32	5000	548128	e8c97ebf44727670cdc44c3fa5ce50df6748e849dd4211b9367db92b5da96c1a	0.40473065112282053	0.5712619071892974	0.43463577176335666	0.19778857258539873	0.4414523593136039	0.586958794539891	0.3294452013730641	0.5427769653531678	0.5898703789064664	imported-stage64-same-source-fp32									NA
B0	5000	782544	6162fc26a654f19e21a7ba65f064ab1c3f651a318453944e25026f2e75ae3a00	0.35876850879267863	0.5141763070517243	0.3888792314680792	0.179113696685979	0.4176396163742976	0.5165509362490022	0.3163094526658381	0.5356407594171744	0.6024801627718729	imported-stage64-exact-artifact	4997	0	0	0.37385174173614794	0.649859296442491	0.8020013088757183			NA
B1	5000	833636	e7aa8ba22f706b2af09ee15a59c7f0c9201392f7c81a227b557be1e28e53288a	0.32801237248268494	0.4769777004373707	0.35584905313155896	0.18216437052446638	0.41132900363699054	0.4511684114869007	0.31212861329414926	0.5381263537961268	0.6074324545844039	stage65b-r1-host-cpu	5000	0	0	0.37114709698996107	0.6598360387975322	0.8104789004198096	0.32801237248268494	0.6074324545844039	NA
B2	5000	651637	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	0.3658592288412378	0.5273409558782952	0.39884579427083683	0.18014685069413666	0.41995524974853976	0.5201067045733788	0.3159990981454342	0.534010195074686	0.5964386487547361	stage65b-r1-host-cpu	4997	0	0	0.37304614165041583	0.6466869070444184	0.7892561705814214	0.3658592288412378	0.5964386487547361	NA
B3	5000	511942	677fb3e97da54ce52c25d14f804697a01f54f54903c09e8dbb8d9e61b5192c70	0.33240186932706156	0.49215411218356525	0.361612551924462	0.1750299710342512	0.3771730857662041	0.4514858135298015	0.3016394203371852	0.5100859668823587	0.5678598957080471	stage65b-r1-host-cpu	4991	0	0	0.36043720752794894	0.6229167176688143	0.7036080286726453	0.33240186932706156	0.5678598957080471	NA
B4	5000	564672	9ef6e1b71ff6ef89e61b17627796d0b42984acb5a17ea5d63a346c0f3e4cba68	0.3628705124198039	0.525536986250784	0.39236083511185216	0.1775728915570589	0.3943859640628554	0.5215150730680425	0.3137427469164482	0.5213989246175708	0.5798382027040181	stage65b-r1-host-cpu	4994	0	0	0.3677799756552135	0.6347217774061964	0.7441792491935744	0.3628705124198039	0.5798382027040181	NA
B5	5000	634630	e62696016a6d2df62a76dd43457a75d0bd2742dabf34c0d376ebd0bb55162bd2	0.28803527826723857	0.43559059457146904	0.30893228493540803	0.1668525175202118	0.3290957120570578	0.4656056280322459	0.29858852265734004	0.5075702305348748	0.5705363143445811	stage65b-r1-host-cpu	4994	0	0	0.37569993608824126	0.6182050062747312	0.7156828614200633	0.28803527826723857	0.5705363143445811	NA
B6	5000	608692	56192d97711896105b13a6b68e75c04ce6290e914c1879b3255bd9f4c63d6de5	0.321905907082358	0.4736758647092945	0.34378404787728756	0.15451998191944283	0.3529853383195429	0.5083199001575552	0.30027245691075544	0.5046503242773156	0.5648156768458032	stage65b-r1-host-cpu	4993	0	0	0.3720828997887433	0.6128179441958131	0.7104968449147865	0.321905907082358	0.5648156768458032	NA
H0	5000	651637	51f8d4b25245a5f3e24feafea8aa49547c0f530f59cabcd18e61a744b4740add	0.3658592288412378	0.5273409558782952	0.39884579427083683	0.18014685069413666	0.41995524974853976	0.5201067045733788	0.3159990981454342	0.534010195074686	0.5964386487547361	stage65b-r1-hybrid-host-cpu	4997	0	0	0.37304614165041583	0.6466869070444184	0.7892561705814214	0.3658592288412378	0.5964386487547361	NA
H1	5000	638485	73a0f283b6f1e453f15b1016c43b011960c3e065b020f6895b44d524115278c2	0.3821263599310534	0.5389911437837421	0.41471607914857334	0.18020371951782366	0.42577126594503956	0.5774232820505291	0.3201315446435659	0.5358490422617992	0.5966318500487773	stage65b-r1-hybrid-host-cpu	4998	0	0	0.37309685850104635	0.6480655975069319	0.7866408049354848	0.3821263599310534	0.5966318500487773	NA
