surface	size_bin	ap50_95	ar_100
B0	small	0.179113696685979	0.37385174173614794
B0	medium	0.4176396163742976	0.649859296442491
B0	large	0.5165509362490022	0.8020013088757183
FP32	small	0.19778857258539873	NA
FP32	medium	0.4414523593136039	NA
FP32	large	0.586958794539891	NA
B1	small	0.18216437052446638	0.37114709698996107
B1	medium	0.41132900363699054	0.6598360387975322
B1	large	0.4511684114869007	0.8104789004198096
B2	small	0.18014685069413666	0.37304614165041583
B2	medium	0.41995524974853976	0.6466869070444184
B2	large	0.5201067045733788	0.7892561705814214
B3	small	0.1750299710342512	0.36043720752794894
B3	medium	0.3771730857662041	0.6229167176688143
B3	large	0.4514858135298015	0.7036080286726453
B4	small	0.1775728915570589	0.3677799756552135
B4	medium	0.3943859640628554	0.6347217774061964
B4	large	0.5215150730680425	0.7441792491935744
B5	small	0.1668525175202118	0.37569993608824126
B5	medium	0.3290957120570578	0.6182050062747312
B5	large	0.4656056280322459	0.7156828614200633
B6	small	0.15451998191944283	0.3720828997887433
B6	medium	0.3529853383195429	0.6128179441958131
B6	large	0.5083199001575552	0.7104968449147865
H0	small	0.18014685069413666	0.37304614165041583
H0	medium	0.41995524974853976	0.6466869070444184
H0	large	0.5201067045733788	0.7892561705814214
H1	small	0.18020371951782366	0.37309685850104635
H1	medium	0.42577126594503956	0.6480655975069319
H1	large	0.5774232820505291	0.7866408049354848
H3	small	0.1926802011773481	0.37012024988750547
H3	medium	0.42501483856682865	0.6616109276022928
H3	large	0.5011080269691675	0.7908657227715566
H5	small	0.1802187343502921	0.3730733120208798
H5	medium	0.4272704718692926	0.6500123252412732
H5	large	0.5883649478707098	0.8015294220969891
H6	small	0.19413113759531736	0.38032958078726264
H6	medium	0.4340682589350571	0.6615165724432334
H6	large	0.5715850116203175	0.7869573213641459
H8	small	0.19678895427851534	0.3858430254550253
H8	medium	0.44113875379235723	0.6712525770448269
H8	large	0.5829462863296956	0.8026944092232514
