lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
B1	0	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	model.23.one2one_cv3.2.1.0.conv.weight[Constant]	P5	confidence	0.0	0.0	1.0	-12.496	9.905	-12.447	9.944	34,34,0,0,0,0,0,51,0,68,0,34,51,51,119,272,578,29563,2686,544,289,68,0,85,68,0,0,34,51,0,0,136	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	model.23.one2one_cv3.2.1.0.conv.bias[Constant]	P5	confidence	0.0008	0.0013	0.9996	-1.841	2.566	-1.798	2.565	459,0,0,0,646,459,323,0,1088,0,442,374,1564,0,391,2975,3774,3077,1139,2227,0,1156,833,1666,2125,4029,2516,2091,459,340,340,323	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	2	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv_output_0	P5	confidence	0.2598	0.9489	0.8604	-9.935	90.904	-87.777	93.850	2,0,1,0,0,0,2,0,3,4,0,1,4,13,187,34391,173,14,9,1,4,2,1,0,1,1,1,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	3	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	model.23.one2one_cv3.2.1.1.conv.weight[Constant]	P5	confidence	0.0001	0.0	1.0	-2.077	1.973	-2.085	1.981	17,34,17,0,34,102,51,85,136,391,374,629,1530,1989,3723,7021,6137,5236,2652,2023,1275,612,357,204,51,68,17,0,17,0,17,17	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	4	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	model.23.one2one_cv3.2.1.1.conv.bias[Constant]	P5	confidence	0.0035	0.0547	0.9994	-17.231	21.434	-16.136	20.281	459,0,0,0,0,0,0,0,0,0,0,765,2176,4335,7480,8347,5933,2856,1241,0,0,357,323,0,0,0,0,0,0,0,0,544	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	5	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv[Conv]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv_output_0	P5	confidence	0.1811	1.1737	0.9112	-9.868	46.382	-35.129	47.677	2,1,1,0,2,1,1,2,11,22,51,214,2035,16902,12486,2374,426,159,75,20,8,8,2,6,1,3,0,0,0,2,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	6	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	model.23.one2one_cv3.1.1.1.conv.weight[Constant]	P4	confidence	0.0001	0.0	1.0	-5.792	5.716	-5.792	5.679	17,0,0,68,17,0,0,17,17,0,34,68,170,289,2227,11050,16167,4063,442,51,51,17,0,0,17,0,0,0,0,0,0,34	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	7	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	model.23.one2one_cv3.1.1.1.conv.bias[Constant]	P4	confidence	0.0003	0.0054	0.9999	-10.963	18.569	-10.565	18.430	544,0,0,510,493,0,1275,1071,408,357,2397,4777,3349,2805,3468,5542,2754,1989,476,833,1037,0,0,323,0,0,0,0,0,0,0,408	0	0	stage65b_r1_b1_split_s8_qdq_report.md
B1	8	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv[Conv]	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0	P4	confidence	0.1485	1.3163	0.9229	-10.332	109.957	-27.620	120.433	3,1,20,54,214,9963,22699,1689,120,17,11,4,5,6,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2	1	1	stage65b_r1_b1_split_s8_qdq_report.md
B1	9	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul[Mul]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0	P5	confidence	0.142	0.7955	0.9319	-0.367	57.262	-0.278	60.159	24543,6734,2186,766,266,157,84,30,21,9,8,1,3,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1	1	1	stage65b_r1_b1_split_s8_qdq_report.md
